Dataset,ufs (10%),gp_cdpp_0 (10%),gp_cdpp_0.25 (10%),gp_cdpp_0.5 (10%),gp_cdpp_0.75 (10%),gp_cdpp_1.0 (10%)
id_1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_2,0.0±0.0,0.25±0.0,0.0±0.0,0.25±0.0,0.0±0.0,0.0±0.0
id_3,0.0±0.0,0.14±0.0,0.14±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_4,0.0±0.0,0.0±0.0,0.33±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_5,0.0±0.0,0.12±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_6,0.0±0.0,0.33±0.0,0.17±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_7,0.0±0.0,0.25±0.0,0.25±0.0,0.25±0.0,0.25±0.0,0.0±0.0
id_8,0.01±0.03,0.17±0.0,0.0±0.0,0.17±0.0,0.0±0.0,0.0±0.0
id_9,0.0±0.0,0.2±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_10,0.0±0.0,0.25±0.0,0.5±0.0,0.5±0.0,0.25±0.0,0.0±0.0
id_11,0.0±0.0,0.33±0.0,0.0±0.0,0.0±0.0,0.33±0.0,0.0±0.0
id_12,0.01±0.04,0.25±0.0,0.25±0.0,0.25±0.0,0.25±0.0,0.0±0.0
id_13,0.0±0.0,0.33±0.0,0.33±0.0,0.33±0.0,0.0±0.0,0.0±0.0
id_14,0.01±0.04,0.5±0.0,0.0±0.0,0.25±0.0,0.5±0.0,0.0±0.0
id_15,0.07±0.17,0.5±0.0,0.5±0.0,0.5±0.0,0.5±0.0,0.0±0.0
Overall,0.01±0.05,0.24±0.14,0.17±0.18,0.17±0.18,0.14±0.18,0.0±0.0


Dataset,ufs (20%),gp_cdpp_0 (20%),gp_cdpp_0.25 (20%),gp_cdpp_0.5 (20%),gp_cdpp_0.75 (20%),gp_cdpp_1.0 (20%)
id_1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_2,0.01±0.04,0.25±0.0,0.0±0.0,0.25±0.0,0.25±0.0,0.0±0.0
id_3,0.0±0.0,0.29±0.0,0.14±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_4,0.01±0.06,0.67±0.0,0.33±0.0,0.33±0.0,0.0±0.0,0.0±0.0
id_5,0.0±0.0,0.25±0.0,0.0±0.0,0.12±0.0,0.0±0.0,0.0±0.0
id_6,0.0±0.0,0.67±0.0,0.17±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_7,0.02±0.08,0.25±0.0,0.25±0.0,0.25±0.0,0.25±0.0,0.0±0.0
id_8,0.01±0.03,0.17±0.0,0.17±0.0,0.17±0.0,0.0±0.0,0.0±0.0
id_9,0.02±0.06,0.2±0.0,0.2±0.0,0.2±0.0,0.2±0.0,0.0±0.0
id_10,0.05±0.1,0.25±0.0,0.5±0.0,0.75±0.0,0.75±0.0,0.25±0.0
id_11,0.06±0.12,0.33±0.0,0.33±0.0,0.67±0.0,0.33±0.0,0.0±0.0
id_12,0.12±0.12,0.25±0.0,0.5±0.0,0.25±0.0,0.5±0.0,0.0±0.0
id_13,0.04±0.11,0.33±0.0,0.67±0.0,0.67±0.0,0.33±0.0,0.0±0.0
id_14,0.11±0.12,0.5±0.0,0.5±0.0,0.5±0.0,0.5±0.0,0.25±0.0
id_15,0.48±0.09,0.5±0.0,0.5±0.0,0.5±0.0,0.5±0.0,0.5±0.0
Overall,0.06±0.14,0.33±0.18,0.28±0.21,0.31±0.24,0.24±0.23,0.07±0.14


Dataset,ufs (30%),gp_cdpp_0 (30%),gp_cdpp_0.25 (30%),gp_cdpp_0.5 (30%),gp_cdpp_0.75 (30%),gp_cdpp_1.0 (30%)
id_1,0.0±0.0,0.0±0.0,0.25±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_2,0.02±0.06,0.5±0.0,0.25±0.0,0.25±0.0,0.25±0.0,0.0±0.0
id_3,0.01±0.04,0.43±0.0,0.14±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_4,0.03±0.1,0.67±0.0,0.33±0.0,0.33±0.0,0.33±0.0,0.0±0.0
id_5,0.0±0.02,0.25±0.0,0.12±0.0,0.12±0.0,0.12±0.0,0.0±0.0
id_6,0.03±0.07,0.67±0.0,0.33±0.0,0.0±0.0,0.17±0.0,0.0±0.0
id_7,0.17±0.12,0.25±0.0,0.25±0.0,0.25±0.0,0.25±0.0,0.0±0.0
id_8,0.12±0.08,0.17±0.0,0.17±0.0,0.17±0.0,0.0±0.0,0.0±0.0
id_9,0.13±0.09,0.2±0.0,0.2±0.0,0.2±0.0,0.2±0.0,0.0±0.0
id_10,0.2±0.1,0.25±0.0,0.5±0.0,0.75±0.0,0.75±0.0,0.25±0.0
id_11,0.3±0.1,0.33±0.0,0.67±0.0,0.67±0.0,0.67±0.0,0.0±0.0
id_12,0.25±0.0,0.25±0.0,0.5±0.0,0.5±0.0,0.5±0.0,0.25±0.0
id_13,0.2±0.16,0.33±0.0,0.67±0.0,0.67±0.0,0.67±0.0,0.33±0.0
id_14,0.25±0.06,0.5±0.0,0.5±0.0,0.5±0.0,0.5±0.0,0.5±0.0
id_15,0.5±0.0,0.5±0.0,0.5±0.0,1.0±0.0,1.0±0.0,1.0±0.0
Overall,0.15±0.16,0.35±0.18,0.36±0.18,0.36±0.3,0.36±0.3,0.16±0.27
