Dataset,ufs (10%),gp_cdpp_0 (10%),gp_cdpp_0.25 (10%),gp_cdpp_0.5 (10%),gp_cdpp_0.75 (10%),gp_cdpp_1.0 (10%)
Low SNR datasets,0.23±0.08,0.22±0.08,0.22±0.08,0.22±0.08,0.22±0.08,0.22±0.08
Medium SNR datasets,0.21±0.04,0.24±0.06,0.26±0.13,0.26±0.13,0.21±0.04,0.21±0.04
High SNR datasets,0.33±0.09,0.38±0.1,0.33±0.09,0.33±0.09,0.38±0.1,0.33±0.09
Overall,0.26±0.09,0.28±0.11,0.27±0.11,0.27±0.11,0.27±0.11,0.25±0.09


Dataset,ufs (20%),gp_cdpp_0 (20%),gp_cdpp_0.25 (20%),gp_cdpp_0.5 (20%),gp_cdpp_0.75 (20%),gp_cdpp_1.0 (20%)
Low SNR datasets,0.23±0.08,0.34±0.16,0.22±0.08,0.22±0.08,0.22±0.08,0.22±0.08
Medium SNR datasets,0.21±0.04,0.31±0.18,0.26±0.13,0.31±0.22,0.31±0.22,0.21±0.04
High SNR datasets,0.33±0.09,0.38±0.1,0.5±0.11,0.52±0.15,0.43±0.08,0.33±0.09
Overall,0.26±0.09,0.34±0.16,0.33±0.16,0.35±0.2,0.32±0.17,0.25±0.09


Dataset,ufs (30%),gp_cdpp_0 (30%),gp_cdpp_0.25 (30%),gp_cdpp_0.5 (30%),gp_cdpp_0.75 (30%),gp_cdpp_1.0 (30%)
Low SNR datasets,0.23±0.08,0.42±0.16,0.22±0.08,0.22±0.08,0.22±0.08,0.22±0.08
Medium SNR datasets,0.21±0.04,0.31±0.18,0.29±0.12,0.31±0.22,0.31±0.22,0.21±0.04
High SNR datasets,0.34±0.09,0.38±0.1,0.57±0.08,0.67±0.18,0.67±0.18,0.48±0.27
Overall,0.26±0.09,0.37±0.16,0.36±0.18,0.4±0.26,0.4±0.26,0.3±0.21
