Dataset (10 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
id_1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_2,0.0±0.0,0.0±0.0,0.0±0.0,0.25±0.0,0.25±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.14±0.0,0.0±0.0,0.0±0.0,0.14±0.0
id_4,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.33±0.0
id_5,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.12±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_6,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.33±0.0,0.0±0.0,0.0±0.0,0.17±0.0
id_7,0.25±0.0,0.0±0.0,0.0±0.0,0.25±0.0,0.25±0.0,0.0±0.0,0.0±0.0,0.25±0.0
id_8,0.0±0.0,0.0±0.0,0.0±0.0,0.17±0.0,0.17±0.0,0.0±0.0,0.01±0.03,0.0±0.0
id_9,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.2±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_10,0.25±0.0,0.0±0.0,0.0±0.0,0.5±0.0,0.25±0.0,0.0±0.0,0.0±0.0,0.5±0.0
id_11,0.33±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.33±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_12,0.25±0.0,0.0±0.0,0.0±0.0,0.25±0.0,0.25±0.0,0.0±0.0,0.01±0.04,0.25±0.0
id_13,0.0±0.0,0.0±0.0,0.0±0.0,0.33±0.0,0.33±0.0,0.0±0.0,0.0±0.0,0.33±0.0
id_14,0.5±0.0,0.0±0.0,0.0±0.0,0.25±0.0,0.5±0.0,0.0±0.0,0.01±0.04,0.0±0.0
id_15,0.5±0.0,0.0±0.0,0.0±0.0,0.5±0.0,0.5±0.0,0.0±0.0,0.07±0.17,0.5±0.0
Overall,0.14±0.18,0.0±0.0,0.0±0.0,0.17±0.18,0.24±0.14,0.0±0.0,0.01±0.05,0.17±0.18


Dataset (20 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
id_1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_2,0.0±0.0,0.0±0.0,0.0±0.0,0.25±0.0,0.25±0.0,0.0±0.0,0.01±0.04,0.0±0.0
id_3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.29±0.0,0.0±0.0,0.0±0.0,0.14±0.0
id_4,0.0±0.0,0.0±0.0,0.0±0.0,0.33±0.0,0.67±0.0,0.0±0.0,0.01±0.06,0.67±0.0
id_5,0.0±0.0,0.0±0.0,0.0±0.0,0.12±0.0,0.25±0.0,0.0±0.0,0.0±0.0,0.0±0.0
id_6,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.67±0.0,0.0±0.0,0.0±0.0,0.17±0.0
id_7,0.25±0.0,0.0±0.0,0.0±0.0,0.25±0.0,0.25±0.0,0.0±0.0,0.02±0.08,0.25±0.0
id_8,0.0±0.0,0.0±0.0,0.0±0.0,0.17±0.0,0.17±0.0,0.0±0.0,0.01±0.03,0.17±0.0
id_9,0.2±0.0,0.0±0.0,0.0±0.0,0.2±0.0,0.2±0.0,0.0±0.0,0.02±0.06,0.2±0.0
id_10,0.75±0.0,0.25±0.0,0.05±0.1,0.75±0.0,0.25±0.0,0.0±0.0,0.05±0.1,0.5±0.0
id_11,0.33±0.0,0.0±0.0,0.03±0.1,0.67±0.0,0.33±0.0,0.0±0.0,0.06±0.12,0.33±0.0
id_12,0.5±0.0,0.0±0.0,0.0±0.0,0.25±0.0,0.25±0.0,0.0±0.0,0.12±0.12,0.5±0.0
id_13,0.33±0.0,0.0±0.0,0.0±0.0,0.67±0.0,0.33±0.0,0.0±0.0,0.04±0.11,0.67±0.0
id_14,0.5±0.0,0.25±0.0,0.1±0.12,0.5±0.0,0.5±0.0,0.25±0.0,0.11±0.12,0.5±0.0
id_15,0.5±0.0,0.5±0.0,0.15±0.23,0.5±0.0,0.5±0.0,0.0±0.0,0.48±0.09,0.5±0.0
Overall,0.22±0.24,0.07±0.14,0.02±0.09,0.31±0.24,0.33±0.18,0.02±0.06,0.06±0.14,0.31±0.23


Dataset (30 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
id_1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.25±0.0
id_2,0.25±0.0,0.0±0.0,0.0±0.0,0.25±0.0,0.5±0.0,0.0±0.0,0.02±0.06,0.25±0.0
id_3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.43±0.0,0.0±0.0,0.01±0.04,0.14±0.0
id_4,0.0±0.0,0.0±0.0,0.0±0.0,0.33±0.0,0.67±0.0,0.0±0.0,0.03±0.1,0.67±0.0
id_5,0.12±0.0,0.0±0.0,0.0±0.0,0.12±0.0,0.25±0.0,0.0±0.0,0.0±0.02,0.12±0.0
id_6,0.17±0.0,0.0±0.0,0.02±0.05,0.0±0.0,0.67±0.0,0.0±0.0,0.03±0.07,0.33±0.0
id_7,0.25±0.0,0.0±0.0,0.05±0.1,0.25±0.0,0.25±0.0,0.0±0.0,0.17±0.12,0.25±0.0
id_8,0.0±0.0,0.0±0.0,0.02±0.05,0.17±0.0,0.17±0.0,0.0±0.0,0.12±0.08,0.17±0.0
id_9,0.2±0.0,0.0±0.0,0.1±0.1,0.2±0.0,0.2±0.0,0.0±0.0,0.13±0.09,0.2±0.0
