Dataset (10 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
Low SNR datasets,0.0±0.0,0.0±0.0,0.0±0.0,0.05±0.1,0.1±0.09,0.0±0.0,0.0±0.0,0.1±0.13
Medium SNR datasets,0.1±0.12,0.0±0.0,0.0±0.0,0.18±0.19,0.24±0.06,0.0±0.0,0.0±0.01,0.18±0.19
High SNR datasets,0.32±0.19,0.0±0.0,0.0±0.0,0.27±0.16,0.38±0.1,0.0±0.0,0.02±0.08,0.22±0.19
Overall,0.14±0.18,0.0±0.0,0.0±0.0,0.17±0.18,0.24±0.14,0.0±0.0,0.01±0.05,0.17±0.18


Dataset (20 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
Low SNR datasets,0.0±0.0,0.0±0.0,0.0±0.0,0.14±0.13,0.29±0.21,0.0±0.0,0.0±0.03,0.16±0.26
Medium SNR datasets,0.24±0.27,0.05±0.1,0.01±0.05,0.27±0.25,0.31±0.18,0.0±0.0,0.02±0.07,0.26±0.13
High SNR datasets,0.43±0.08,0.15±0.2,0.06±0.14,0.52±0.15,0.38±0.1,0.05±0.1,0.16±0.2,0.5±0.11
Overall,0.22±0.24,0.07±0.14,0.02±0.09,0.31±0.24,0.33±0.18,0.02±0.06,0.06±0.14,0.31±0.23


Dataset (30 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
Low SNR datasets,0.08±0.1,0.0±0.0,0.0±0.0,0.14±0.13,0.37±0.23,0.0±0.0,0.01±0.06,0.29±0.2
Medium SNR datasets,0.27±0.25,0.05±0.1,0.07±0.11,0.27±0.25,0.31±0.18,0.0±0.0,0.13±0.11,0.29±0.12
High SNR datasets,0.67±0.18,0.42±0.33,0.25±0.2,0.67±0.18,0.38±0.1,0.2±0.19,0.3±0.14,0.57±0.08
Overall,0.34±0.31,0.16±0.27,0.11±0.17,0.36±0.3,0.35±0.18,0.07±0.14,0.15±0.16,0.38±0.19


Dataset (40 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
Low SNR datasets,0.22±0.14,0.02±0.05,0.01±0.04,0.14±0.13,0.56±0.4,0.0±0.0,0.07±0.12,0.32±0.18
Medium SNR datasets,0.37±0.2,0.23±0.28,0.16±0.1,0.32±0.35,0.31±0.18,0.15±0.2,0.2±0.07,0.34±0.21
High SNR datasets,0.67±0.18,0.73±0.23,0.42±0.19,0.67±0.18,0.5±0.11,0.48±0.27,0.35±0.1,0.73±0.23
Overall,0.42±0.25,0.33±0.36,0.2±0.21,0.38±0.32,0.46±0.28,0.21±0.28,0.21±0.15,0.46±0.28


Dataset (50 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
Low SNR datasets,0.34±0.18,0.08±0.1,0.08±0.14,0.27±0.21,0.59±0.38,0.0±0.0,0.18±0.2,0.37±0.16
Medium SNR datasets,0.46±0.29,0.31±0.22,0.22±0.07,0.39±0.31,0.34±0.25,0.27±0.25,0.22±0.06,0.46±0.29
High SNR datasets,0.78±0.19,0.73±0.23,0.48±0.18,0.67±0.18,0.5±0.11,0.67±0.18,0.4±0.11,0.78±0.19
Overall,0.53±0.3,0.37±0.33,0.26±0.22,0.44±0.29,0.48±0.29,0.31±0.33,0.26±0.17,0.54±0.28


Dataset (60 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
Low SNR datasets,0.56±0.28,0.25±0.17,0.23±0.23,0.4±0.21,0.61±0.37,0.17±0.11,0.35±0.26,0.42±0.16
Medium SNR datasets,0.46±0.29,0.41±0.17,0.3±0.14,0.39±0.31,0.39±0.25,0.34±0.21,0.27±0.11,0.46±0.29
High SNR datasets,0.78±0.19,0.73±0.23,0.58±0.18,0.73±0.23,0.78±0.19,0.78±0.19,0.44±0.12,0.78±0.19
Overall,0.6±0.29,0.46±0.28,0.37±0.24,0.51±0.3,0.6±0.32,0.43±0.31,0.35±0.19,0.55±0.28


Dataset (70 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
Low SNR datasets,0.71±0.22,0.37±0.17,0.41±0.29,0.57±0.2,0.64±0.37,0.25±0.17,0.49±0.28,0.59±0.26
Medium SNR datasets,0.5±0.26,0.5±0.26,0.4±0.22,0.49±0.3,0.55±0.15,0.41±0.17,0.37±0.17,0.46±0.29
High SNR datasets,0.78±0.19,0.78±0.19,0.62±0.19,0.78±0.19,0.78±0.19,0.78±0.19,0.5±0.13,0.78±0.19
Overall,0.66±0.26,0.55±0.28,0.48±0.26,0.61±0.27,0.66±0.28,0.48±0.29,0.45±0.21,0.61±0.29


Dataset (80 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
Low SNR datasets,0.84±0.16,0.65±0.1,0.61±0.26,0.74±0.19,0.8±0.2,0.52±0.18,0.65±0.26,0.79±0.19
Medium SNR datasets,0.63±0.27,0.56±0.26,0.54±0.24,0.53±0.27,0.8±0.19,0.45±0.17,0.52±0.23,0.56±0.26
High SNR datasets,0.78±0.19,0.78±0.19,0.73±0.2,0.78±0.19,0.83±0.14,0.78±0.19,0.6±0.17,0.78±0.19
Overall,0.75±0.23,0.66±0.21,0.63±0.25,0.68±0.25,0.81±0.18,0.58±0.23,0.59±0.23,0.71±0.24


Dataset (90 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
Low SNR datasets,0.84±0.16,0.81±0.17,0.81±0.2,0.87±0.12,0.85±0.15,0.62±0.21,0.84±0.17,0.87±0.12
Medium SNR datasets,0.72±0.18,0.77±0.14,0.72±0.21,0.76±0.17,0.87±0.11,0.65±0.28,0.75±0.18,0.76±0.17
High SNR datasets,0.78±0.19,0.85±0.2,0.81±0.19,0.9±0.12,0.83±0.14,0.9±0.12,0.74±0.2,0.78±0.19
Overall,0.78±0.19,0.81±0.17,0.78±0.21,0.84±0.15,0.85±0.13,0.72±0.25,0.78±0.19,0.8±0.17


Dataset (100 %),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
Low SNR datasets,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
Medium SNR datasets,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
High SNR datasets,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
Overall,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0


Dataset (First mode),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
Low SNR datasets,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
Medium SNR datasets,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,0.99±0.07,1.0±0.0
High SNR datasets,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,0.98±0.12,1.0±0.0
Overall,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0


Dataset (All mode),gp_cdpp_0.75_-5.849485002168009,gp_cdpp_1.0_-5.849485002168009,badge,gp_cdpp_0.5_-5.849485002168009,gp_cdpp_0.0_-5.849485002168009,core_set,ufs,gp_cdpp_0.25_-5.849485002168009
Low SNR datasets,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
Medium SNR datasets,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
High SNR datasets,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
Overall,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0


