Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected)
1,0.004133597883597883,0.005934718100890208,0.0,0.3,0.004830917874396135,0.2,0.0625,0.0,0.0
2,0.008267195767195767,0.008902077151335312,0.0,0.4,0.00644122383252818,0.3,0.09375,0.0,0.0
3,0.01240079365079365,0.010880316518298714,0.0,0.4,0.00644122383252818,0.3,0.09375,0.0,0.0
4,0.016534391534391533,0.013847675568743818,0.0,0.6,0.00966183574879227,0.3,0.09375,0.0,0.0
5,0.02066798941798942,0.018793273986152326,0.0,0.9,0.014492753623188406,0.4,0.125,0.0,0.0
6,0.0248015873015873,0.021760633036597428,0.0,1.0,0.01610305958132045,0.5,0.15625,0.0,0.0
7,0.028935185185185185,0.024727992087042534,0.0,1.0,0.01932367149758454,0.6,0.1875,0.0,0.0
8,0.03306878306878307,0.025717111770524232,0.0,1.0,0.020933977455716585,0.6,0.1875,0.0,0.0
9,0.03720238095238095,0.02967359050445104,0.0,1.0,0.024154589371980676,0.6,0.1875,0.0,0.0
10,0.04133597883597884,0.032640949554896145,0.0,1.0,0.027375201288244767,0.6,0.1875,0.0,0.0
11,0.04546957671957672,0.036597428288822946,0.0,1.0,0.030595813204508857,0.6,0.1875,0.0,0.0
12,0.0496031746031746,0.04154302670623145,0.0,1.0,0.03542673107890499,0.6,0.1875,0.0,0.0
13,0.053736772486772486,0.04549950544015826,0.0,1.0,0.03864734299516908,0.6,0.1875,0.0,0.0
14,0.05787037037037037,0.04747774480712166,0.0,1.0,0.04186795491143317,0.6,0.1875,0.0,0.0
15,0.062003968253968256,0.050445103857566766,0.0,1.0,0.04669887278582931,0.6,0.1875,0.0,0.0
16,0.06613756613756613,0.05539070227497527,0.0,1.0,0.0499194847020934,0.6,0.1875,0.0,0.0
17,0.07027116402116403,0.05934718100890208,0.0,1.0,0.05152979066022544,0.6,0.1875,0.0,0.0
18,0.0744047619047619,0.06330365974282888,0.0,1.0,0.05475040257648953,0.6,0.1875,0.0,0.0
19,0.07853835978835978,0.06627101879327399,0.0,1.0,0.05636070853462158,0.6,0.1875,0.0,0.0
20,0.08267195767195767,0.0702274975272008,0.0,1.0,0.057971014492753624,0.6,0.1875,0.0,0.0
21,0.08680555555555555,0.07319485657764589,0.0,1.0,0.061191626409017714,0.6,0.1875,0.0,0.0
22,0.09093915343915344,0.076162215628091,0.0,1.0,0.0644122383252818,0.6,0.1875,0.0,0.0
23,0.09507275132275132,0.0781404549950544,0.0,1.0,0.0644122383252818,0.6,0.1875,0.0,0.0
24,0.0992063492063492,0.08110781404549951,0.0,1.0,0.06924315619967794,0.6,0.1875,0.0,0.0
25,0.10333994708994709,0.0830860534124629,0.0,1.0,0.06924315619967794,0.6,0.1875,0.0,0.0
26,0.10747354497354497,0.08605341246290801,0.0,1.0,0.07246376811594203,0.6,0.1875,0.0,0.0
27,0.11160714285714286,0.09198813056379822,0.0,1.0,0.07729468599033816,0.6,0.1875,0.0,0.0
28,0.11574074074074074,0.09891196834817013,0.0,1.0,0.08373590982286634,0.7,0.21875,0.0,0.0
29,0.11987433862433862,0.10187932739861523,0.0,1.0,0.08695652173913043,0.7,0.21875,0.0,0.0
30,0.12400793650793651,0.10583580613254204,0.0,1.0,0.09178743961352658,0.7,0.21875,0.0,0.0
31,0.1281415343915344,0.10781404549950543,0.0,1.0,0.09500805152979067,0.7,0.21875,0.0,0.0
32,0.13227513227513227,0.11177052423343224,0.0,1.0,0.0998389694041868,0.7,0.21875,0.0,0.0
33,0.13640873015873015,0.11572700296735905,0.0,1.0,0.10144927536231885,0.7,0.21875,0.0,0.0
34,0.14054232804232805,0.11671612265084075,0.0,1.0,0.10305958132045089,0.7,0.21875,0.0,0.0
35,0.14467592592592593,0.12265084075173097,0.0,1.0,0.10628019323671498,0.8,0.25,0.0,0.0
36,0.1488095238095238,0.12462908011869436,0.0,1.0,0.10789049919484701,0.8,0.25,0.0,0.0
37,0.1529431216931217,0.12759643916913946,0.0,1.0,0.11272141706924316,0.8,0.25,0.0,0.0
38,0.15707671957671956,0.13452027695351138,0.0,1.0,0.11755233494363929,0.8,0.25,0.0,0.0
39,0.16121031746031747,0.13550939663699307,0.0,1.0,0.11916264090177134,0.8,0.25,0.0,0.0
40,0.16534391534391535,0.13748763600395647,0.0,1.0,0.12238325281803543,0.8,0.25,0.0,0.0
41,0.16947751322751323,0.1404549950544016,0.0,1.0,0.12560386473429952,0.8,0.25,0.0,0.0
42,0.1736111111111111,0.14836795252225518,0.0,1.0,0.1320450885668277,0.9,0.28125,0.0,0.0
43,0.17774470899470898,0.1533135509396637,0.0,1.0,0.13687600644122383,0.9,0.28125,0.0,0.0
44,0.1818783068783069,0.1572700296735905,0.0,1.0,0.13848631239935588,1.0,0.3125,0.0,0.0
