Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected)
1,0.0041548944656805715,0.005148005148005148,0.0,0.7,0.005756578947368421,0.0,0.0
2,0.008309788931361143,0.009009009009009009,0.0,1.0,0.01069078947368421,0.0,0.0
3,0.012464683397041714,0.014157014157014158,0.0,1.0,0.014802631578947368,0.1,0.07692307692307693
4,0.016619577862722286,0.017374517374517374,0.0,1.0,0.018092105263157895,0.1,0.07692307692307693
5,0.02077447232840286,0.023166023166023165,0.0,1.0,0.023026315789473683,0.1,0.07692307692307693
6,0.02492936679408343,0.02702702702702703,0.0,1.0,0.02631578947368421,0.1,0.07692307692307693
7,0.029084261259764002,0.029601029601029602,0.0,1.0,0.028782894736842105,0.1,0.07692307692307693
8,0.03323915572544457,0.035392535392535396,0.0,1.0,0.03453947368421053,0.1,0.07692307692307693
9,0.03739405019112515,0.04118404118404118,0.0,1.0,0.039473684210526314,0.1,0.07692307692307693
10,0.04154894465680572,0.04504504504504504,0.0,1.0,0.04194078947368421,0.1,0.07692307692307693
11,0.04570383912248629,0.0489060489060489,0.0,1.0,0.046052631578947366,0.1,0.07692307692307693
12,0.04985873358816686,0.05341055341055341,0.0,1.0,0.05098684210526316,0.1,0.07692307692307693
13,0.054013628053847434,0.05727155727155727,0.0,1.0,0.054276315789473686,0.1,0.07692307692307693
14,0.058168522519528004,0.059845559845559844,0.0,1.0,0.05674342105263158,0.1,0.07692307692307693
15,0.062323416985208574,0.064993564993565,0.0,1.0,0.05921052631578947,0.2,0.15384615384615385
16,0.06647831145088914,0.0682110682110682,0.0,1.0,0.06332236842105263,0.2,0.15384615384615385
17,0.07063320591656971,0.07207207207207207,0.0,1.0,0.06661184210526316,0.2,0.15384615384615385
18,0.0747881003822503,0.07271557271557272,0.0,1.0,0.06661184210526316,0.2,0.15384615384615385
19,0.07894299484793087,0.07593307593307594,0.0,1.0,0.06907894736842106,0.3,0.23076923076923078
20,0.08309788931361144,0.08043758043758044,0.0,1.0,0.07154605263157894,0.4,0.3076923076923077
21,0.087252783779292,0.08494208494208494,0.0,1.0,0.07730263157894737,0.4,0.3076923076923077
22,0.09140767824497258,0.08944658944658945,0.0,1.0,0.0805921052631579,0.5,0.38461538461538464
23,0.09556257271065315,0.09202059202059203,0.0,1.0,0.08223684210526316,0.5,0.38461538461538464
24,0.09971746717633372,0.09716859716859717,0.0,1.0,0.08634868421052631,0.5,0.38461538461538464
25,0.1038723616420143,0.10231660231660232,0.0,1.0,0.09210526315789473,0.5,0.38461538461538464
26,0.10802725610769487,0.10746460746460747,0.0,1.0,0.09539473684210527,0.5,0.38461538461538464
27,0.11218215057337544,0.11003861003861004,0.0,1.0,0.09786184210526316,0.5,0.38461538461538464
28,0.11633704503905601,0.11132561132561132,0.0,1.0,0.09868421052631579,0.6,0.46153846153846156
29,0.12049193950473658,0.11518661518661519,0.0,1.0,0.10115131578947369,0.6,0.46153846153846156
30,0.12464683397041715,0.12033462033462033,0.0,1.0,0.1069078947368421,0.6,0.46153846153846156
31,0.12880172843609772,0.12290862290862291,0.0,1.0,0.11019736842105263,0.6,0.46153846153846156
32,0.1329566229017783,0.1274131274131274,0.0,1.0,0.11266447368421052,0.6,0.46153846153846156
33,0.13711151736745886,0.12998712998713,0.0,1.0,0.11430921052631579,0.6,0.46153846153846156
34,0.14126641183313943,0.1364221364221364,0.0,1.0,0.11924342105263158,0.6,0.46153846153846156
35,0.14542130629882,0.13963963963963963,0.0,1.0,0.12335526315789473,0.6,0.46153846153846156
36,0.1495762007645006,0.14221364221364222,0.0,1.0,0.125,0.6,0.46153846153846156
37,0.15373109523018116,0.14671814671814673,0.0,1.0,0.12746710526315788,0.6,0.46153846153846156
38,0.15788598969586173,0.15057915057915058,0.0,1.0,0.1299342105263158,0.6,0.46153846153846156
39,0.1620408841615423,0.15315315315315314,0.0,1.0,0.13240131578947367,0.7,0.5384615384615384
40,0.16619577862722287,0.15572715572715573,0.0,1.0,0.1356907894736842,0.7,0.5384615384615384
41,0.17035067309290344,0.1628056628056628,0.0,1.0,0.14226973684210525,0.7,0.5384615384615384
42,0.174505567558584,0.16666666666666666,0.0,1.0,0.1455592105263158,0.7,0.5384615384615384
43,0.17866046202426458,0.16988416988416988,0.0,1.0,0.14802631578947367,0.7,0.5384615384615384
44,0.18281535648994515,0.1731016731016731,0.0,1.0,0.15049342105263158,0.7,0.5384615384615384
45,0.18697025095562572,0.17953667953667954,0.0,1.0,0.15625,0.7,0.5384615384615384
46,0.1911251454213063,0.18082368082368083,0.0,1.0,0.15625,0.7,0.5384615384615384
47,0.19528003988698686,0.18468468468468469,0.0,1.0,0.15953947368421054,0.7,0.5384615384615384
48,0.19943493435266743,0.19047619047619047,0.0,1.0,0.1669407894736842,0.7,0.5384615384615384
49,0.203589828818348,0.19433719433719435,0.0,1.0,0.16940789473684212,0.7,0.5384615384615384
50,0.2077447232840286,0.1981981981981982,0.0,1.0,0.17269736842105263,0.7,0.5384615384615384
51,0.21189961774970917,0.20205920205920205,0.0,1.0,0.17763157894736842,0.7,0.5384615384615384
52,0.21605451221538974,0.2059202059202059,0.0,1.0,0.18174342105263158,0.7,0.5384615384615384
53,0.2202094066810703,0.2097812097812098,0.0,1.0,0.18503289473684212,0.7,0.5384615384615384
54,0.22436430114675088,0.21621621621621623,0.0,1.0,0.19078947368421054,0.7,0.5384615384615384
55,0.22851919561243145,0.22072072072072071,0.0,1.0,0.19490131578947367,0.8,0.6153846153846154
56,0.23267409007811202,0.22715572715572716,0.5,1.0,0.20230263157894737,0.8,0.6153846153846154
57,0.2368289845437926,0.23037323037323038,0.5,1.0,0.20641447368421054,0.8,0.6153846153846154
58,0.24098387900947316,0.23294723294723294,0.5,1.0,0.2080592105263158,0.8,0.6153846153846154
59,0.24513877347515373,0.23809523809523808,0.5,1.0,0.2138157894736842,0.8,0.6153846153846154
