Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected)
1,0.0041883062489529235,0.005559968228752979,0.0,0.0,0.0,0.1,0.004291845493562232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008376612497905847,0.010325655281969817,0.0,0.0,0.0,0.2,0.008583690987124463,0.1,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.01256491874685877,0.015091342335186657,0.0,0.0,0.0,0.3,0.012875536480686695,0.1,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016753224995811694,0.017474185861795076,0.0,0.1,0.09090909090909091,0.4,0.017167381974248927,0.1,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020941531244764618,0.019857029388403495,0.0,0.1,0.09090909090909091,0.4,0.017167381974248927,0.1,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.02512983749371754,0.022239872915011914,0.0,0.1,0.09090909090909091,0.4,0.017167381974248927,0.1,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.029318143742670465,0.024622716441620333,0.0,0.1,0.09090909090909091,0.5,0.02145922746781116,0.1,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.03350644999162339,0.02779984114376489,0.0,0.1,0.09090909090909091,0.5,0.02145922746781116,0.2,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.03769475624057631,0.03335980937251787,0.0,0.1,0.09090909090909091,0.6,0.02575107296137339,0.2,0.07407407407407407,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0
10,0.041883062489529235,0.03891977760127085,0.0,0.1,0.09090909090909091,0.7,0.030042918454935622,0.2,0.07407407407407407,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0
