Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected),Pattern 7 (%),Pattern 7 (% Detected)
1,0.004170837504170837,0.003925417075564278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
2,0.008341675008341674,0.0068694798822374874,0.0,0.1,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
3,0.012512512512512513,0.012757605495583905,0.0,0.2,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
4,0.01668335001668335,0.015701668302257114,0.0,0.2,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
5,0.020854187520854186,0.018645731108930325,0.0,0.2,0.013157894736842105,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
6,0.025025025025025027,0.020608439646712464,0.0,0.2,0.013157894736842105,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
7,0.029195862529195864,0.022571148184494603,0.0,0.2,0.013157894736842105,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
8,0.0333667000333667,0.02649656526005888,0.0,0.2,0.013157894736842105,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
9,0.03753753753753754,0.03042198233562316,0.0,0.3,0.019736842105263157,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
10,0.04170837504170837,0.0323846908734053,0.0,0.3,0.019736842105263157,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
11,0.04587921254587921,0.04121687929342493,0.0,0.4,0.02631578947368421,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.1,0.07692307692307693,0.2,0.15384615384615385,0.0,0.0,0.0,0.0
12,0.05005005005005005,0.047105004906771344,0.0,0.5,0.03289473684210526,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.1,0.07692307692307693,0.3,0.23076923076923078,0.0,0.0,0.0,0.0
13,0.05422088755422089,0.04906771344455348,0.0,0.5,0.03289473684210526,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.2,0.15384615384615385,0.3,0.23076923076923078,0.0,0.0,0.0,0.0
14,0.05839172505839173,0.05103042198233562,0.0,0.5,0.03289473684210526,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.2,0.15384615384615385,0.3,0.23076923076923078,0.0,0.0,0.0,0.0
15,0.06256256256256257,0.053974484789008834,0.0,0.5,0.03289473684210526,0.0,0.0,0.0,0.0,0.2,0.022988505747126436,0.2,0.15384615384615385,0.3,0.23076923076923078,0.0,0.0,0.0,0.0
16,0.0667334000667334,0.05789990186457311,0.0,0.5,0.03289473684210526,0.0,0.0,0.0,0.0,0.2,0.022988505747126436,0.2,0.15384615384615385,0.4,0.3076923076923077,0.0,0.0,0.0,0.0
17,0.07090423757090424,0.06280667320902845,0.0,0.6,0.039473684210526314,0.0,0.0,0.0,0.0,0.2,0.022988505747126436,0.2,0.15384615384615385,0.4,0.3076923076923077,0.0,0.0,0.0,0.0
18,0.07507507507507508,0.06869479882237488,0.0,0.7,0.046052631578947366,0.1,0.034482758620689655,0.0,0.0,0.3,0.034482758620689655,0.2,0.15384615384615385,0.4,0.3076923076923077,0.0,0.0,0.0,0.0
19,0.07924591257924592,0.07360157016683022,0.0,0.7,0.046052631578947366,0.1,0.034482758620689655,0.0,0.0,0.3,0.034482758620689655,0.2,0.15384615384615385,0.4,0.3076923076923077,0.0,0.0,0.0,0.0
20,0.08341675008341674,0.08047105004906771,0.0,0.7,0.046052631578947366,0.1,0.034482758620689655,0.0,0.0,0.3,0.034482758620689655,0.2,0.15384615384615385,0.4,0.3076923076923077,0.0,0.0,0.0,0.0
21,0.08758758758758758,0.08439646712463199,0.0,0.7,0.046052631578947366,0.1,0.034482758620689655,0.0,0.0,0.3,0.034482758620689655,0.2,0.15384615384615385,0.4,0.3076923076923077,0.0,0.0,0.0,0.0
22,0.09175842509175842,0.08832188420019627,0.0,0.7,0.046052631578947366,0.1,0.034482758620689655,0.0,0.0,0.3,0.034482758620689655,0.2,0.15384615384615385,0.4,0.3076923076923077,0.0,0.0,0.0,0.0
23,0.09592926259592927,0.09126594700686948,0.0,0.8,0.05263157894736842,0.1,0.034482758620689655,0.0,0.0,0.3,0.034482758620689655,0.2,0.15384615384615385,0.4,0.3076923076923077,0.0,0.0,0.0,0.0
24,0.1001001001001001,0.09519136408243375,0.0,1.0,0.07236842105263158,0.1,0.034482758620689655,0.0,0.0,0.3,0.034482758620689655,0.2,0.15384615384615385,0.4,0.3076923076923077,0.0,0.0,0.0,0.0
25,0.10427093760427093,0.09813542688910697,0.0,1.0,0.07236842105263158,0.1,0.034482758620689655,0.0,0.0,0.3,0.034482758620689655,0.3,0.23076923076923078,0.4,0.3076923076923077,0.0,0.0,0.0,0.0
26,0.10844177510844177,0.10304219823356231,0.0,1.0,0.08552631578947369,0.1,0.034482758620689655,0.0,0.0,0.3,0.034482758620689655,0.3,0.23076923076923078,0.4,0.3076923076923077,0.0,0.0,0.0,0.0
27,0.11261261261261261,0.10500490677134446,0.0,1.0,0.08552631578947369,0.1,0.034482758620689655,0.0,0.0,0.3,0.034482758620689655,0.3,0.23076923076923078,0.4,0.3076923076923077,0.0,0.0,0.0,0.0
28,0.11678345011678345,0.11089303238469088,0.0,1.0,0.09868421052631579,0.2,0.06896551724137931,0.0,0.0,0.3,0.034482758620689655,0.3,0.23076923076923078,0.4,0.3076923076923077,0.0,0.0,0.0,0.0
29,0.12095428762095428,0.11285574092247301,0.0,1.0,0.10526315789473684,0.2,0.06896551724137931,0.0,0.0,0.3,0.034482758620689655,0.3,0.23076923076923078,0.4,0.3076923076923077,0.0,0.0,0.0,0.0
30,0.12512512512512514,0.11383709519136408,0.0,1.0,0.10526315789473684,0.2,0.06896551724137931,0.0,0.0,0.3,0.034482758620689655,0.3,0.23076923076923078,0.4,0.3076923076923077,0.0,0.0,0.0,0.0
31,0.12929596262929596,0.11776251226692837,0.0,1.0,0.1118421052631579,0.2,0.06896551724137931,0.0,0.0,0.3,0.034482758620689655,0.3,0.23076923076923078,0.4,0.3076923076923077,0.1,0.08333333333333333,0.0,0.0
32,0.1334668001334668,0.12168792934249265,0.0,1.0,0.1118421052631579,0.2,0.06896551724137931,0.0,0.0,0.3,0.034482758620689655,0.3,0.23076923076923078,0.4,0.3076923076923077,0.1,0.08333333333333333,0.0,0.0
33,0.13763763763763764,0.12463199214916584,0.0,1.0,0.1118421052631579,0.2,0.06896551724137931,0.0,0.0,0.3,0.034482758620689655,0.3,0.23076923076923078,0.4,0.3076923076923077,0.1,0.08333333333333333,0.0,0.0
34,0.14180847514180847,0.12659470068694798,0.0,1.0,0.1118421052631579,0.2,0.06896551724137931,0.0,0.0,0.4,0.04597701149425287,0.3,0.23076923076923078,0.4,0.3076923076923077,0.1,0.08333333333333333,0.0,0.0
35,0.14597931264597933,0.1295387634936212,0.0,1.0,0.1118421052631579,0.2,0.06896551724137931,0.0,0.0,0.4,0.04597701149425287,0.3,0.23076923076923078,0.4,0.3076923076923077,0.1,0.08333333333333333,0.0,0.0
36,0.15015015015015015,0.1364082433758587,0.0,1.0,0.1118421052631579,0.2,0.06896551724137931,0.1,0.1,0.5,0.05747126436781609,0.4,0.3076923076923077,0.4,0.3076923076923077,0.1,0.08333333333333333,0.0,0.0
37,0.15432098765432098,0.1393523061825319,0.0,1.0,0.11842105263157894,0.2,0.06896551724137931,0.1,0.1,0.5,0.05747126436781609,0.4,0.3076923076923077,0.4,0.3076923076923077,0.1,0.08333333333333333,0.0,0.0
38,0.15849182515849183,0.1452404317958783,0.0,1.0,0.11842105263157894,0.2,0.06896551724137931,0.1,0.1,0.6,0.06896551724137931,0.4,0.3076923076923077,0.4,0.3076923076923077,0.1,0.08333333333333333,0.0,0.0
39,0.16266266266266266,0.1481844946025515,0.0,1.0,0.125,0.2,0.06896551724137931,0.1,0.1,0.6,0.06896551724137931,0.4,0.3076923076923077,0.4,0.3076923076923077,0.1,0.08333333333333333,0.0,0.0
40,0.1668335001668335,0.15309126594700687,0.0,1.0,0.125,0.2,0.06896551724137931,0.1,0.1,0.6,0.06896551724137931,0.4,0.3076923076923077,0.4,0.3076923076923077,0.1,0.08333333333333333,0.0,0.0
41,0.17100433767100434,0.155053974484789,0.0,1.0,0.13157894736842105,0.2,0.06896551724137931,0.1,0.1,0.6,0.06896551724137931,0.4,0.3076923076923077,0.4,0.3076923076923077,0.1,0.08333333333333333,0.0,0.0
42,0.17517517517517517,0.15799803729146222,0.0,1.0,0.13157894736842105,0.2,0.06896551724137931,0.1,0.1,0.6,0.06896551724137931,0.4,0.3076923076923077,0.4,0.3076923076923077,0.1,0.08333333333333333,0.0,0.0
43,0.17934601267934602,0.16290480863591755,0.0,1.0,0.13815789473684212,0.2,0.06896551724137931,0.1,0.1,0.6,0.06896551724137931,0.4,0.3076923076923077,0.4,0.3076923076923077,0.1,0.08333333333333333,0.0,0.0
