Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected)
1,0.004117259552042161,0.0064034151547491995,0.0,0.2,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008234519104084322,0.010672358591248666,0.0,0.3,0.006696428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012351778656126482,0.012806830309498399,0.0,0.3,0.006696428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016469038208168644,0.016008537886873,0.0,0.3,0.006696428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020586297760210804,0.0192102454642476,0.0,0.4,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.024703557312252964,0.022411953041622197,0.0,0.7,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.028820816864295124,0.025613660618996798,0.0,0.9,0.020089285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.03293807641633729,0.029882604055496264,0.0,1.0,0.022321428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.03705533596837945,0.032017075773746,0.0,1.0,0.022321428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.04117259552042161,0.03735325506937033,0.0,1.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.04528985507246377,0.0384204909284952,0.0,1.0,0.033482142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.04940711462450593,0.04375667022411953,0.0,1.0,0.03794642857142857,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.05352437417654809,0.04695837780149413,0.0,1.0,0.04017857142857143,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.05764163372859025,0.05016008537886873,0.0,1.0,0.044642857142857144,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.06175889328063241,0.052294557097118465,0.0,1.0,0.046875,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
16,0.06587615283267458,0.05656350053361793,0.0,1.0,0.05133928571428571,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
17,0.06999341238471674,0.05869797225186766,0.0,1.0,0.05357142857142857,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
18,0.0741106719367589,0.064034151547492,0.0,1.0,0.060267857142857144,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
19,0.07822793148880106,0.06510138740661686,0.0,1.0,0.060267857142857144,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
20,0.08234519104084322,0.0672358591248666,0.0,1.0,0.0625,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
21,0.08646245059288538,0.07257203842049093,0.0,1.0,0.06919642857142858,0.1,0.1,0.1,0.06666666666666667,0.0,0.0,0.1,0.1,0.0,0.0
22,0.09057971014492754,0.0768409818569904,0.0,1.0,0.07366071428571429,0.1,0.1,0.1,0.06666666666666667,0.0,0.0,0.1,0.1,0.0,0.0
23,0.0946969696969697,0.07790821771611527,0.0,1.0,0.07589285714285714,0.1,0.1,0.1,0.06666666666666667,0.0,0.0,0.1,0.1,0.0,0.0
24,0.09881422924901186,0.0832443970117396,0.0,1.0,0.07589285714285714,0.1,0.1,0.1,0.06666666666666667,0.0,0.0,0.1,0.1,0.0,0.0
25,0.10293148880105402,0.08751334044823907,0.0,1.0,0.078125,0.1,0.1,0.1,0.06666666666666667,0.0,0.0,0.1,0.1,0.0,0.0
26,0.10704874835309618,0.09178228388473852,0.0,1.0,0.08482142857142858,0.1,0.1,0.1,0.06666666666666667,0.0,0.0,0.1,0.1,0.0,0.0
27,0.11116600790513834,0.09498399146211313,0.0,1.0,0.08705357142857142,0.1,0.1,0.1,0.06666666666666667,0.0,0.0,0.1,0.1,0.0,0.0
28,0.1152832674571805,0.09711846318036287,0.0,1.0,0.08705357142857142,0.1,0.1,0.1,0.06666666666666667,0.0,0.0,0.1,0.1,0.0,0.0
29,0.11940052700922266,0.10032017075773746,0.0,1.0,0.09375,0.1,0.1,0.1,0.06666666666666667,0.0,0.0,0.1,0.1,0.0,0.0
30,0.12351778656126482,0.10352187833511206,0.0,1.0,0.09598214285714286,0.1,0.1,0.1,0.06666666666666667,0.0,0.0,0.1,0.1,0.0,0.0
31,0.12763504611330698,0.1056563500533618,0.0,1.0,0.09821428571428571,0.1,0.1,0.1,0.06666666666666667,0.0,0.0,0.1,0.1,0.0,0.0
