Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected)
1,0.0041813012209399565,0.005708848715509039,0.0,0.3,0.005309734513274336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008362602441879913,0.009514747859181731,0.0,0.5,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012543903662819869,0.014272121788772598,0.0,0.8,0.01415929203539823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016725204883759826,0.01807802093244529,0.0,1.0,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020906506104699782,0.023786869647954328,0.0,1.0,0.024778761061946902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.025087807325639738,0.02664129400570885,0.0,1.0,0.02831858407079646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.029269108546579697,0.03330161750713606,0.0,1.0,0.033628318584070796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.03345040976751965,0.03615604186489058,0.0,1.0,0.035398230088495575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.03763171098845961,0.038058991436726926,0.0,1.0,0.03716814159292035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.041813012209399564,0.04281636536631779,0.0,1.0,0.04070796460176991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.04599431343033952,0.046622264509990484,0.0,1.0,0.04424778761061947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.050175614651279475,0.05137963843958135,0.0,1.0,0.047787610619469026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.054356915872219434,0.0532825880114177,0.0,1.0,0.05132743362831858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.05853821709315939,0.05518553758325404,0.0,1.0,0.05132743362831858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.06271951831409935,0.058991436726926735,0.0,1.0,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0669008195350393,0.060894386298763085,0.0,1.0,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.07108212075597926,0.06660323501427212,0.0,1.0,0.05486725663716814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.07526342197691922,0.071360608943863,0.0,1.0,0.0584070796460177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.07944472319785917,0.07326355851569934,0.0,1.0,0.0584070796460177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.08362602441879913,0.0780209324452902,0.0,1.0,0.061946902654867256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.08780732563973909,0.08277830637488107,0.0,1.0,0.06902654867256637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.09198862686067905,0.08468125594671741,0.0,1.0,0.07079646017699115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.096169928081619,0.08848715509039011,0.0,1.0,0.07610619469026549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.10035122930255895,0.09134157944814462,0.0,1.0,0.07787610619469026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.10453253052349891,0.09419600380589914,0.0,1.0,0.08141592920353982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.10871383174443887,0.09705042816365367,0.0,1.0,0.08495575221238938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.11289513296537883,0.10371075166508087,0.0,1.0,0.09026548672566372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.11707643418631879,0.10751665080875357,0.0,1.0,0.0920353982300885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.12125773540725873,0.11417697431018078,0.0,1.0,0.09734513274336283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.1254390366281987,0.11798287345385347,0.0,1.0,0.09911504424778761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.12962033784913865,0.120837297811608,0.0,1.0,0.10265486725663717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.1338016390700786,0.12559467174119887,0.0,1.0,0.1079646017699115,0.0,0.0,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
33,0.13798294029101857,0.1313035204567079,0.0,1.0,0.11327433628318584,0.0,0.0,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
34,0.14216424151195853,0.13415794481446242,0.0,1.0,0.1168141592920354,0.0,0.0,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
35,0.1463455427328985,0.13986679352997144,0.0,1.0,0.12389380530973451,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
36,0.15052684395383845,0.14367269267364416,0.0,1.0,0.1256637168141593,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
37,0.15470814517477838,0.14747859181731685,0.0,1.0,0.12743362831858407,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
38,0.15888944639571834,0.1493815413891532,0.0,1.0,0.12743362831858407,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
39,0.1630707476166583,0.15413891531874405,0.0,1.0,0.13628318584070798,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
40,0.16725204883759826,0.15699333967649856,0.0,1.0,0.13628318584070798,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
41,0.17143335005853821,0.16555661274976213,0.0,1.0,0.14513274336283186,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
42,0.17561465127947817,0.170313986679353,0.0,1.0,0.15221238938053097,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
43,0.17979595250041813,0.17411988582302568,0.0,1.0,0.15575221238938053,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
44,0.1839772537213581,0.17887725975261656,0.0,1.0,0.16283185840707964,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
45,0.18815855494229805,0.18363463368220742,0.0,1.0,0.16991150442477876,0.0,0.0,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
46,0.192339856163238,0.18648905803996194,0.0,1.0,0.17168141592920355,0.0,0.0,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
47,0.19652115738417797,0.1912464319695528,0.0,1.0,0.1752212389380531,0.0,0.0,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
48,0.2007024586051179,0.19790675547098002,0.0,1.0,0.184070796460177,0.0,0.0,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
49,0.20488375982605786,0.20076117982873454,0.0,1.0,0.18761061946902655,0.0,0.0,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
50,0.20906506104699782,0.20361560418648905,0.0,1.0,0.18761061946902655,0.1,0.1,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
51,0.21324636226793778,0.2055185537583254,0.0,1.0,0.18938053097345134,0.1,0.1,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
52,0.21742766348887774,0.20647002854424357,0.0,1.0,0.18938053097345134,0.1,0.1,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
53,0.2216089647098177,0.21122740247383445,0.0,1.0,0.18938053097345134,0.2,0.2,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
54,0.22579026593075766,0.21693625118934348,0.0,1.0,0.19646017699115045,0.2,0.2,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
