Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected)
1,0.0040936630096610445,0.0015337423312883436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008187326019322089,0.005368098159509203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012280989028983134,0.009202453987730062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016374652038644178,0.012269938650306749,0.0,0.1,0.001394700139470014,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020468315048305225,0.013803680981595092,0.0,0.1,0.001394700139470014,0.0,0.0,0.0,0.0,0.0,0.0
6,0.02456197805796627,0.01687116564417178,0.0,0.1,0.001394700139470014,0.0,0.0,0.0,0.0,0.0,0.0
7,0.028655641067627313,0.019938650306748466,0.0,0.1,0.001394700139470014,0.0,0.0,0.0,0.0,0.0,0.0
8,0.032749304077288356,0.02223926380368098,0.0,0.1,0.001394700139470014,0.0,0.0,0.1,0.07692307692307693,0.0,0.0
9,0.0368429670869494,0.024539877300613498,0.0,0.2,0.002789400278940028,0.0,0.0,0.1,0.07692307692307693,0.0,0.0
10,0.04093663009661045,0.026840490797546013,0.0,0.3,0.0041841004184100415,0.0,0.0,0.1,0.07692307692307693,0.0,0.0
11,0.04503029310627149,0.032208588957055216,0.0,0.3,0.0041841004184100415,0.0,0.0,0.2,0.15384615384615385,0.0,0.0
12,0.04912395611593254,0.036042944785276074,0.0,0.4,0.005578800557880056,0.0,0.0,0.2,0.15384615384615385,0.0,0.0
13,0.05321761912559358,0.040644171779141106,0.0,0.5,0.00697350069735007,0.0,0.0,0.3,0.23076923076923078,0.0,0.0
14,0.057311282135254625,0.046012269938650305,0.0,0.6,0.008368200836820083,0.0,0.0,0.3,0.23076923076923078,0.0,0.0
15,0.06140494514491567,0.05291411042944785,0.0,0.7,0.009762900976290097,0.0,0.0,0.5,0.38461538461538464,0.0,0.0
16,0.06549860815457671,0.05521472392638037,0.0,0.8,0.011157601115760111,0.1,0.058823529411764705,0.5,0.38461538461538464,0.0,0.0
