Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected)
1,0.004148000663680106,0.0027816411682892906,0.0,0.2,0.002242152466367713,0.0,0.0,0.0,0.0
2,0.008296001327360213,0.004867872044506259,0.0,0.2,0.002242152466367713,0.0,0.0,0.1,0.1
3,0.012444001991040319,0.0076495132127955496,0.0,0.2,0.002242152466367713,0.0,0.0,0.1,0.1
4,0.016592002654720425,0.011821974965229486,0.0,0.3,0.0033632286995515697,0.0,0.0,0.1,0.1
5,0.02074000331840053,0.015994436717663423,0.0,0.5,0.005605381165919282,0.0,0.0,0.1,0.1
6,0.024888003982080638,0.02086230876216968,0.0,0.5,0.005605381165919282,0.1,0.07142857142857142,0.2,0.2
7,0.029036004645760744,0.02364394993045897,0.0,0.6,0.006726457399103139,0.1,0.07142857142857142,0.2,0.2
8,0.03318400530944085,0.02642559109874826,0.0,0.6,0.006726457399103139,0.1,0.07142857142857142,0.3,0.3
9,0.03733200597312095,0.03129346314325452,0.0,0.8,0.008968609865470852,0.1,0.07142857142857142,0.3,0.3
10,0.04148000663680106,0.03824756606397774,0.0,0.8,0.008968609865470852,0.1,0.07142857142857142,0.4,0.4
11,0.045628007300481166,0.043115438108484005,0.0,0.9,0.010089686098654708,0.1,0.07142857142857142,0.4,0.4
12,0.049776007964161276,0.04659248956884562,0.0,1.0,0.01233183856502242,0.1,0.07142857142857142,0.4,0.4
13,0.05392400862784138,0.04937413073713491,0.0,1.0,0.01233183856502242,0.1,0.07142857142857142,0.4,0.4
14,0.05807200929152149,0.054242002781641166,0.0,1.0,0.014573991031390135,0.2,0.14285714285714285,0.4,0.4
15,0.06222000995520159,0.05702364394993046,0.0,1.0,0.014573991031390135,0.2,0.14285714285714285,0.4,0.4
16,0.0663680106188817,0.06258692628650904,0.0,1.0,0.01569506726457399,0.2,0.14285714285714285,0.4,0.4
17,0.07051601128256181,0.06467315716272601,0.0,1.0,0.01569506726457399,0.2,0.14285714285714285,0.4,0.4
18,0.0746640119462419,0.06884561891515995,0.0,1.0,0.017937219730941704,0.2,0.14285714285714285,0.4,0.4
19,0.07881201260992202,0.07232267037552156,0.0,1.0,0.020179372197309416,0.2,0.14285714285714285,0.5,0.5
20,0.08296001327360213,0.07858136300417246,0.0,1.0,0.021300448430493273,0.3,0.21428571428571427,0.5,0.5
21,0.08710801393728224,0.08275382475660639,0.0,1.0,0.021300448430493273,0.4,0.2857142857142857,0.5,0.5
22,0.09125601460096233,0.08484005563282336,0.0,1.0,0.021300448430493273,0.4,0.2857142857142857,0.5,0.5
23,0.09540401526464244,0.08623087621696801,0.0,1.0,0.02242152466367713,0.4,0.2857142857142857,0.5,0.5
24,0.09955201592832255,0.0890125173852573,0.0,1.0,0.023542600896860985,0.5,0.35714285714285715,0.5,0.5
25,0.10370001659200266,0.09457579972183588,0.0,1.0,0.028026905829596414,0.5,0.35714285714285715,0.5,0.5
26,0.10784801725568276,0.09666203059805285,0.0,1.0,0.02914798206278027,0.5,0.35714285714285715,0.5,0.5
27,0.11199601791936287,0.09874826147426982,0.0,1.0,0.030269058295964126,0.5,0.35714285714285715,0.5,0.5
28,0.11614401858304298,0.10361613351877608,0.0,1.0,0.03139013452914798,0.5,0.35714285714285715,0.5,0.5
29,0.12029201924672307,0.10987482614742698,0.0,1.0,0.03587443946188341,0.5,0.35714285714285715,0.5,0.5
30,0.12444001991040318,0.11404728789986092,0.0,1.0,0.03699551569506727,0.5,0.35714285714285715,0.5,0.5
31,0.12858802057408328,0.11891515994436717,0.0,1.0,0.03923766816143498,0.5,0.35714285714285715,0.5,0.5
32,0.1327360212377634,0.12169680111265646,0.0,1.0,0.04147982062780269,0.5,0.35714285714285715,0.6,0.6
33,0.1368840219014435,0.12656467315716272,0.0,1.0,0.04484304932735426,0.5,0.35714285714285715,0.7,0.7
34,0.14103202256512362,0.12934631432545202,0.0,1.0,0.04484304932735426,0.5,0.35714285714285715,0.7,0.7
35,0.14518002322880372,0.13282336578581364,0.0,1.0,0.04708520179372197,0.5,0.35714285714285715,0.7,0.7
36,0.1493280238924838,0.13699582753824757,0.0,1.0,0.05044843049327354,0.5,0.35714285714285715,0.7,0.7
37,0.15347602455616394,0.1411682892906815,0.0,1.0,0.05044843049327354,0.5,0.35714285714285715,0.7,0.7
38,0.15762402521984403,0.14255910987482615,0.0,1.0,0.052690582959641255,0.5,0.35714285714285715,0.7,0.7
39,0.16177202588352413,0.14673157162726008,0.0,1.0,0.053811659192825115,0.5,0.35714285714285715,0.7,0.7
40,0.16592002654720425,0.14951321279554938,0.0,1.0,0.05717488789237668,0.5,0.35714285714285715,0.7,0.7
41,0.17006802721088435,0.15299026425591097,0.0,1.0,0.05829596412556054,0.5,0.35714285714285715,0.7,0.7
42,0.17421602787456447,0.1564673157162726,0.0,1.0,0.06053811659192825,0.5,0.35714285714285715,0.7,0.7
43,0.17836402853824457,0.1599443671766342,0.0,1.0,0.06053811659192825,0.5,0.35714285714285715,0.7,0.7
44,0.18251202920192466,0.16411682892906815,0.0,1.0,0.06278026905829596,0.5,0.35714285714285715,0.7,0.7
45,0.1866600298656048,0.16759388038942977,0.0,1.0,0.06390134529147982,0.5,0.35714285714285715,0.8,0.8
46,0.19080803052928488,0.17107093184979139,0.0,1.0,0.06838565022421525,0.5,0.35714285714285715,0.8,0.8
47,0.19495603119296498,0.17385257301808066,0.0,1.0,0.06950672645739911,0.5,0.35714285714285715,0.8,0.8
48,0.1991040318566451,0.1808066759388039,0.0,1.0,0.07511210762331838,0.5,0.35714285714285715,0.8,0.8
49,0.2032520325203252,0.18428372739916551,0.0,1.0,0.07623318385650224,0.6,0.42857142857142855,0.8,0.8
