Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected)
1,0.0041548944656805715,0.005148005148005148,0.0,0.1,0.0008223684210526315,0.0,0.0
2,0.008309788931361143,0.008365508365508366,0.0,0.2,0.001644736842105263,0.2,0.15384615384615385
3,0.012464683397041714,0.011583011583011582,0.0,0.3,0.0024671052631578946,0.2,0.15384615384615385
4,0.016619577862722286,0.01673101673101673,0.0,0.4,0.003289473684210526,0.2,0.15384615384615385
5,0.02077447232840286,0.021235521235521235,0.0,0.6,0.004934210526315789,0.3,0.23076923076923078
6,0.02492936679408343,0.02445302445302445,0.0,0.6,0.004934210526315789,0.3,0.23076923076923078
7,0.029084261259764002,0.02702702702702703,0.0,0.6,0.004934210526315789,0.4,0.3076923076923077
8,0.03323915572544457,0.028314028314028315,0.0,0.7,0.005756578947368421,0.4,0.3076923076923077
9,0.03739405019112515,0.032175032175032175,0.0,1.0,0.008223684210526315,0.4,0.3076923076923077
10,0.04154894465680572,0.0341055341055341,0.0,1.0,0.009046052631578948,0.4,0.3076923076923077
11,0.04570383912248629,0.03732303732303732,0.0,1.0,0.011513157894736841,0.4,0.3076923076923077
12,0.04985873358816686,0.04182754182754183,0.0,1.0,0.011513157894736841,0.7,0.5384615384615384
13,0.054013628053847434,0.046975546975546977,0.0,1.0,0.013980263157894737,0.7,0.5384615384615384
14,0.058168522519528004,0.05019305019305019,0.0,1.0,0.014802631578947368,0.7,0.5384615384615384
15,0.062323416985208574,0.055341055341055344,0.0,1.0,0.01644736842105263,0.7,0.5384615384615384
16,0.06647831145088914,0.05727155727155727,0.0,1.0,0.018092105263157895,0.7,0.5384615384615384
17,0.07063320591656971,0.06048906048906049,0.0,1.0,0.019736842105263157,0.7,0.5384615384615384
18,0.0747881003822503,0.06628056628056628,0.0,1.0,0.022203947368421052,0.7,0.5384615384615384
19,0.07894299484793087,0.0694980694980695,0.0,1.0,0.023848684210526317,0.7,0.5384615384615384
20,0.08309788931361144,0.07335907335907337,0.0,1.0,0.023848684210526317,0.7,0.5384615384615384
21,0.087252783779292,0.07850707850707851,0.0,1.0,0.027138157894736843,0.7,0.5384615384615384
22,0.09140767824497258,0.08172458172458172,0.0,1.0,0.028782894736842105,0.7,0.5384615384615384
23,0.09556257271065315,0.08494208494208494,0.0,1.0,0.032072368421052634,0.7,0.5384615384615384
24,0.09971746717633372,0.0888030888030888,0.0,1.0,0.03453947368421053,0.7,0.5384615384615384
25,0.1038723616420143,0.09073359073359073,0.0,1.0,0.03618421052631579,0.7,0.5384615384615384
26,0.10802725610769487,0.09395109395109395,0.0,1.0,0.038651315789473686,0.7,0.5384615384615384
27,0.11218215057337544,0.09716859716859717,0.0,1.0,0.04111842105263158,0.7,0.5384615384615384
28,0.11633704503905601,0.09974259974259975,0.0,1.0,0.04194078947368421,0.7,0.5384615384615384
29,0.12049193950473658,0.10424710424710425,0.0,1.0,0.046875,0.8,0.6153846153846154
30,0.12464683397041715,0.10810810810810811,0.0,1.0,0.05098684210526316,0.8,0.6153846153846154
31,0.12880172843609772,0.11068211068211069,0.0,1.0,0.05263157894736842,0.8,0.6153846153846154
32,0.1329566229017783,0.11261261261261261,0.0,1.0,0.05345394736842105,0.8,0.6153846153846154
33,0.13711151736745886,0.11518661518661519,0.0,1.0,0.055098684210526314,0.8,0.6153846153846154
34,0.14126641183313943,0.12226512226512226,0.0,1.0,0.05838815789473684,0.8,0.6153846153846154
35,0.14542130629882,0.1274131274131274,0.0,1.0,0.061677631578947366,0.9,0.6923076923076923
36,0.1495762007645006,0.13449163449163448,0.0,1.0,0.06578947368421052,0.9,0.6923076923076923
37,0.15373109523018116,0.13963963963963963,0.0,1.0,0.06743421052631579,0.9,0.6923076923076923
38,0.15788598969586173,0.14414414414414414,0.0,1.0,0.06990131578947369,0.9,0.6923076923076923
39,0.1620408841615423,0.14736164736164736,0.0,1.0,0.07236842105263158,0.9,0.6923076923076923
40,0.16619577862722287,0.14993564993564992,0.0,1.0,0.07319078947368421,0.9,0.6923076923076923
41,0.17035067309290344,0.15572715572715573,0.0,1.0,0.078125,0.9,0.6923076923076923
42,0.174505567558584,0.15894465894465895,0.0,1.0,0.08141447368421052,0.9,0.6923076923076923
43,0.17866046202426458,0.16216216216216217,0.0,1.0,0.08305921052631579,0.9,0.6923076923076923
44,0.18281535648994515,0.1640926640926641,0.0,1.0,0.08470394736842106,0.9,0.6923076923076923
45,0.18697025095562572,0.16924066924066924,0.0,1.0,0.08799342105263158,0.9,0.6923076923076923
46,0.1911251454213063,0.17567567567567569,0.0,1.0,0.0912828947368421,1.0,0.7692307692307693
47,0.19528003988698686,0.1788931788931789,0.0,1.0,0.09457236842105263,1.0,0.7692307692307693
48,0.19943493435266743,0.18468468468468469,0.0,1.0,0.10032894736842106,1.0,0.7692307692307693
49,0.203589828818348,0.19176319176319176,0.0,1.0,0.10773026315789473,1.0,0.7692307692307693
50,0.2077447232840286,0.19626769626769627,0.0,1.0,0.11019736842105263,1.0,0.7692307692307693
51,0.21189961774970917,0.20141570141570142,0.0,1.0,0.11513157894736842,1.0,0.7692307692307693
52,0.21605451221538974,0.20656370656370657,0.0,1.0,0.11924342105263158,1.0,0.7692307692307693
53,0.2202094066810703,0.21042471042471042,0.0,1.0,0.12171052631578948,1.0,0.8461538461538461
54,0.22436430114675088,0.21428571428571427,0.0,1.0,0.12582236842105263,1.0,0.8461538461538461
55,0.22851919561243145,0.2187902187902188,0.0,1.0,0.13075657894736842,1.0,0.8461538461538461
56,0.23267409007811202,0.22265122265122264,0.0,1.0,0.13486842105263158,1.0,0.8461538461538461
57,0.2368289845437926,0.22586872586872586,0.0,1.0,0.13898026315789475,1.0,0.8461538461538461
58,0.24098387900947316,0.23166023166023167,0.0,1.0,0.14226973684210525,1.0,0.8461538461538461
59,0.24513877347515373,0.23616473616473616,0.0,1.0,0.1455592105263158,1.0,0.8461538461538461
60,0.2492936679408343,0.23938223938223938,0.0,1.0,0.14884868421052633,1.0,0.8461538461538461
61,0.25344856240651487,0.24195624195624196,0.0,1.0,0.15213815789473684,1.0,0.8461538461538461
62,0.25760345687219544,0.24581724581724582,0.0,1.0,0.15460526315789475,1.0,0.8461538461538461
63,0.261758351337876,0.24967824967824967,0.5,1.0,0.15707236842105263,1.0,0.8461538461538461
64,0.2659132458035566,0.25418275418275416,0.5,1.0,0.1611842105263158,1.0,0.8461538461538461
65,0.27006814026923714,0.2606177606177606,0.5,1.0,0.16858552631578946,1.0,0.8461538461538461
66,0.2742230347349177,0.26383526383526384,0.5,1.0,0.171875,1.0,0.8461538461538461
67,0.2783779292005983,0.2676962676962677,0.5,1.0,0.17434210526315788,1.0,0.8461538461538461
68,0.28253282366627885,0.2709137709137709,0.5,1.0,0.1768092105263158,1.0,0.8461538461538461
69,0.2866877181319594,0.2747747747747748,0.5,1.0,0.18009868421052633,1.0,0.8461538461538461
70,0.29084261259764,0.27734877734877733,0.5,1.0,0.18174342105263158,1.0,0.8461538461538461
71,0.2949975070633206,0.28314028314028317,0.5,1.0,0.18667763157894737,1.0,0.8461538461538461
72,0.2991524015290012,0.2882882882882883,0.5,1.0,0.19161184210526316,1.0,0.8461538461538461
73,0.30330729599468176,0.29214929214929214,0.5,1.0,0.19325657894736842,1.0,0.8461538461538461
74,0.30746219046036233,0.2972972972972973,0.5,1.0,0.19901315789473684,1.0,0.8461538461538461
75,0.3116170849260429,0.3030888030888031,0.5,1.0,0.203125,1.0,0.9230769230769231
76,0.31577197939172347,0.3088803088803089,0.5,1.0,0.2080592105263158,1.0,0.9230769230769231
77,0.31992687385740404,0.3127413127413127,0.5,1.0,0.21217105263157895,1.0,0.9230769230769231
78,0.3240817683230846,0.315958815958816,0.5,1.0,0.21546052631578946,1.0,0.9230769230769231
79,0.3282366627887652,0.3223938223938224,0.5,1.0,0.22121710526315788,1.0,0.9230769230769231
80,0.33239155725444575,0.32947232947232946,0.5,1.0,0.22697368421052633,1.0,0.9230769230769231
81,0.3365464517201263,0.3314028314028314,0.5,1.0,0.2294407894736842,1.0,0.9230769230769231
82,0.3407013461858069,0.33719433719433717,0.5,1.0,0.234375,1.0,0.9230769230769231
83,0.34485624065148746,0.33976833976833976,1.0,1.0,0.23684210526315788,1.0,1.0
84,0.349011135117168,0.3416988416988417,1.0,1.0,0.23848684210526316,1.0,1.0
85,0.3531660295828486,0.342985842985843,1.0,1.0,0.24013157894736842,1.0,1.0
86,0.35732092404852916,0.34684684684684686,1.0,1.0,0.24342105263157895,1.0,1.0
87,0.36147581851420973,0.35135135135135137,1.0,1.0,0.24753289473684212,1.0,1.0
88,0.3656307129798903,0.35456885456885456,1.0,1.0,0.25164473684210525,1.0,1.0
89,0.3697856074455709,0.35714285714285715,1.0,1.0,0.25411184210526316,1.0,1.0
90,0.37394050191125144,0.361003861003861,1.0,1.0,0.2590460526315789,1.0,1.0
91,0.378095396376932,0.3635778635778636,1.0,1.0,0.26151315789473684,1.0,1.0
92,0.3822502908426126,0.36936936936936937,1.0,1.0,0.26726973684210525,1.0,1.0
93,0.38640518530829315,0.3732303732303732,1.0,1.0,0.2713815789473684,1.0,1.0
94,0.3905600797739737,0.3764478764478765,1.0,1.0,0.2746710526315789,1.0,1.0
95,0.3947149742396543,0.37773487773487774,1.0,1.0,0.2754934210526316,1.0,1.0
96,0.39886986870533486,0.3815958815958816,1.0,1.0,0.28042763157894735,1.0,1.0
97,0.40302476317101543,0.38545688545688545,1.0,1.0,0.2837171052631579,1.0,1.0
98,0.407179657636696,0.38996138996138996,1.0,1.0,0.2870065789473684,1.0,1.0
99,0.4113345521023766,0.39510939510939513,1.0,1.0,0.29276315789473684,1.0,1.0
100,0.4154894465680572,0.3983268983268983,1.0,1.0,0.29605263157894735,1.0,1.0
101,0.41964434103373777,0.40025740025740025,1.0,1.0,0.29769736842105265,1.0,1.0
102,0.42379923549941834,0.4066924066924067,1.0,1.0,0.3042763157894737,1.0,1.0
103,0.4279541299650989,0.4111969111969112,1.0,1.0,0.30756578947368424,1.0,1.0
104,0.4321090244307795,0.416988416988417,1.0,1.0,0.31414473684210525,1.0,1.0
105,0.43626391889646005,0.4202059202059202,1.0,1.0,0.31743421052631576,1.0,1.0
106,0.4404188133621406,0.42277992277992277,1.0,1.0,0.3199013157894737,1.0,1.0
107,0.4445737078278212,0.4266409266409266,1.0,1.0,0.32319078947368424,1.0,1.0
108,0.44872860229350175,0.43114543114543114,1.0,1.0,0.32730263157894735,1.0,1.0
109,0.4528834967591823,0.43564993564993565,1.0,1.0,0.3314144736842105,1.0,1.0
110,0.4570383912248629,0.43822393822393824,1.0,1.0,0.3338815789473684,1.0,1.0
111,0.46119328569054346,0.4407979407979408,1.0,1.0,0.3363486842105263,1.0,1.0
112,0.46534818015622403,0.44272844272844275,1.0,1.0,0.3371710526315789,1.0,1.0
113,0.4695030746219046,0.44594594594594594,1.0,1.0,0.3412828947368421,1.0,1.0
114,0.4736579690875852,0.44851994851994853,1.0,1.0,0.34457236842105265,1.0,1.0
115,0.47781286355326574,0.4523809523809524,1.0,1.0,0.34786184210526316,1.0,1.0
116,0.4819677580189463,0.4555984555984556,1.0,1.0,0.3519736842105263,1.0,1.0
117,0.4861226524846269,0.4613899613899614,1.0,1.0,0.35855263157894735,1.0,1.0
118,0.49027754695030745,0.4626769626769627,1.0,1.0,0.359375,1.0,1.0
119,0.494432441415988,0.46653796653796653,1.0,1.0,0.3626644736842105,1.0,1.0
120,0.4985873358816686,0.47104247104247104,1.0,1.0,0.3675986842105263,1.0,1.0
121,0.5027422303473492,0.47425997425997424,1.0,1.0,0.3717105263157895,1.0,1.0
122,0.5068971248130297,0.4800514800514801,1.0,1.0,0.37664473684210525,1.0,1.0
123,0.5110520192787104,0.48326898326898327,1.0,1.0,0.37993421052631576,1.0,1.0
124,0.5152069137443909,0.4864864864864865,1.0,1.0,0.3840460526315789,1.0,1.0
125,0.5193618082100715,0.4929214929214929,1.0,1.0,0.39144736842105265,1.0,1.0
126,0.523516702675752,0.4942084942084942,1.0,1.0,0.3930921052631579,1.0,1.0
127,0.5276715971414326,0.5012870012870013,1.0,1.0,0.3996710526315789,1.0,1.0
128,0.5318264916071131,0.5064350064350064,1.0,1.0,0.40460526315789475,1.0,1.0
129,0.5359813860727938,0.5122265122265123,1.0,1.0,0.4120065789473684,1.0,1.0
130,0.5401362805384743,0.5180180180180181,1.0,1.0,0.41776315789473684,1.0,1.0
131,0.5442911750041549,0.5225225225225225,1.0,1.0,0.42269736842105265,1.0,1.0
132,0.5484460694698354,0.525096525096525,1.0,1.0,0.4251644736842105,1.0,1.0
133,0.552600963935516,0.527027027027027,1.0,1.0,0.4276315789473684,1.0,1.0
134,0.5567558584011966,0.5302445302445302,1.0,1.0,0.4309210526315789,1.0,1.0
135,0.5609107528668772,0.5328185328185329,1.0,1.0,0.4342105263157895,1.0,1.0
136,0.5650656473325577,0.5373230373230373,1.0,1.0,0.4399671052631579,1.0,1.0
137,0.5692205417982383,0.545045045045045,1.0,1.0,0.44819078947368424,1.0,1.0
138,0.5733754362639188,0.5482625482625483,1.0,1.0,0.45148026315789475,1.0,1.0
139,0.5775303307295995,0.5546975546975547,1.0,1.0,0.4588815789473684,1.0,1.0
140,0.58168522519528,0.5592020592020592,1.0,1.0,0.46381578947368424,1.0,1.0
141,0.5858401196609606,0.5630630630630631,1.0,1.0,0.46875,1.0,1.0
142,0.5899950141266412,0.5662805662805663,1.0,1.0,0.47286184210526316,1.0,1.0
143,0.5941499085923218,0.5694980694980695,1.0,1.0,0.4753289473684211,1.0,1.0
144,0.5983048030580024,0.5765765765765766,1.0,1.0,0.484375,1.0,1.0
145,0.6024596975236829,0.5836550836550837,1.0,1.0,0.4917763157894737,1.0,1.0
146,0.6066145919893635,0.5875160875160875,1.0,1.0,0.49588815789473684,1.0,1.0
147,0.610769486455044,0.5945945945945946,1.0,1.0,0.5041118421052632,1.0,1.0
148,0.6149243809207247,0.6003861003861004,1.0,1.0,0.5115131578947368,1.0,1.0
149,0.6190792753864052,0.6036036036036037,1.0,1.0,0.515625,1.0,1.0
150,0.6232341698520858,0.6081081081081081,1.0,1.0,0.5213815789473685,1.0,1.0
151,0.6273890643177663,0.6113256113256114,1.0,1.0,0.5254934210526315,1.0,1.0
152,0.6315439587834469,0.6138996138996139,1.0,1.0,0.5279605263157895,1.0,1.0
153,0.6356988532491274,0.6184041184041184,1.0,1.0,0.5328947368421053,1.0,1.0
154,0.6398537477148081,0.6222651222651223,1.0,1.0,0.537828947368421,1.0,1.0
155,0.6440086421804886,0.6267696267696268,1.0,1.0,0.5427631578947368,1.0,1.0
156,0.6481635366461692,0.631917631917632,1.0,1.0,0.5493421052631579,1.0,1.0
157,0.6523184311118497,0.6377091377091377,1.0,1.0,0.5550986842105263,1.0,1.0
158,0.6564733255775304,0.6435006435006435,1.0,1.0,0.5625,1.0,1.0
159,0.6606282200432109,0.648005148005148,1.0,1.0,0.5682565789473685,1.0,1.0
160,0.6647831145088915,0.6537966537966537,1.0,1.0,0.5756578947368421,1.0,1.0
161,0.668938008974572,0.657014157014157,1.0,1.0,0.5797697368421053,1.0,1.0
162,0.6730929034402526,0.6647361647361647,1.0,1.0,0.5896381578947368,1.0,1.0
163,0.6772477979059331,0.6685971685971686,1.0,1.0,0.5945723684210527,1.0,1.0
164,0.6814026923716138,0.6743886743886743,1.0,1.0,0.6019736842105263,1.0,1.0
165,0.6855575868372943,0.6756756756756757,1.0,1.0,0.6036184210526315,1.0,1.0
166,0.6897124813029749,0.6801801801801802,1.0,1.0,0.609375,1.0,1.0
167,0.6938673757686554,0.6833976833976834,1.0,1.0,0.6134868421052632,1.0,1.0
168,0.698022270234336,0.6866151866151866,1.0,1.0,0.6175986842105263,1.0,1.0
169,0.7021771647000166,0.6917631917631918,1.0,1.0,0.6233552631578947,1.0,1.0
170,0.7063320591656972,0.6975546975546976,1.0,1.0,0.6291118421052632,1.0,1.0
171,0.7104869536313778,0.702059202059202,1.0,1.0,0.6348684210526315,1.0,1.0
172,0.7146418480970583,0.7059202059202059,1.0,1.0,0.6389802631578947,1.0,1.0
173,0.718796742562739,0.711068211068211,1.0,1.0,0.6455592105263158,1.0,1.0
174,0.7229516370284195,0.7136422136422137,1.0,1.0,0.6488486842105263,1.0,1.0
175,0.7271065314941001,0.7187902187902188,1.0,1.0,0.6546052631578947,1.0,1.0
176,0.7312614259597806,0.7245817245817245,1.0,1.0,0.6620065789473685,1.0,1.0
177,0.7354163204254612,0.7290862290862291,1.0,1.0,0.6677631578947368,1.0,1.0
