Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected),Pattern 7 (%),Pattern 7 (% Detected)
1,0.004170837504170837,0.001962708537782139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008341675008341674,0.003925417075564278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012512512512512513,0.010794896957801767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
4,0.01668335001668335,0.015701668302257114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020854187520854186,0.018645731108930325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
6,0.025025025025025027,0.023552502453385672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
7,0.029195862529195864,0.02845927379784102,0.0,0.1,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0333667000333667,0.033366045142296366,0.0,0.1,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
9,0.03753753753753754,0.03925417075564279,0.0,0.1,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
10,0.04170837504170837,0.04317958783120707,0.0,0.1,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
11,0.04587921254587921,0.047105004906771344,0.0,0.1,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
12,0.05005005005005005,0.052011776251226695,0.0,0.1,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
