Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected)
1,0.0041813012209399565,0.003805899143672693,0.0,0.1,0.0017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008362602441879913,0.010466222645099905,0.0,0.1,0.0017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012543903662819869,0.017126546146527116,0.0,0.2,0.0035398230088495575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016725204883759826,0.019980970504281638,0.0,0.4,0.007079646017699115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020906506104699782,0.023786869647954328,0.0,0.4,0.007079646017699115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.025087807325639738,0.029495718363463368,0.0,0.5,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.029269108546579697,0.038058991436726926,0.0,0.8,0.01415929203539823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.03345040976751965,0.04471931493815414,0.0,0.9,0.01592920353982301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.03763171098845961,0.05042816365366318,0.0,1.0,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.041813012209399564,0.05423406279733587,0.0,1.0,0.021238938053097345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.04599431343033952,0.05994291151284491,0.0,1.0,0.023008849557522124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.050175614651279475,0.06374881065651761,0.0,1.0,0.02654867256637168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.054356915872219434,0.06850618458610847,0.0,1.0,0.02831858407079646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.05853821709315939,0.07231208372978117,0.0,1.0,0.02831858407079646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.06271951831409935,0.07706945765937202,0.0,1.0,0.03008849557522124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0669008195350393,0.08277830637488107,0.0,1.0,0.033628318584070796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.07108212075597926,0.08658420551855375,0.0,1.0,0.035398230088495575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.07526342197691922,0.08943862987630828,0.0,1.0,0.03716814159292035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.07944472319785917,0.09514747859181731,0.0,1.0,0.03893805309734513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.08362602441879913,0.09800190294957184,0.0,1.0,0.04070796460176991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.08780732563973909,0.09990485252140818,0.0,1.0,0.04424778761061947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.09198862686067905,0.10751665080875357,0.0,1.0,0.047787610619469026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.096169928081619,0.11512844909609896,0.0,1.0,0.049557522123893805,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
24,0.10035122930255895,0.11893434823977164,0.0,1.0,0.05309734513274336,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
25,0.10453253052349891,0.12559467174119887,0.0,1.0,0.05486725663716814,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
26,0.10871383174443887,0.13035204567078973,0.0,1.0,0.05663716814159292,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
27,0.11289513296537883,0.13320647002854424,0.0,1.0,0.05663716814159292,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
28,0.11707643418631879,0.13986679352997144,0.0,1.0,0.06371681415929203,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
29,0.12125773540725873,0.14462416745956233,0.0,1.0,0.06902654867256637,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
30,0.1254390366281987,0.15128449096098953,0.0,1.0,0.0743362831858407,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
31,0.12962033784913865,0.15509039010466222,0.0,1.0,0.0743362831858407,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
32,0.1338016390700786,0.1598477640342531,0.0,1.0,0.07787610619469026,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
33,0.13798294029101857,0.1636536631779258,0.0,1.0,0.07964601769911504,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
34,0.14216424151195853,0.1665080875356803,0.0,1.0,0.0831858407079646,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
