Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected)
1,0.0041548944656805715,0.003861003861003861,0.0,0.1,0.0008223684210526315,0.0,0.0
2,0.008309788931361143,0.005791505791505791,0.0,0.4,0.003289473684210526,0.0,0.0
3,0.012464683397041714,0.017374517374517374,0.0,1.0,0.018092105263157895,0.0,0.0
4,0.016619577862722286,0.026383526383526385,0.0,1.0,0.027960526315789474,0.0,0.0
5,0.02077447232840286,0.03667953667953668,0.0,1.0,0.039473684210526314,0.0,0.0
6,0.02492936679408343,0.04182754182754183,0.0,1.0,0.044407894736842105,0.0,0.0
7,0.029084261259764002,0.04954954954954955,0.0,1.0,0.05263157894736842,0.0,0.0
8,0.03323915572544457,0.05276705276705277,0.0,1.0,0.054276315789473686,0.0,0.0
9,0.03739405019112515,0.059202059202059204,0.0,1.0,0.0625,0.0,0.0
10,0.04154894465680572,0.06756756756756757,0.0,1.0,0.07072368421052631,0.0,0.0
11,0.04570383912248629,0.07850707850707851,0.0,1.0,0.08388157894736842,0.0,0.0
12,0.04985873358816686,0.08751608751608751,0.0,1.0,0.0912828947368421,0.0,0.0
13,0.054013628053847434,0.09652509652509653,0.5,1.0,0.09950657894736842,0.0,0.0
14,0.058168522519528004,0.10296010296010295,0.5,1.0,0.10444078947368421,0.0,0.0
15,0.062323416985208574,0.11196911196911197,0.5,1.0,0.11513157894736842,0.0,0.0
16,0.06647831145088914,0.12226512226512226,0.5,1.0,0.12335526315789473,0.0,0.0
17,0.07063320591656971,0.13127413127413126,0.5,1.0,0.13157894736842105,0.0,0.0
18,0.0747881003822503,0.14157014157014158,0.5,1.0,0.14309210526315788,0.0,0.0
19,0.07894299484793087,0.1492921492921493,0.5,1.0,0.15213815789473684,0.0,0.0
20,0.08309788931361144,0.15637065637065636,0.5,1.0,0.1611842105263158,0.0,0.0
21,0.087252783779292,0.16731016731016732,0.5,1.0,0.17516447368421054,0.0,0.0
22,0.09140767824497258,0.17696267696267695,0.5,1.0,0.18585526315789475,0.0,0.0
23,0.09556257271065315,0.1788931788931789,0.5,1.0,0.18667763157894737,0.0,0.0
24,0.09971746717633372,0.18275418275418276,0.5,1.0,0.18667763157894737,0.1,0.07692307692307693
25,0.1038723616420143,0.18404118404118405,0.5,1.0,0.18667763157894737,0.1,0.07692307692307693
26,0.10802725610769487,0.1866151866151866,0.5,1.0,0.18832236842105263,0.2,0.15384615384615385
27,0.11218215057337544,0.19111969111969113,0.5,1.0,0.18996710526315788,0.3,0.23076923076923078
28,0.11633704503905601,0.19240669240669242,0.5,1.0,0.19078947368421054,0.3,0.23076923076923078
29,0.12049193950473658,0.1956241956241956,0.5,1.0,0.19325657894736842,0.4,0.3076923076923077
30,0.12464683397041715,0.20012870012870013,0.5,1.0,0.19407894736842105,0.6,0.46153846153846156
31,0.12880172843609772,0.20270270270270271,0.5,1.0,0.19490131578947367,0.6,0.46153846153846156
32,0.1329566229017783,0.20527670527670527,0.5,1.0,0.19654605263157895,0.7,0.5384615384615384
33,0.13711151736745886,0.2097812097812098,0.5,1.0,0.1981907894736842,0.7,0.5384615384615384
34,0.14126641183313943,0.21428571428571427,0.5,1.0,0.20065789473684212,0.7,0.5384615384615384
35,0.14542130629882,0.2175032175032175,0.5,1.0,0.20230263157894737,0.7,0.5384615384615384
36,0.1495762007645006,0.22007722007722008,0.5,1.0,0.20230263157894737,0.7,0.5384615384615384
37,0.15373109523018116,0.22522522522522523,0.5,1.0,0.20559210526315788,0.7,0.5384615384615384
38,0.15788598969586173,0.22908622908622908,0.5,1.0,0.2080592105263158,0.7,0.5384615384615384
39,0.1620408841615423,0.23166023166023167,0.5,1.0,0.20970394736842105,0.7,0.5384615384615384
40,0.16619577862722287,0.2348777348777349,0.5,1.0,0.21052631578947367,0.7,0.5384615384615384
41,0.17035067309290344,0.23680823680823682,0.5,1.0,0.21134868421052633,0.7,0.5384615384615384
42,0.174505567558584,0.24002574002574004,0.5,1.0,0.21299342105263158,0.7,0.5384615384615384
43,0.17866046202426458,0.24453024453024452,0.5,1.0,0.21299342105263158,0.8,0.6153846153846154
44,0.18281535648994515,0.2483912483912484,0.5,1.0,0.21546052631578946,0.9,0.6923076923076923
45,0.18697025095562572,0.2528957528957529,0.5,1.0,0.21710526315789475,0.9,0.6923076923076923
46,0.1911251454213063,0.2554697554697555,0.5,1.0,0.21875,0.9,0.6923076923076923
47,0.19528003988698686,0.25997425997426,0.5,1.0,0.21957236842105263,0.9,0.6923076923076923
48,0.19943493435266743,0.2631917631917632,0.5,1.0,0.22121710526315788,0.9,0.6923076923076923
49,0.203589828818348,0.26705276705276704,0.5,1.0,0.2236842105263158,0.9,0.6923076923076923
50,0.2077447232840286,0.2709137709137709,0.5,1.0,0.22615131578947367,0.9,0.6923076923076923
51,0.21189961774970917,0.2734877734877735,0.5,1.0,0.22697368421052633,0.9,0.6923076923076923
