Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected)
1,0.0041883062489529235,0.003971405877680699,0.0,0.0,0.0,0.1,0.004291845493562232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008376612497905847,0.009531374106433678,0.0,0.2,0.18181818181818182,0.3,0.012875536480686695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.01256491874685877,0.011914217633042097,0.0,0.2,0.18181818181818182,0.3,0.012875536480686695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016753224995811694,0.018268467037331215,0.0,0.2,0.18181818181818182,0.3,0.012875536480686695,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0
5,0.020941531244764618,0.025416997617156472,0.0,0.2,0.18181818181818182,0.4,0.017167381974248927,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0
6,0.02512983749371754,0.03494837172359015,0.0,0.2,0.18181818181818182,0.5,0.02145922746781116,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.1,0.0,0.0
7,0.029318143742670465,0.04209690230341541,0.0,0.2,0.18181818181818182,0.5,0.02145922746781116,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.1,0.0,0.0
8,0.03350644999162339,0.05480540111199365,0.0,0.2,0.18181818181818182,0.5,0.02145922746781116,0.1,0.037037037037037035,0.0,0.0,0.1,0.05,0.1,0.1,0.0,0.0
9,0.03769475624057631,0.06751389992057188,0.0,0.3,0.2727272727272727,0.6,0.02575107296137339,0.1,0.037037037037037035,0.1,0.03571428571428571,0.2,0.1,0.1,0.1,0.0,0.0
10,0.041883062489529235,0.08101667990468626,0.0,0.3,0.2727272727272727,1.0,0.04291845493562232,0.1,0.037037037037037035,0.4,0.14285714285714285,0.2,0.1,0.1,0.1,0.0,0.0
11,0.04607136873848216,0.09213661636219221,0.0,0.4,0.36363636363636365,1.0,0.060085836909871244,0.2,0.07407407407407407,0.4,0.14285714285714285,0.2,0.1,0.1,0.1,0.0,0.0
12,0.05025967498743508,0.10484511517077046,0.0,0.4,0.36363636363636365,1.0,0.0944206008583691,0.3,0.1111111111111111,0.4,0.14285714285714285,0.3,0.15,0.3,0.3,0.0,0.0
13,0.054447981236388006,0.1096108022239873,0.0,0.4,0.36363636363636365,1.0,0.10300429184549356,0.3,0.1111111111111111,0.4,0.14285714285714285,0.3,0.15,0.3,0.3,0.1,0.058823529411764705
14,0.05863628748534093,0.11437648927720413,0.0,0.4,0.36363636363636365,1.0,0.10300429184549356,0.3,0.1111111111111111,0.4,0.14285714285714285,0.3,0.15,0.3,0.3,0.1,0.058823529411764705
15,0.06282459373429385,0.11914217633042097,0.0,0.4,0.36363636363636365,1.0,0.10300429184549356,0.3,0.1111111111111111,0.4,0.14285714285714285,0.3,0.15,0.3,0.3,0.2,0.11764705882352941
16,0.06701289998324678,0.12231930103256553,0.0,0.4,0.36363636363636365,1.0,0.10300429184549356,0.3,0.1111111111111111,0.4,0.14285714285714285,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
17,0.07120120623219969,0.1278792692613185,0.0,0.4,0.36363636363636365,1.0,0.1072961373390558,0.3,0.1111111111111111,0.4,0.14285714285714285,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
18,0.07538951248115262,0.13423351866560762,0.0,0.4,0.36363636363636365,1.0,0.1072961373390558,0.3,0.1111111111111111,0.4,0.14285714285714285,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
19,0.07957781873010554,0.14138204924543288,0.0,0.4,0.36363636363636365,1.0,0.11158798283261803,0.4,0.14814814814814814,0.4,0.14285714285714285,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
20,0.08376612497905847,0.14614773629864972,0.0,0.4,0.36363636363636365,1.0,0.11158798283261803,0.4,0.14814814814814814,0.4,0.14285714285714285,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
21,0.08795443122801139,0.14853057982525814,0.0,0.4,0.36363636363636365,1.0,0.11158798283261803,0.4,0.14814814814814814,0.4,0.14285714285714285,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
22,0.09214273747696432,0.15409054805401112,0.0,0.4,0.36363636363636365,1.0,0.11158798283261803,0.4,0.14814814814814814,0.4,0.14285714285714285,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
23,0.09633104372591723,0.15885623510722796,0.0,0.4,0.36363636363636365,1.0,0.11158798283261803,0.4,0.14814814814814814,0.5,0.17857142857142858,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
24,0.10051934997487016,0.16282764098490865,0.0,0.4,0.36363636363636365,1.0,0.11158798283261803,0.4,0.14814814814814814,0.5,0.17857142857142858,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
25,0.10470765622382308,0.1675933280381255,0.0,0.4,0.36363636363636365,1.0,0.11158798283261803,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
26,0.10889596247277601,0.17077045274027006,0.0,0.4,0.36363636363636365,1.0,0.11158798283261803,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
27,0.11308426872172893,0.17235901509134233,0.0,0.4,0.36363636363636365,1.0,0.11158798283261803,0.4,0.14814814814814814,0.6,0.21428571428571427,0.3,0.15,0.3,0.3,0.3,0.17647058823529413
