Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected)
1,0.0041813012209399565,0.008563273073263558,0.0,0.2,0.0035398230088495575,0.0,0.0,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
2,0.008362602441879913,0.015223596574690771,0.0,0.7,0.012389380530973451,0.0,0.0,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
3,0.012543903662819869,0.019980970504281638,0.0,1.0,0.017699115044247787,0.1,0.1,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
4,0.016725204883759826,0.02759276879162702,0.0,1.0,0.024778761061946902,0.1,0.1,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
5,0.020906506104699782,0.035204567078972404,0.0,1.0,0.03008849557522124,0.1,0.1,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
6,0.025087807325639738,0.04567078972407231,0.0,1.0,0.03893805309734513,0.1,0.1,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
7,0.029269108546579697,0.05137963843958135,0.0,1.0,0.04070796460176991,0.1,0.1,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
8,0.03345040976751965,0.05994291151284491,0.0,1.0,0.047787610619469026,0.1,0.1,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
9,0.03763171098845961,0.06945765937202664,0.0,1.0,0.0584070796460177,0.1,0.1,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
10,0.041813012209399564,0.07992388201712655,0.0,1.0,0.07079646017699115,0.1,0.1,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
11,0.04599431343033952,0.09134157944814462,0.0,1.0,0.08495575221238938,0.1,0.1,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
12,0.050175614651279475,0.10085632730732635,0.0,1.0,0.10088495575221239,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
13,0.054356915872219434,0.10561370123691723,0.0,1.0,0.1079646017699115,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
14,0.05853821709315939,0.11227402473834443,0.0,1.0,0.11150442477876106,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
15,0.06271951831409935,0.11417697431018078,0.0,1.0,0.11150442477876106,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
16,0.0669008195350393,0.1170313986679353,0.0,1.0,0.11327433628318584,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
17,0.07108212075597926,0.11988582302568981,0.0,1.0,0.11327433628318584,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
18,0.07526342197691922,0.12749762131303521,0.0,1.0,0.11504424778761062,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
19,0.07944472319785917,0.13320647002854424,0.0,1.0,0.12035398230088495,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
20,0.08362602441879913,0.14176974310180782,0.0,1.0,0.12389380530973451,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
21,0.08780732563973909,0.14843006660323502,0.0,1.0,0.12920353982300886,0.1,0.1,0.3,0.25,0.0,0.0,0.0,0.0
22,0.09198862686067905,0.15413891531874405,0.0,1.0,0.13097345132743363,0.1,0.1,0.3,0.25,0.0,0.0,0.0,0.0
23,0.096169928081619,0.15889628924833493,0.0,1.0,0.13628318584070798,0.1,0.1,0.3,0.25,0.0,0.0,0.0,0.0
24,0.10035122930255895,0.16555661274976213,0.0,1.0,0.1433628318584071,0.1,0.1,0.3,0.25,0.0,0.0,0.0,0.0
25,0.10453253052349891,0.17126546146527116,0.0,1.0,0.14690265486725665,0.2,0.2,0.3,0.25,0.0,0.0,0.0,0.0
26,0.10871383174443887,0.17507136060894388,0.0,1.0,0.15221238938053097,0.2,0.2,0.3,0.25,0.0,0.0,0.0,0.0
27,0.11289513296537883,0.17887725975261656,0.0,1.0,0.15575221238938053,0.2,0.2,0.3,0.25,0.1,0.1,0.0,0.0
28,0.11707643418631879,0.18268315889628925,0.0,1.0,0.1592920353982301,0.2,0.2,0.3,0.25,0.1,0.1,0.0,0.0
29,0.12125773540725873,0.18553758325404376,0.0,1.0,0.16283185840707964,0.2,0.2,0.3,0.25,0.1,0.1,0.0,0.0
30,0.1254390366281987,0.19029495718363462,0.0,1.0,0.168141592920354,0.2,0.2,0.3,0.25,0.1,0.1,0.0,0.0
31,0.12962033784913865,0.19410085632730734,0.0,1.0,0.16991150442477876,0.2,0.2,0.3,0.25,0.2,0.2,0.0,0.0
