Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected)
1,0.004133597883597883,0.003956478733926805,0.0,0.2,0.00322061191626409,0.0,0.0,0.0,0.0
2,0.008267195767195767,0.004945598417408506,0.0,0.3,0.004830917874396135,0.0,0.0,0.0,0.0
3,0.01240079365079365,0.005934718100890208,0.0,0.4,0.00644122383252818,0.0,0.0,0.0,0.0
4,0.016534391534391533,0.012858555885262116,0.0,0.9,0.014492753623188406,0.0,0.0,0.0,0.0
5,0.02066798941798942,0.02373887240356083,0.0,1.0,0.027375201288244767,0.0,0.0,0.0,0.0
6,0.0248015873015873,0.036597428288822946,0.0,1.0,0.043478260869565216,0.0,0.0,0.0,0.0
7,0.028935185185185185,0.03857566765578635,0.0,1.0,0.04508856682769726,0.0,0.0,0.0,0.0
8,0.03306878306878307,0.03956478733926805,0.0,1.0,0.04508856682769726,0.0,0.0,0.0,0.0
9,0.03720238095238095,0.04451038575667656,0.3333333333333333,1.0,0.04830917874396135,0.1,0.03125,0.0,0.0
10,0.04133597883597884,0.050445103857566766,0.3333333333333333,1.0,0.0499194847020934,0.1,0.03125,0.0,0.0
11,0.04546957671957672,0.051434223541048464,0.3333333333333333,1.0,0.05152979066022544,0.1,0.03125,0.0,0.0
12,0.0496031746031746,0.05539070227497527,0.3333333333333333,1.0,0.05314009661835749,0.1,0.03125,0.0,0.0
13,0.053736772486772486,0.058358061325420374,0.3333333333333333,1.0,0.05314009661835749,0.1,0.03125,0.0,0.0
14,0.05787037037037037,0.06429277942631058,0.3333333333333333,1.0,0.05475040257648953,0.2,0.0625,0.0,0.0
15,0.062003968253968256,0.06627101879327399,0.3333333333333333,1.0,0.05475040257648953,0.2,0.0625,0.0,0.0
16,0.06613756613756613,0.06627101879327399,0.3333333333333333,1.0,0.05475040257648953,0.2,0.0625,0.0,0.0
17,0.07027116402116403,0.0722057368941642,0.3333333333333333,1.0,0.057971014492753624,0.3,0.09375,0.0,0.0
18,0.0744047619047619,0.076162215628091,0.3333333333333333,1.0,0.05958132045088567,0.4,0.125,0.0,0.0
19,0.07853835978835978,0.08011869436201781,0.3333333333333333,1.0,0.05958132045088567,0.5,0.15625,0.0,0.0
20,0.08267195767195767,0.08506429277942631,0.3333333333333333,1.0,0.061191626409017714,0.6,0.1875,0.0,0.0
21,0.08680555555555555,0.08803165182987141,0.3333333333333333,1.0,0.061191626409017714,0.6,0.1875,0.0,0.0
22,0.09093915343915344,0.09495548961424333,0.3333333333333333,1.0,0.06602254428341385,0.7,0.21875,0.0,0.0
23,0.09507275132275132,0.09792284866468842,0.3333333333333333,1.0,0.06602254428341385,0.8,0.25,0.0,0.0
24,0.0992063492063492,0.10187932739861523,0.3333333333333333,1.0,0.06924315619967794,1.0,0.3125,0.0,0.0
25,0.10333994708994709,0.10484668644906034,0.3333333333333333,1.0,0.07085346215780998,1.0,0.34375,0.0,0.0
26,0.10747354497354497,0.10682492581602374,0.3333333333333333,1.0,0.07085346215780998,1.0,0.40625,0.0,0.0
27,0.11160714285714286,0.10781404549950543,0.3333333333333333,1.0,0.07085346215780998,1.0,0.40625,0.0,0.0
28,0.11574074074074074,0.11374876360039565,0.3333333333333333,1.0,0.07729468599033816,1.0,0.40625,0.0,0.0
29,0.11987433862433862,0.11968348170128586,0.3333333333333333,1.0,0.08051529790660225,1.0,0.4375,0.0,0.0
30,0.12400793650793651,0.12363996043521266,0.3333333333333333,1.0,0.08051529790660225,1.0,0.5,0.1,0.1
