Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected)
1,0.004074979625101874,0.006134969325153374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008149959250203748,0.007887817703768623,0.0,0.1,0.00303951367781155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012224938875305624,0.010517090271691499,0.0,0.1,0.00303951367781155,0.0,0.0,0.2,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016299918500407497,0.014899211218229623,0.0,0.1,0.00303951367781155,0.0,0.0,0.2,0.09523809523809523,0.1,0.07142857142857142,0.0,0.0,0.0,0.0
5,0.020374898125509373,0.021910604732690624,0.0,0.1,0.00303951367781155,0.0,0.0,0.2,0.09523809523809523,0.1,0.07142857142857142,0.0,0.0,0.0,0.0
6,0.02444987775061125,0.02366345311130587,0.0,0.1,0.00303951367781155,0.0,0.0,0.2,0.09523809523809523,0.1,0.07142857142857142,0.0,0.0,0.0,0.0
7,0.02852485737571312,0.03067484662576687,0.0,0.2,0.0060790273556231,0.0,0.0,0.2,0.09523809523809523,0.2,0.14285714285714285,0.0,0.0,0.0,0.0
8,0.032599837000814993,0.033304119193689745,0.0,0.2,0.0060790273556231,0.0,0.0,0.2,0.09523809523809523,0.2,0.14285714285714285,0.0,0.0,0.0,0.0
9,0.03667481662591687,0.03768624014022787,0.0,0.2,0.0060790273556231,0.0,0.0,0.2,0.09523809523809523,0.2,0.14285714285714285,0.0,0.0,0.0,0.0
10,0.040749796251018745,0.04294478527607362,0.0,0.2,0.0060790273556231,0.0,0.0,0.2,0.09523809523809523,0.2,0.14285714285714285,0.0,0.0,0.0,0.0
11,0.04482477587612062,0.04557405784399649,0.0,0.3,0.00911854103343465,0.0,0.0,0.2,0.09523809523809523,0.2,0.14285714285714285,0.0,0.0,0.0,0.0
12,0.0488997555012225,0.04820333041191937,0.0,0.3,0.00911854103343465,0.0,0.0,0.2,0.09523809523809523,0.2,0.14285714285714285,0.0,0.0,0.0,0.0
13,0.05297473512632437,0.05083260297984225,0.0,0.4,0.0121580547112462,0.0,0.0,0.2,0.09523809523809523,0.2,0.14285714285714285,0.0,0.0,0.0,0.0
14,0.05704971475142624,0.057843996494303246,0.0,0.4,0.0121580547112462,0.0,0.0,0.2,0.09523809523809523,0.2,0.14285714285714285,0.0,0.0,0.0,0.0
15,0.061124694376528114,0.06397896581945661,0.0,0.7,0.02127659574468085,0.0,0.0,0.2,0.09523809523809523,0.2,0.14285714285714285,0.0,0.0,0.1,0.05263157894736842
16,0.06519967400162999,0.06748466257668712,0.0,0.8,0.0243161094224924,0.0,0.0,0.2,0.09523809523809523,0.2,0.14285714285714285,0.0,0.0,0.1,0.05263157894736842
17,0.06927465362673187,0.07274320771253287,0.0,1.0,0.03343465045592705,0.0,0.0,0.2,0.09523809523809523,0.2,0.14285714285714285,0.0,0.0,0.1,0.05263157894736842
18,0.07334963325183375,0.07887817703768624,0.0,1.0,0.03343465045592705,0.0,0.0,0.2,0.09523809523809523,0.2,0.14285714285714285,0.0,0.0,0.1,0.05263157894736842
19,0.07742461287693561,0.08676599474145487,0.0,1.0,0.0364741641337386,0.1,0.017857142857142856,0.2,0.09523809523809523,0.3,0.21428571428571427,0.0,0.0,0.1,0.05263157894736842
20,0.08149959250203749,0.08939526730937773,0.0,1.0,0.03951367781155015,0.1,0.017857142857142856,0.2,0.09523809523809523,0.3,0.21428571428571427,0.0,0.0,0.1,0.05263157894736842
21,0.08557457212713937,0.09290096406660824,0.0,1.0,0.04559270516717325,0.2,0.03571428571428571,0.2,0.09523809523809523,0.3,0.21428571428571427,0.0,0.0,0.1,0.05263157894736842
22,0.08964955175224124,0.09640666082383874,0.0,1.0,0.0486322188449848,0.2,0.03571428571428571,0.2,0.09523809523809523,0.3,0.21428571428571427,0.0,0.0,0.1,0.05263157894736842
23,0.09372453137734311,0.1016652059596845,0.0,1.0,0.0547112462006079,0.2,0.03571428571428571,0.2,0.09523809523809523,0.3,0.21428571428571427,0.0,0.0,0.2,0.10526315789473684
24,0.097799511002445,0.11130587204206836,0.0,1.0,0.060790273556231005,0.3,0.05357142857142857,0.2,0.09523809523809523,0.3,0.21428571428571427,0.0,0.0,0.3,0.15789473684210525
25,0.10187449062754686,0.1165644171779141,0.0,1.0,0.06382978723404255,0.4,0.07142857142857142,0.2,0.09523809523809523,0.3,0.21428571428571427,0.0,0.0,0.4,0.21052631578947367
26,0.10594947025264874,0.12357581069237511,0.0,1.0,0.0729483282674772,0.4,0.07142857142857142,0.2,0.09523809523809523,0.3,0.21428571428571427,0.0,0.0,0.5,0.2631578947368421
27,0.1100244498777506,0.1270815074496056,0.0,1.0,0.0790273556231003,0.4,0.07142857142857142,0.3,0.14285714285714285,0.3,0.21428571428571427,0.0,0.0,0.5,0.2631578947368421
28,0.11409942950285248,0.12883435582822086,0.0,1.0,0.0790273556231003,0.4,0.07142857142857142,0.3,0.14285714285714285,0.3,0.21428571428571427,0.0,0.0,0.5,0.2631578947368421
29,0.11817440912795436,0.13234005258545137,0.0,1.0,0.0790273556231003,0.4,0.07142857142857142,0.3,0.14285714285714285,0.3,0.21428571428571427,0.0,0.0,0.5,0.2631578947368421
30,0.12224938875305623,0.13409290096406662,0.0,1.0,0.08206686930091185,0.4,0.07142857142857142,0.3,0.14285714285714285,0.3,0.21428571428571427,0.0,0.0,0.5,0.2631578947368421
31,0.1263243683781581,0.13935144609991235,0.0,1.0,0.08206686930091185,0.4,0.07142857142857142,0.3,0.14285714285714285,0.3,0.21428571428571427,0.0,0.0,0.6,0.3157894736842105
32,0.13039934800325997,0.1437335670464505,0.0,1.0,0.0911854103343465,0.4,0.07142857142857142,0.3,0.14285714285714285,0.3,0.21428571428571427,0.0,0.0,0.6,0.3157894736842105
33,0.13447432762836187,0.14986853637160386,0.0,1.0,0.0972644376899696,0.5,0.08928571428571429,0.3,0.14285714285714285,0.3,0.21428571428571427,0.0,0.0,0.6,0.3157894736842105
34,0.13854930725346373,0.1516213847502191,0.0,1.0,0.10030395136778116,0.5,0.08928571428571429,0.3,0.14285714285714285,0.3,0.21428571428571427,0.0,0.0,0.6,0.3157894736842105
35,0.1426242868785656,0.15687992988606486,0.0,1.0,0.10030395136778116,0.5,0.08928571428571429,0.3,0.14285714285714285,0.3,0.21428571428571427,0.0,0.0,0.6,0.3157894736842105
36,0.1466992665036675,0.16301489921121823,0.0,1.0,0.10030395136778116,0.5,0.08928571428571429,0.3,0.14285714285714285,0.3,0.21428571428571427,0.1,0.04,0.7,0.3684210526315789
37,0.15077424612876936,0.16827344434706398,0.0,1.0,0.10030395136778116,0.5,0.08928571428571429,0.3,0.14285714285714285,0.3,0.21428571428571427,0.1,0.04,0.7,0.3684210526315789
38,0.15484922575387122,0.17177914110429449,0.0,1.0,0.1033434650455927,0.5,0.08928571428571429,0.3,0.14285714285714285,0.3,0.21428571428571427,0.1,0.04,0.7,0.3684210526315789
39,0.15892420537897312,0.18054338299737072,0.0,1.0,0.1094224924012158,0.6,0.10714285714285714,0.3,0.14285714285714285,0.3,0.21428571428571427,0.1,0.04,0.7,0.3684210526315789
40,0.16299918500407498,0.18580192813321647,0.0,1.0,0.1094224924012158,0.7,0.125,0.3,0.14285714285714285,0.3,0.21428571428571427,0.1,0.04,0.7,0.3684210526315789
41,0.16707416462917685,0.19106047326906223,0.0,1.0,0.11854103343465046,0.7,0.125,0.3,0.14285714285714285,0.3,0.21428571428571427,0.1,0.04,0.7,0.3684210526315789
42,0.17114914425427874,0.19281332164767748,0.0,1.0,0.11854103343465046,0.7,0.125,0.3,0.14285714285714285,0.3,0.21428571428571427,0.2,0.08,0.7,0.3684210526315789
43,0.1752241238793806,0.19982471516213848,0.0,1.0,0.1276595744680851,0.8,0.14285714285714285,0.3,0.14285714285714285,0.3,0.21428571428571427,0.2,0.08,0.7,0.3684210526315789
44,0.17929910350448247,0.20595968448729185,0.0,1.0,0.1337386018237082,0.8,0.14285714285714285,0.3,0.14285714285714285,0.3,0.21428571428571427,0.2,0.08,0.7,0.3684210526315789
