Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected)
1,0.004074979625101874,0.0035056967572304996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008149959250203748,0.0043821209465381246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012224938875305624,0.007887817703768623,0.0,0.0,0.0,0.1,0.017857142857142856,0.1,0.047619047619047616,0.0,0.0,0.1,0.04,0.0,0.0
4,0.016299918500407497,0.014899211218229623,0.0,0.2,0.0060790273556231,0.1,0.017857142857142856,0.1,0.047619047619047616,0.0,0.0,0.1,0.04,0.0,0.0
5,0.020374898125509373,0.021034180543382998,0.0,0.4,0.0121580547112462,0.1,0.017857142857142856,0.1,0.047619047619047616,0.0,0.0,0.1,0.04,0.0,0.0
6,0.02444987775061125,0.028045574057843997,0.0,0.7,0.02127659574468085,0.1,0.017857142857142856,0.1,0.047619047619047616,0.0,0.0,0.1,0.04,0.0,0.0
7,0.02852485737571312,0.03680981595092025,0.0,1.0,0.03951367781155015,0.1,0.017857142857142856,0.2,0.09523809523809523,0.0,0.0,0.1,0.04,0.0,0.0
8,0.032599837000814993,0.04294478527607362,0.0,1.0,0.0486322188449848,0.2,0.03571428571428571,0.2,0.09523809523809523,0.0,0.0,0.1,0.04,0.0,0.0
9,0.03667481662591687,0.051709027169149865,0.0,1.0,0.06382978723404255,0.3,0.05357142857142857,0.3,0.14285714285714285,0.0,0.0,0.1,0.04,0.0,0.0
10,0.040749796251018745,0.05696757230499562,0.0,1.0,0.06990881458966565,0.4,0.07142857142857142,0.3,0.14285714285714285,0.0,0.0,0.1,0.04,0.0,0.0
11,0.04482477587612062,0.06134969325153374,0.0,1.0,0.06990881458966565,0.4,0.07142857142857142,0.3,0.14285714285714285,0.0,0.0,0.1,0.04,0.1,0.05263157894736842
12,0.0488997555012225,0.06397896581945661,0.0,1.0,0.06990881458966565,0.4,0.07142857142857142,0.3,0.14285714285714285,0.0,0.0,0.1,0.04,0.1,0.05263157894736842
13,0.05297473512632437,0.06748466257668712,0.0,1.0,0.06990881458966565,0.4,0.07142857142857142,0.3,0.14285714285714285,0.0,0.0,0.1,0.04,0.1,0.05263157894736842
14,0.05704971475142624,0.07186678352322524,0.0,1.0,0.06990881458966565,0.5,0.08928571428571429,0.3,0.14285714285714285,0.0,0.0,0.1,0.04,0.1,0.05263157894736842
15,0.061124694376528114,0.07537248028045573,0.0,1.0,0.06990881458966565,0.5,0.08928571428571429,0.3,0.14285714285714285,0.0,0.0,0.1,0.04,0.1,0.05263157894736842
16,0.06519967400162999,0.07975460122699386,0.0,1.0,0.06990881458966565,0.5,0.08928571428571429,0.3,0.14285714285714285,0.0,0.0,0.1,0.04,0.1,0.05263157894736842
17,0.06927465362673187,0.08063102541630149,0.0,1.0,0.06990881458966565,0.5,0.08928571428571429,0.3,0.14285714285714285,0.0,0.0,0.1,0.04,0.1,0.05263157894736842
18,0.07334963325183375,0.08501314636283962,0.0,1.0,0.06990881458966565,0.5,0.08928571428571429,0.3,0.14285714285714285,0.0,0.0,0.1,0.04,0.1,0.05263157894736842
19,0.07742461287693561,0.08501314636283962,0.0,1.0,0.06990881458966565,0.5,0.08928571428571429,0.3,0.14285714285714285,0.0,0.0,0.1,0.04,0.1,0.05263157894736842
20,0.08149959250203749,0.09027169149868536,0.0,1.0,0.06990881458966565,0.5,0.08928571428571429,0.3,0.14285714285714285,0.0,0.0,0.1,0.04,0.1,0.05263157894736842
21,0.08557457212713937,0.09290096406660824,0.0,1.0,0.06990881458966565,0.5,0.08928571428571429,0.3,0.14285714285714285,0.0,0.0,0.1,0.04,0.1,0.05263157894736842
22,0.08964955175224124,0.09903593339176162,0.0,1.0,0.06990881458966565,0.5,0.08928571428571429,0.4,0.19047619047619047,0.0,0.0,0.1,0.04,0.1,0.05263157894736842
23,0.09372453137734311,0.10604732690622261,0.0,1.0,0.0729483282674772,0.5,0.08928571428571429,0.4,0.19047619047619047,0.0,0.0,0.1,0.04,0.1,0.05263157894736842
24,0.097799511002445,0.11393514460999124,0.0,1.0,0.07598784194528875,0.5,0.08928571428571429,0.4,0.19047619047619047,0.1,0.07142857142857142,0.2,0.08,0.1,0.05263157894736842
25,0.10187449062754686,0.11919368974583698,0.0,1.0,0.0790273556231003,0.6,0.10714285714285714,0.4,0.19047619047619047,0.1,0.07142857142857142,0.2,0.08,0.1,0.05263157894736842
26,0.10594947025264874,0.12532865907099036,0.0,1.0,0.08206686930091185,0.6,0.10714285714285714,0.4,0.19047619047619047,0.1,0.07142857142857142,0.2,0.08,0.1,0.05263157894736842
27,0.1100244498777506,0.12883435582822086,0.0,1.0,0.0851063829787234,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.2,0.08,0.1,0.05263157894736842
28,0.11409942950285248,0.13321647677475898,0.0,1.0,0.08814589665653495,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.3,0.12,0.1,0.05263157894736842
29,0.11817440912795436,0.13672217353198948,0.0,1.0,0.08814589665653495,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.3,0.12,0.1,0.05263157894736842
30,0.12224938875305623,0.14022787028921999,0.0,1.0,0.0911854103343465,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.3,0.12,0.1,0.05263157894736842
31,0.1263243683781581,0.1446099912357581,0.0,1.0,0.10030395136778116,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.3,0.12,0.1,0.05263157894736842
32,0.13039934800325997,0.15074496056091147,0.0,1.0,0.1033434650455927,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.3,0.12,0.1,0.05263157894736842
33,0.13447432762836187,0.15687992988606486,0.0,1.0,0.1094224924012158,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.3,0.12,0.3,0.15789473684210525
34,0.13854930725346373,0.16301489921121823,0.0,1.0,0.11854103343465046,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.3,0.12,0.3,0.15789473684210525
35,0.1426242868785656,0.1656441717791411,0.0,1.0,0.12158054711246201,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.3,0.12,0.3,0.15789473684210525
36,0.1466992665036675,0.17177914110429449,0.0,1.0,0.12158054711246201,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.3,0.12,0.3,0.15789473684210525
37,0.15077424612876936,0.17791411042944785,0.0,1.0,0.12462006079027356,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.3,0.12,0.4,0.21052631578947367
38,0.15484922575387122,0.18054338299737072,0.0,1.0,0.1276595744680851,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.3,0.12,0.4,0.21052631578947367
39,0.15892420537897312,0.18229623137598597,0.0,1.0,0.1276595744680851,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.3,0.12,0.4,0.21052631578947367
40,0.16299918500407498,0.18580192813321647,0.0,1.0,0.13069908814589665,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.3,0.12,0.4,0.21052631578947367
41,0.16707416462917685,0.18843120070113936,0.0,1.0,0.13069908814589665,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.3,0.12,0.5,0.2631578947368421
42,0.17114914425427874,0.19807186678352323,0.0,1.0,0.13069908814589665,0.7,0.125,0.4,0.19047619047619047,0.2,0.14285714285714285,0.4,0.16,0.5,0.2631578947368421
43,0.1752241238793806,0.2007011393514461,0.0,1.0,0.1337386018237082,0.7,0.125,0.5,0.23809523809523808,0.2,0.14285714285714285,0.4,0.16,0.5,0.2631578947368421
