Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected),Pattern 7 (%),Pattern 7 (% Detected)
1,0.004170837504170837,0.004906771344455349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008341675008341674,0.009813542688910697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012512512512512513,0.014720314033366046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15384615384615385,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
4,0.01668335001668335,0.017664376840039256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15384615384615385,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
5,0.020854187520854186,0.022571148184494603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15384615384615385,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
6,0.025025025025025027,0.03042198233562316,0.0,0.1,0.006578947368421052,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.2,0.15384615384615385,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
7,0.029195862529195864,0.03631010794896958,0.0,0.1,0.006578947368421052,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.2,0.15384615384615385,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
8,0.0333667000333667,0.04121687929342493,0.0,0.1,0.006578947368421052,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.2,0.15384615384615385,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
9,0.03753753753753754,0.04906771344455348,0.0,0.1,0.006578947368421052,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.2,0.15384615384615385,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
10,0.04170837504170837,0.053974484789008834,0.0,0.1,0.006578947368421052,0.0,0.0,0.0,0.0,0.1,0.011494252873563218,0.3,0.23076923076923078,0.1,0.07692307692307693,0.0,0.0,0.0,0.0
