Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected)
1,0.0041548944656805715,0.002574002574002574,0.0,0.1,0.0008223684210526315,0.1,0.07692307692307693
2,0.008309788931361143,0.007078507078507079,0.0,0.8,0.006578947368421052,0.1,0.07692307692307693
3,0.012464683397041714,0.016087516087516088,0.5,1.0,0.017269736842105265,0.1,0.07692307692307693
4,0.016619577862722286,0.023166023166023165,0.5,1.0,0.024671052631578948,0.2,0.15384615384615385
5,0.02077447232840286,0.027670527670527672,0.5,1.0,0.03042763157894737,0.2,0.15384615384615385
6,0.02492936679408343,0.032818532818532815,0.5,1.0,0.03700657894736842,0.2,0.15384615384615385
7,0.029084261259764002,0.039253539253539256,0.5,1.0,0.04194078947368421,0.2,0.15384615384615385
8,0.03323915572544457,0.04826254826254826,0.5,1.0,0.05263157894736842,0.2,0.15384615384615385
9,0.03739405019112515,0.059202059202059204,0.5,1.0,0.06578947368421052,0.2,0.15384615384615385
10,0.04154894465680572,0.06756756756756757,0.5,1.0,0.07401315789473684,0.2,0.15384615384615385
11,0.04570383912248629,0.07593307593307594,0.5,1.0,0.08470394736842106,0.2,0.15384615384615385
12,0.04985873358816686,0.08236808236808237,0.5,1.0,0.08963815789473684,0.4,0.3076923076923077
13,0.054013628053847434,0.08687258687258688,0.5,1.0,0.09292763157894737,0.6,0.46153846153846156
14,0.058168522519528004,0.09395109395109395,0.5,1.0,0.09786184210526316,0.6,0.46153846153846156
15,0.062323416985208574,0.10424710424710425,0.5,1.0,0.109375,0.6,0.46153846153846156
16,0.06647831145088914,0.10682110682110682,0.5,1.0,0.11019736842105263,0.6,0.46153846153846156
17,0.07063320591656971,0.11068211068211069,0.5,1.0,0.1118421052631579,0.6,0.46153846153846156
18,0.0747881003822503,0.11196911196911197,0.5,1.0,0.1118421052631579,0.6,0.46153846153846156
19,0.07894299484793087,0.11325611325611326,0.5,1.0,0.1118421052631579,0.6,0.46153846153846156
20,0.08309788931361144,0.11518661518661519,0.5,1.0,0.11348684210526316,0.6,0.46153846153846156
21,0.087252783779292,0.12033462033462033,0.5,1.0,0.11430921052631579,0.6,0.46153846153846156
22,0.09140767824497258,0.12290862290862291,0.5,1.0,0.11513157894736842,0.7,0.5384615384615384
23,0.09556257271065315,0.12998712998713,0.5,1.0,0.11842105263157894,0.9,0.6923076923076923
24,0.09971746717633372,0.13256113256113256,0.5,1.0,0.12006578947368421,0.9,0.6923076923076923
