Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected)
1,0.0040936630096610445,0.003834355828220859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008187326019322089,0.007668711656441718,0.0,0.5,0.00697350069735007,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012280989028983134,0.015337423312883436,0.0,0.7,0.009762900976290097,0.1,0.058823529411764705,0.3,0.23076923076923078,0.0,0.0
4,0.016374652038644178,0.023773006134969327,0.0,0.8,0.011157601115760111,0.2,0.11764705882352941,0.3,0.23076923076923078,0.0,0.0
5,0.020468315048305225,0.032975460122699383,0.0,1.0,0.01394700139470014,0.2,0.11764705882352941,0.4,0.3076923076923077,0.0,0.0
6,0.02456197805796627,0.04141104294478527,0.0,1.0,0.015341701534170154,0.2,0.11764705882352941,0.6,0.46153846153846156,0.0,0.0
7,0.028655641067627313,0.05214723926380368,0.0,1.0,0.023709902370990237,0.2,0.11764705882352941,0.8,0.6153846153846154,0.0,0.0
8,0.032749304077288356,0.06058282208588957,0.0,1.0,0.026499302649930265,0.3,0.17647058823529413,0.9,0.6923076923076923,0.0,0.0
9,0.0368429670869494,0.06134969325153374,0.0,1.0,0.026499302649930265,0.3,0.17647058823529413,0.9,0.6923076923076923,0.0,0.0
10,0.04093663009661045,0.06441717791411043,0.0,1.0,0.02789400278940028,0.3,0.17647058823529413,0.9,0.6923076923076923,0.0,0.0
11,0.04503029310627149,0.06595092024539877,0.0,1.0,0.02789400278940028,0.3,0.17647058823529413,0.9,0.6923076923076923,0.0,0.0
12,0.04912395611593254,0.06901840490797546,0.0,1.0,0.029288702928870293,0.3,0.17647058823529413,0.9,0.6923076923076923,0.0,0.0
13,0.05321761912559358,0.0705521472392638,0.0,1.0,0.030683403068340307,0.3,0.17647058823529413,0.9,0.6923076923076923,0.0,0.0
14,0.057311282135254625,0.0705521472392638,0.0,1.0,0.030683403068340307,0.3,0.17647058823529413,0.9,0.6923076923076923,0.0,0.0
15,0.06140494514491567,0.07515337423312883,0.0,1.0,0.03207810320781032,0.3,0.17647058823529413,0.9,0.6923076923076923,0.0,0.0
16,0.06549860815457671,0.07822085889570553,0.0,1.0,0.03347280334728033,0.4,0.23529411764705882,1.0,0.7692307692307693,0.0,0.0
17,0.06959227116423776,0.08128834355828221,0.25,1.0,0.03347280334728033,0.4,0.23529411764705882,1.0,0.8461538461538461,0.0,0.0
18,0.0736859341738988,0.08512269938650306,0.25,1.0,0.040446304044630406,0.4,0.23529411764705882,1.0,0.8461538461538461,0.0,0.0
19,0.07777959718355985,0.08895705521472393,0.25,1.0,0.04184100418410042,0.4,0.23529411764705882,1.0,0.8461538461538461,0.0,0.0
20,0.0818732601932209,0.09279141104294479,0.25,1.0,0.043235704323570434,0.5,0.29411764705882354,1.0,0.8461538461538461,0.0,0.0
21,0.08596692320288193,0.09815950920245399,0.25,1.0,0.044630404463040445,0.5,0.29411764705882354,1.0,0.8461538461538461,0.0,0.0
22,0.09006058621254298,0.10199386503067484,0.25,1.0,0.04602510460251046,0.5,0.29411764705882354,1.0,0.8461538461538461,0.0,0.0
23,0.09415424922220403,0.10659509202453987,0.25,1.0,0.04602510460251046,0.5,0.29411764705882354,1.0,0.8461538461538461,0.1,0.09090909090909091
24,0.09824791223186508,0.1111963190184049,0.25,1.0,0.04602510460251046,0.5,0.29411764705882354,1.0,0.8461538461538461,0.2,0.18181818181818182
25,0.10234157524152612,0.11503067484662577,0.25,1.0,0.04602510460251046,0.5,0.29411764705882354,1.0,0.8461538461538461,0.2,0.18181818181818182
26,0.10643523825118716,0.11886503067484662,0.25,1.0,0.04602510460251046,0.5,0.29411764705882354,1.0,0.8461538461538461,0.2,0.18181818181818182
27,0.1105289012608482,0.1196319018404908,0.25,1.0,0.04741980474198047,0.5,0.29411764705882354,1.0,0.8461538461538461,0.2,0.18181818181818182
28,0.11462256427050925,0.12346625766871165,0.25,1.0,0.04881450488145049,0.6,0.35294117647058826,1.0,0.8461538461538461,0.2,0.18181818181818182
29,0.1187162272801703,0.12653374233128833,0.25,1.0,0.05299860529986053,0.6,0.35294117647058826,1.0,0.8461538461538461,0.2,0.18181818181818182
30,0.12280989028983134,0.12883435582822086,0.25,1.0,0.05299860529986053,0.6,0.35294117647058826,1.0,0.8461538461538461,0.2,0.18181818181818182
31,0.12690355329949238,0.13190184049079753,0.25,1.0,0.05578800557880056,0.6,0.35294117647058826,1.0,0.8461538461538461,0.2,0.18181818181818182
32,0.13099721630915342,0.13420245398773006,0.25,1.0,0.05578800557880056,0.6,0.35294117647058826,1.0,0.8461538461538461,0.2,0.18181818181818182
33,0.13509087931881447,0.13726993865030676,0.25,1.0,0.0599721059972106,0.6,0.35294117647058826,1.0,0.8461538461538461,0.2,0.18181818181818182
34,0.13918454232847552,0.1418711656441718,0.25,1.0,0.061366806136680614,0.6,0.35294117647058826,1.0,0.8461538461538461,0.2,0.18181818181818182
35,0.14327820533813657,0.1464723926380368,0.25,1.0,0.06276150627615062,0.6,0.35294117647058826,1.0,0.8461538461538461,0.2,0.18181818181818182
36,0.1473718683477976,0.15184049079754602,0.25,1.0,0.06555090655509066,0.6,0.35294117647058826,1.0,0.8461538461538461,0.2,0.18181818181818182
37,0.15146553135745866,0.15720858895705522,0.25,1.0,0.06694560669456066,0.6,0.35294117647058826,1.0,0.8461538461538461,0.2,0.18181818181818182
38,0.1555591943671197,0.1579754601226994,0.25,1.0,0.06834030683403068,0.6,0.35294117647058826,1.0,0.8461538461538461,0.2,0.18181818181818182
39,0.15965285737678075,0.16104294478527606,0.25,1.0,0.06834030683403068,0.7,0.4117647058823529,1.0,0.8461538461538461,0.2,0.18181818181818182
40,0.1637465203864418,0.1687116564417178,0.25,1.0,0.07252440725244072,0.7,0.4117647058823529,1.0,0.8461538461538461,0.2,0.18181818181818182
41,0.16784018339610282,0.174079754601227,0.25,1.0,0.07391910739191074,0.7,0.4117647058823529,1.0,0.8461538461538461,0.2,0.18181818181818182
42,0.17193384640576387,0.17714723926380369,0.25,1.0,0.07531380753138076,0.7,0.4117647058823529,1.0,0.8461538461538461,0.2,0.18181818181818182
43,0.17602750941542492,0.18098159509202455,0.25,1.0,0.0794979079497908,0.8,0.47058823529411764,1.0,0.8461538461538461,0.2,0.18181818181818182
