Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected)
1,0.0040936630096610445,0.003067484662576687,0.0,0.2,0.002789400278940028,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008187326019322089,0.00843558282208589,0.0,0.8,0.011157601115760111,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012280989028983134,0.019938650306748466,0.0,1.0,0.03207810320781032,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016374652038644178,0.03374233128834356,0.0,1.0,0.05439330543933055,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020468315048305225,0.039110429447852764,0.0,1.0,0.061366806136680614,0.0,0.0,0.0,0.0,0.0,0.0
6,0.02456197805796627,0.054447852760736194,0.25,1.0,0.08089260808926081,0.0,0.0,0.0,0.0,0.0,0.0
7,0.028655641067627313,0.07208588957055215,0.25,1.0,0.1101813110181311,0.0,0.0,0.0,0.0,0.0,0.0
8,0.032749304077288356,0.08512269938650306,0.25,1.0,0.12831241283124128,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0368429670869494,0.09585889570552147,0.25,1.0,0.14365411436541142,0.0,0.0,0.0,0.0,0.0,0.0
10,0.04093663009661045,0.10889570552147239,0.25,1.0,0.15481171548117154,0.0,0.0,0.0,0.0,0.0,0.0
11,0.04503029310627149,0.12193251533742332,0.25,1.0,0.16178521617852162,0.0,0.0,0.5,0.38461538461538464,0.0,0.0
12,0.04912395611593254,0.13266871165644173,0.25,1.0,0.1701534170153417,0.0,0.0,0.6,0.46153846153846156,0.0,0.0
13,0.05321761912559358,0.1357361963190184,0.25,1.0,0.17294281729428174,0.0,0.0,0.6,0.46153846153846156,0.0,0.0
14,0.057311282135254625,0.1357361963190184,0.25,1.0,0.17294281729428174,0.0,0.0,0.6,0.46153846153846156,0.0,0.0
15,0.06140494514491567,0.14033742331288343,0.25,1.0,0.17433751743375175,0.0,0.0,0.6,0.46153846153846156,0.0,0.0
16,0.06549860815457671,0.14340490797546013,0.25,1.0,0.17712691771269176,0.0,0.0,0.6,0.46153846153846156,0.0,0.0
17,0.06959227116423776,0.147239263803681,0.25,1.0,0.1799163179916318,0.0,0.0,0.6,0.46153846153846156,0.0,0.0
18,0.0736859341738988,0.1495398773006135,0.25,1.0,0.18270571827057183,0.0,0.0,0.6,0.46153846153846156,0.0,0.0
19,0.07777959718355985,0.1526073619631902,0.25,1.0,0.18410041841004185,0.0,0.0,0.6,0.46153846153846156,0.0,0.0
20,0.0818732601932209,0.15567484662576686,0.25,1.0,0.18410041841004185,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
21,0.08596692320288193,0.15720858895705522,0.25,1.0,0.18549511854951187,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
22,0.09006058621254298,0.15874233128834356,0.25,1.0,0.18549511854951187,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
23,0.09415424922220403,0.16257668711656442,0.25,1.0,0.1896792189679219,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
24,0.09824791223186508,0.1656441717791411,0.25,1.0,0.19246861924686193,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
25,0.10234157524152612,0.16794478527607362,0.25,1.0,0.19386331938633194,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
26,0.10643523825118716,0.174079754601227,0.25,1.0,0.20223152022315202,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
27,0.1105289012608482,0.1848159509202454,0.25,1.0,0.21617852161785217,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
28,0.11462256427050925,0.18788343558282208,0.25,1.0,0.21896792189679218,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
29,0.1187162272801703,0.20168711656441718,0.25,1.0,0.2301255230125523,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
30,0.12280989028983134,0.2062883435582822,0.25,1.0,0.2301255230125523,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
31,0.12690355329949238,0.2093558282208589,0.25,1.0,0.2315202231520223,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
32,0.13099721630915342,0.21242331288343558,0.25,1.0,0.23430962343096234,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
33,0.13509087931881447,0.21932515337423314,0.25,1.0,0.23570432357043236,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
34,0.13918454232847552,0.22085889570552147,0.25,1.0,0.23570432357043236,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
35,0.14327820533813657,0.2223926380368098,0.25,1.0,0.23570432357043236,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
36,0.1473718683477976,0.22392638036809817,0.25,1.0,0.23570432357043236,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
37,0.15146553135745866,0.22392638036809817,0.25,1.0,0.23570432357043236,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
38,0.1555591943671197,0.23696319018404907,0.25,1.0,0.25523012552301255,0.1,0.058823529411764705,0.6,0.46153846153846156,0.0,0.0
39,0.15965285737678075,0.24846625766871167,0.25,1.0,0.2691771269177127,0.1,0.058823529411764705,0.6,0.46153846153846156,0.1,0.09090909090909091
40,0.1637465203864418,0.25996932515337423,0.25,1.0,0.28730822873082285,0.1,0.058823529411764705,0.6,0.46153846153846156,0.1,0.09090909090909091
