Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected)
1,0.004153513872736335,0.004595588235294118,0.0,0.1,0.0064516129032258064,0.0,0.0,0.0,0.0
2,0.00830702774547267,0.014705882352941176,0.0,0.1,0.0064516129032258064,0.2,0.012121212121212121,0.0,0.0
3,0.012460541618209005,0.02849264705882353,0.0,0.1,0.0064516129032258064,0.9,0.05454545454545454,0.0,0.0
4,0.01661405549094534,0.03768382352941176,0.0,0.1,0.0064516129032258064,1.0,0.07272727272727272,0.0,0.0
5,0.020767569363681675,0.04963235294117647,0.0,0.5,0.03225806451612903,1.0,0.10909090909090909,0.0,0.0
6,0.02492108323641801,0.06433823529411764,0.0,1.0,0.06451612903225806,1.0,0.12121212121212122,0.0,0.0
7,0.029074597109154346,0.07720588235294118,0.0,1.0,0.08387096774193549,1.0,0.12121212121212122,0.9,0.3103448275862069
8,0.03322811098189068,0.08915441176470588,0.0,1.0,0.09032258064516129,1.0,0.1393939393939394,0.9,0.3103448275862069
9,0.03738162485462702,0.0974264705882353,0.0,1.0,0.10967741935483871,1.0,0.1393939393939394,0.9,0.3103448275862069
10,0.04153513872736335,0.11121323529411764,0.0,1.0,0.13548387096774195,1.0,0.15151515151515152,0.9,0.3103448275862069
11,0.04568865260009968,0.12316176470588236,0.0,1.0,0.13548387096774195,1.0,0.15757575757575756,1.0,0.4827586206896552
12,0.04984216647283602,0.13419117647058823,0.0,1.0,0.14193548387096774,1.0,0.17575757575757575,1.0,0.5172413793103449
13,0.05399568034557235,0.13694852941176472,0.0,1.0,0.15483870967741936,1.0,0.17575757575757575,1.0,0.5517241379310345
14,0.05814919421830869,0.13878676470588236,0.0,1.0,0.15483870967741936,1.0,0.17575757575757575,1.0,0.5517241379310345
15,0.062302708091045024,0.140625,0.0,1.0,0.15483870967741936,1.0,0.17575757575757575,1.0,0.5517241379310345
16,0.06645622196378136,0.14430147058823528,0.0,1.0,0.15483870967741936,1.0,0.17575757575757575,1.0,0.5517241379310345
17,0.0706097358365177,0.15165441176470587,0.0,1.0,0.15483870967741936,1.0,0.18181818181818182,1.0,0.5517241379310345
18,0.07476324970925403,0.15900735294117646,0.0,1.0,0.15483870967741936,1.0,0.18787878787878787,1.0,0.5517241379310345
19,0.07891676358199036,0.16176470588235295,0.0,1.0,0.15483870967741936,1.0,0.2,1.0,0.5517241379310345
20,0.0830702774547267,0.171875,0.0,1.0,0.15483870967741936,1.0,0.22424242424242424,1.0,0.5517241379310345
21,0.08722379132746304,0.17738970588235295,0.0,1.0,0.15483870967741936,1.0,0.24848484848484848,1.0,0.5517241379310345
22,0.09137730520019936,0.18382352941176472,0.0,1.0,0.15483870967741936,1.0,0.26666666666666666,1.0,0.5517241379310345
23,0.0955308190729357,0.18933823529411764,0.0,1.0,0.16129032258064516,1.0,0.26666666666666666,1.0,0.5517241379310345
24,0.09968433294567204,0.19301470588235295,0.0,1.0,0.16129032258064516,1.0,0.2727272727272727,1.0,0.5517241379310345
25,0.10383784681840838,0.20036764705882354,0.0,1.0,0.18064516129032257,1.0,0.2727272727272727,1.0,0.5517241379310345
26,0.1079913606911447,0.203125,0.0,1.0,0.18064516129032257,1.0,0.2727272727272727,1.0,0.5517241379310345
27,0.11214487456388104,0.21323529411764705,0.0,1.0,0.21935483870967742,1.0,0.2787878787878788,1.0,0.5862068965517241
28,0.11629838843661738,0.22150735294117646,0.0,1.0,0.21935483870967742,1.0,0.2909090909090909,1.0,0.5862068965517241
29,0.12045190230935371,0.22794117647058823,0.0,1.0,0.23225806451612904,1.0,0.2909090909090909,1.0,0.5862068965517241
30,0.12460541618209005,0.23345588235294118,0.0,1.0,0.23225806451612904,1.0,0.296969696969697,1.0,0.5862068965517241
31,0.1287589300548264,0.23805147058823528,0.0,1.0,0.23225806451612904,1.0,0.30303030303030304,1.0,0.5862068965517241
32,0.1329124439275627,0.24908088235294118,0.3333333333333333,1.0,0.2709677419354839,1.0,0.3151515151515151,1.0,0.5862068965517241
33,0.13706595780029907,0.2555147058823529,0.3333333333333333,1.0,0.2709677419354839,1.0,0.3151515151515151,1.0,0.5862068965517241
34,0.1412194716730354,0.265625,0.3333333333333333,1.0,0.3032258064516129,1.0,0.3151515151515151,1.0,0.5862068965517241
35,0.14537298554577172,0.2711397058823529,0.3333333333333333,1.0,0.3096774193548387,1.0,0.3151515151515151,1.0,0.5862068965517241
36,0.14952649941850807,0.2766544117647059,0.6666666666666666,1.0,0.33548387096774196,1.0,0.3151515151515151,1.0,0.5862068965517241
37,0.1536800132912444,0.2849264705882353,0.6666666666666666,1.0,0.36129032258064514,1.0,0.3151515151515151,1.0,0.5862068965517241
38,0.15783352716398072,0.28768382352941174,0.6666666666666666,1.0,0.36774193548387096,1.0,0.3151515151515151,1.0,0.6206896551724138
39,0.16198704103671707,0.29503676470588236,0.6666666666666666,1.0,0.3741935483870968,1.0,0.3151515151515151,1.0,0.6206896551724138
40,0.1661405549094534,0.29871323529411764,0.6666666666666666,1.0,0.3741935483870968,1.0,0.3151515151515151,1.0,0.6206896551724138
41,0.17029406878218972,0.3014705882352941,0.6666666666666666,1.0,0.3741935483870968,1.0,0.3151515151515151,1.0,0.6206896551724138
42,0.17444758265492608,0.30422794117647056,0.6666666666666666,1.0,0.38064516129032255,1.0,0.3151515151515151,1.0,0.6206896551724138
43,0.1786010965276624,0.30514705882352944,0.6666666666666666,1.0,0.38064516129032255,1.0,0.3151515151515151,1.0,0.6206896551724138
44,0.18275461040039873,0.3079044117647059,0.6666666666666666,1.0,0.38064516129032255,1.0,0.3151515151515151,1.0,0.6206896551724138
