Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected)
1,0.0041813012209399565,0.005708848715509039,0.0,0.1,0.0017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008362602441879913,0.009514747859181731,0.0,0.1,0.0017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012543903662819869,0.015223596574690771,0.0,0.3,0.005309734513274336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016725204883759826,0.025689819219790674,0.0,0.7,0.012389380530973451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020906506104699782,0.03139866793529972,0.0,0.9,0.01592920353982301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.025087807325639738,0.03330161750713606,0.0,1.0,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.029269108546579697,0.038058991436726926,0.0,1.0,0.021238938053097345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.03345040976751965,0.04471931493815414,0.0,1.0,0.023008849557522124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.03763171098845961,0.05042816365366318,0.0,1.0,0.024778761061946902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.041813012209399564,0.056137012369172214,0.0,1.0,0.03008849557522124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.04599431343033952,0.060894386298763085,0.0,1.0,0.03008849557522124,0.0,0.0,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
12,0.050175614651279475,0.06374881065651761,0.0,1.0,0.033628318584070796,0.0,0.0,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
13,0.054356915872219434,0.06945765937202664,0.0,1.0,0.035398230088495575,0.0,0.0,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
14,0.05853821709315939,0.08277830637488107,0.0,1.0,0.04247787610619469,0.0,0.0,0.1,0.08333333333333333,0.0,0.0,0.0,0.0
15,0.06271951831409935,0.08943862987630828,0.0,1.0,0.047787610619469026,0.0,0.0,0.1,0.08333333333333333,0.1,0.1,0.0,0.0
16,0.0669008195350393,0.09895337773549001,0.0,1.0,0.05309734513274336,0.0,0.0,0.1,0.08333333333333333,0.1,0.1,0.0,0.0
17,0.07108212075597926,0.10180780209324453,0.0,1.0,0.05309734513274336,0.0,0.0,0.1,0.08333333333333333,0.1,0.1,0.0,0.0
18,0.07526342197691922,0.10561370123691723,0.0,1.0,0.05663716814159292,0.0,0.0,0.1,0.08333333333333333,0.1,0.1,0.0,0.0
19,0.07944472319785917,0.10941960038058991,0.0,1.0,0.0584070796460177,0.0,0.0,0.1,0.08333333333333333,0.1,0.1,0.0,0.0
20,0.08362602441879913,0.1170313986679353,0.0,1.0,0.06017699115044248,0.0,0.0,0.1,0.08333333333333333,0.1,0.1,0.0,0.0
21,0.08780732563973909,0.11988582302568981,0.0,1.0,0.06017699115044248,0.0,0.0,0.1,0.08333333333333333,0.1,0.1,0.0,0.0
22,0.09198862686067905,0.12274024738344434,0.0,1.0,0.06548672566371681,0.0,0.0,0.1,0.08333333333333333,0.1,0.1,0.0,0.0
23,0.096169928081619,0.12749762131303521,0.0,1.0,0.06725663716814159,0.0,0.0,0.1,0.08333333333333333,0.1,0.1,0.0,0.0
24,0.10035122930255895,0.13415794481446242,0.0,1.0,0.07256637168141593,0.1,0.1,0.1,0.08333333333333333,0.1,0.1,0.0,0.0
25,0.10453253052349891,0.13891531874405327,0.0,1.0,0.07256637168141593,0.1,0.1,0.1,0.08333333333333333,0.1,0.1,0.0,0.0
26,0.10871383174443887,0.14462416745956233,0.0,1.0,0.07256637168141593,0.1,0.1,0.2,0.16666666666666666,0.1,0.1,0.0,0.0
27,0.11289513296537883,0.15033301617507136,0.0,1.0,0.07610619469026549,0.1,0.1,0.2,0.16666666666666666,0.1,0.1,0.0,0.0
28,0.11707643418631879,0.15794481446241673,0.0,1.0,0.0831858407079646,0.1,0.1,0.2,0.16666666666666666,0.2,0.2,0.0,0.0
29,0.12125773540725873,0.16460513796384396,0.0,1.0,0.08495575221238938,0.1,0.1,0.2,0.16666666666666666,0.2,0.2,0.0,0.0
