Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected)
1,0.004096346059315091,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05263157894736842
2,0.008192692118630182,0.009876543209876543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05263157894736842
3,0.012289038177945273,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05263157894736842
4,0.016385384237260363,0.01728395061728395,0.0,0.0,0.0,0.0,0.0,0.1,0.041666666666666664,0.0,0.0,0.1,0.05263157894736842
5,0.020481730296575455,0.022222222222222223,0.0,0.1,0.07692307692307693,0.0,0.0,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
6,0.024578076355890547,0.02962962962962963,0.0,0.1,0.07692307692307693,0.0,0.0,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
7,0.028674422415205635,0.03950617283950617,0.0,0.1,0.07692307692307693,0.0,0.0,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
8,0.03277076847452073,0.04197530864197531,0.0,0.1,0.07692307692307693,0.0,0.0,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
9,0.036867114533835815,0.04197530864197531,0.0,0.1,0.07692307692307693,0.0,0.0,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
10,0.04096346059315091,0.04691358024691358,0.0,0.1,0.07692307692307693,0.1,0.06666666666666667,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
11,0.045059806652466,0.04938271604938271,0.0,0.1,0.07692307692307693,0.1,0.06666666666666667,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
12,0.049156152711781094,0.04938271604938271,0.0,0.1,0.07692307692307693,0.1,0.06666666666666667,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
13,0.05325249877109618,0.05432098765432099,0.0,0.1,0.07692307692307693,0.1,0.06666666666666667,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
14,0.05734884483041127,0.05432098765432099,0.0,0.1,0.07692307692307693,0.1,0.06666666666666667,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
15,0.061445190889726366,0.05925925925925926,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
16,0.06554153694904145,0.05925925925925926,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
17,0.06963788300835655,0.06666666666666667,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
18,0.07373422906767163,0.0691358024691358,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
19,0.07783057512698673,0.0691358024691358,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
20,0.08192692118630182,0.07407407407407407,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
21,0.08602326724561692,0.07407407407407407,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
22,0.090119613304932,0.07901234567901234,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
23,0.09421595936424709,0.08641975308641975,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.2,0.08333333333333333,0.0,0.0,0.1,0.05263157894736842
24,0.09831230542356219,0.08888888888888889,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.2,0.08333333333333333,0.0,0.0,0.2,0.10526315789473684
25,0.10240865148287727,0.09382716049382717,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.2,0.08333333333333333,0.0,0.0,0.2,0.10526315789473684
26,0.10650499754219236,0.09382716049382717,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.2,0.08333333333333333,0.0,0.0,0.2,0.10526315789473684
27,0.11060134360150746,0.10123456790123457,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.3,0.125,0.1,0.1,0.2,0.10526315789473684
28,0.11469768966082254,0.10123456790123457,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.3,0.125,0.1,0.1,0.2,0.10526315789473684
29,0.11879403572013764,0.1037037037037037,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.4,0.16666666666666666,0.1,0.1,0.2,0.10526315789473684
30,0.12289038177945273,0.10864197530864197,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.4,0.16666666666666666,0.1,0.1,0.2,0.10526315789473684
31,0.12698672783876783,0.1111111111111111,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.4,0.16666666666666666,0.1,0.1,0.2,0.10526315789473684
32,0.1310830738980829,0.11358024691358025,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.4,0.16666666666666666,0.1,0.1,0.2,0.10526315789473684
33,0.135179419957398,0.11604938271604938,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.4,0.16666666666666666,0.1,0.1,0.2,0.10526315789473684
34,0.1392757660167131,0.11851851851851852,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.4,0.16666666666666666,0.1,0.1,0.2,0.10526315789473684
35,0.14337211207602818,0.12345679012345678,0.0,0.1,0.07692307692307693,0.3,0.2,0.4,0.16666666666666666,0.1,0.1,0.2,0.10526315789473684
36,0.14746845813534326,0.12839506172839507,0.0,0.1,0.07692307692307693,0.3,0.2,0.4,0.16666666666666666,0.1,0.1,0.2,0.10526315789473684
37,0.15156480419465837,0.14074074074074075,0.0,0.1,0.07692307692307693,0.3,0.2,0.5,0.20833333333333334,0.1,0.1,0.3,0.15789473684210525
38,0.15566115025397345,0.14320987654320988,0.0,0.1,0.07692307692307693,0.3,0.2,0.5,0.20833333333333334,0.2,0.2,0.3,0.15789473684210525
