Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected)
1,0.0040936630096610445,0.0015337423312883436,0.0,0.2,0.002789400278940028,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008187326019322089,0.005368098159509203,0.0,0.4,0.005578800557880056,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012280989028983134,0.009202453987730062,0.0,0.6,0.008368200836820083,0.0,0.0,0.1,0.07692307692307693,0.0,0.0
4,0.016374652038644178,0.014570552147239263,0.0,1.0,0.01394700139470014,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
5,0.020468315048305225,0.018404907975460124,0.0,1.0,0.02092050209205021,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
6,0.02456197805796627,0.019938650306748466,0.0,1.0,0.022315202231520222,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
7,0.028655641067627313,0.024539877300613498,0.0,1.0,0.030683403068340307,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
8,0.032749304077288356,0.0299079754601227,0.0,1.0,0.03626220362622036,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
9,0.0368429670869494,0.032975460122699383,0.0,1.0,0.03905160390516039,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
10,0.04093663009661045,0.03680981595092025,0.0,1.0,0.043235704323570434,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
11,0.04503029310627149,0.04294478527607362,0.0,1.0,0.04881450488145049,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
12,0.04912395611593254,0.04754601226993865,0.0,1.0,0.05439330543933055,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
13,0.05321761912559358,0.05061349693251534,0.0,1.0,0.05718270571827057,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
14,0.057311282135254625,0.057515337423312884,0.0,1.0,0.06694560669456066,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
15,0.06140494514491567,0.062116564417177916,0.0,1.0,0.07252440725244072,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
16,0.06549860815457671,0.0705521472392638,0.0,1.0,0.08228730822873083,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
17,0.06959227116423776,0.0736196319018405,0.0,1.0,0.08228730822873083,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
18,0.0736859341738988,0.07822085889570553,0.0,1.0,0.08786610878661087,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
19,0.07777959718355985,0.08205521472392638,0.0,1.0,0.09065550906555091,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
20,0.0818732601932209,0.0843558282208589,0.0,1.0,0.09065550906555091,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
21,0.08596692320288193,0.08665644171779141,0.0,1.0,0.09205020920502092,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
22,0.09006058621254298,0.09279141104294479,0.0,1.0,0.09623430962343096,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
23,0.09415424922220403,0.09739263803680982,0.0,1.0,0.100418410041841,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
24,0.09824791223186508,0.10352760736196319,0.0,1.0,0.10739191073919108,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
25,0.10234157524152612,0.11042944785276074,0.0,1.0,0.11576011157601115,0.2,0.11764705882352941,0.1,0.07692307692307693,0.0,0.0
26,0.10643523825118716,0.11503067484662577,0.0,1.0,0.11715481171548117,0.2,0.11764705882352941,0.1,0.07692307692307693,0.1,0.09090909090909091
27,0.1105289012608482,0.11886503067484662,0.0,1.0,0.1199442119944212,0.2,0.11764705882352941,0.1,0.07692307692307693,0.1,0.09090909090909091
28,0.11462256427050925,0.12576687116564417,0.0,1.0,0.1297071129707113,0.3,0.17647058823529413,0.1,0.07692307692307693,0.1,0.09090909090909091
29,0.1187162272801703,0.12883435582822086,0.0,1.0,0.13528591352859135,0.3,0.17647058823529413,0.1,0.07692307692307693,0.1,0.09090909090909091
30,0.12280989028983134,0.1334355828220859,0.0,1.0,0.14086471408647142,0.3,0.17647058823529413,0.1,0.07692307692307693,0.1,0.09090909090909091
31,0.12690355329949238,0.13650306748466257,0.0,1.0,0.14504881450488144,0.3,0.17647058823529413,0.2,0.15384615384615385,0.1,0.09090909090909091
32,0.13099721630915342,0.14340490797546013,0.0,1.0,0.1492329149232915,0.3,0.17647058823529413,0.3,0.23076923076923078,0.1,0.09090909090909091
33,0.13509087931881447,0.147239263803681,0.0,1.0,0.15341701534170155,0.3,0.17647058823529413,0.3,0.23076923076923078,0.1,0.09090909090909091
34,0.13918454232847552,0.15107361963190183,0.0,1.0,0.15620641562064155,0.3,0.17647058823529413,0.3,0.23076923076923078,0.1,0.09090909090909091
35,0.14327820533813657,0.15567484662576686,0.0,1.0,0.15760111576011157,0.3,0.17647058823529413,0.4,0.3076923076923077,0.1,0.09090909090909091
36,0.1473718683477976,0.1602760736196319,0.0,1.0,0.16178521617852162,0.3,0.17647058823529413,0.4,0.3076923076923077,0.1,0.09090909090909091
37,0.15146553135745866,0.16411042944785276,0.0,1.0,0.16596931659693165,0.3,0.17647058823529413,0.4,0.3076923076923077,0.1,0.09090909090909091
38,0.1555591943671197,0.16794478527607362,0.0,1.0,0.1701534170153417,0.3,0.17647058823529413,0.4,0.3076923076923077,0.1,0.09090909090909091
39,0.15965285737678075,0.16947852760736196,0.0,1.0,0.17294281729428174,0.3,0.17647058823529413,0.4,0.3076923076923077,0.1,0.09090909090909091
40,0.1637465203864418,0.17177914110429449,0.0,1.0,0.17433751743375175,0.3,0.17647058823529413,0.4,0.3076923076923077,0.1,0.09090909090909091
41,0.16784018339610282,0.17868098159509202,0.0,1.0,0.18131101813110181,0.3,0.17647058823529413,0.4,0.3076923076923077,0.1,0.09090909090909091
42,0.17193384640576387,0.18404907975460122,0.0,1.0,0.18828451882845187,0.3,0.17647058823529413,0.4,0.3076923076923077,0.1,0.09090909090909091
43,0.17602750941542492,0.1901840490797546,0.0,1.0,0.19246861924686193,0.3,0.17647058823529413,0.4,0.3076923076923077,0.1,0.09090909090909091
44,0.18012117242508596,0.19708588957055215,0.0,1.0,0.19804741980474197,0.3,0.17647058823529413,0.5,0.38461538461538464,0.1,0.09090909090909091
45,0.184214835434747,0.200920245398773,0.0,1.0,0.20223152022315202,0.3,0.17647058823529413,0.5,0.38461538461538464,0.1,0.09090909090909091
46,0.18830849844440806,0.20552147239263804,0.0,1.0,0.20781032078103207,0.3,0.17647058823529413,0.5,0.38461538461538464,0.1,0.09090909090909091
47,0.1924021614540691,0.2085889570552147,0.0,1.0,0.21199442119944212,0.3,0.17647058823529413,0.5,0.38461538461538464,0.1,0.09090909090909091
48,0.19649582446373015,0.21319018404907975,0.0,1.0,0.21338912133891214,0.4,0.23529411764705882,0.5,0.38461538461538464,0.1,0.09090909090909091
49,0.2005894874733912,0.21395705521472394,0.0,1.0,0.21478382147838215,0.4,0.23529411764705882,0.5,0.38461538461538464,0.1,0.09090909090909091
50,0.20468315048305225,0.21932515337423314,0.0,1.0,0.21617852161785217,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
51,0.2087768134927133,0.22315950920245398,0.0,1.0,0.2175732217573222,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
52,0.2128704765023743,0.227760736196319,0.0,1.0,0.2203626220362622,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
53,0.21696413951203536,0.2308282208588957,0.0,1.0,0.22454672245467225,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
54,0.2210578025216964,0.2331288343558282,0.0,1.0,0.22873082287308227,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
55,0.22515146553135745,0.23849693251533743,0.0,1.0,0.23570432357043236,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
56,0.2292451285410185,0.24233128834355827,0.0,1.0,0.2384937238493724,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
57,0.23333879155067955,0.24386503067484663,0.0,1.0,0.2398884239888424,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
58,0.2374324545603406,0.24539877300613497,0.0,1.0,0.2412831241283124,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
59,0.24152611757000164,0.2469325153374233,0.0,1.0,0.2412831241283124,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
60,0.2456197805796627,0.2523006134969325,0.0,1.0,0.24546722454672246,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
61,0.24971344358932374,0.25690184049079756,0.0,1.0,0.2482566248256625,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
62,0.25380710659898476,0.25996932515337423,0.0,1.0,0.25383542538354253,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
63,0.25790076960864583,0.2668711656441718,0.0,1.0,0.2594142259414226,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
64,0.26199443261830685,0.2691717791411043,0.0,1.0,0.2608089260808926,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
65,0.2660880956279679,0.27223926380368096,0.0,1.0,0.2649930264993027,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
66,0.27018175863762894,0.2737730061349693,0.0,1.0,0.2649930264993027,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
67,0.27427542164729,0.276840490797546,0.25,1.0,0.26778242677824265,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
68,0.27836908465695104,0.2837423312883436,0.25,1.0,0.2719665271966527,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
69,0.28246274766661206,0.2860429447852761,0.25,1.0,0.2733612273361227,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
70,0.28655641067627313,0.28911042944785276,0.25,1.0,0.27615062761506276,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
71,0.29065007368593415,0.2937116564417178,0.25,1.0,0.2789400278940028,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
72,0.2947437366955952,0.2960122699386503,0.25,1.0,0.28172942817294283,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
73,0.29883739970525625,0.2983128834355828,0.25,1.0,0.28451882845188287,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
74,0.3029310627149173,0.3029141104294479,0.25,1.0,0.28730822873082285,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
75,0.30702472572457834,0.3075153374233129,0.25,1.0,0.29428172942817293,0.4,0.23529411764705882,0.6,0.46153846153846156,0.1,0.09090909090909091
