Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected)
1,0.004148000663680106,0.005563282336578581,0.0,0.4,0.004484304932735426,0.0,0.0,0.0,0.0
2,0.008296001327360213,0.01043115438108484,0.0,0.7,0.007847533632286996,0.0,0.0,0.0,0.0
3,0.012444001991040319,0.01321279554937413,0.0,0.9,0.010089686098654708,0.0,0.0,0.0,0.0
4,0.016592002654720425,0.019471488178025034,0.0,1.0,0.01569506726457399,0.0,0.0,0.0,0.0
5,0.02074000331840053,0.02573018080667594,0.0,1.0,0.020179372197309416,0.0,0.0,0.0,0.0
6,0.024888003982080638,0.03129346314325452,0.0,1.0,0.028026905829596414,0.0,0.0,0.0,0.0
7,0.029036004645760744,0.03616133518776078,0.0,1.0,0.03139013452914798,0.0,0.0,0.0,0.0
8,0.03318400530944085,0.039638386648122394,0.0,1.0,0.03587443946188341,0.0,0.0,0.0,0.0
9,0.03733200597312095,0.0458970792767733,0.0,1.0,0.04035874439461883,0.1,0.07142857142857142,0.0,0.0
10,0.04148000663680106,0.04798331015299027,0.0,1.0,0.04147982062780269,0.1,0.07142857142857142,0.0,0.0
11,0.045628007300481166,0.05285118219749652,0.0,1.0,0.04596412556053812,0.1,0.07142857142857142,0.0,0.0
12,0.049776007964161276,0.05354659248956885,0.0,1.0,0.04708520179372197,0.1,0.07142857142857142,0.0,0.0
13,0.05392400862784138,0.056328233657858134,0.0,1.0,0.04820627802690583,0.1,0.07142857142857142,0.0,0.0
14,0.05807200929152149,0.06328233657858136,0.0,1.0,0.05717488789237668,0.2,0.14285714285714285,0.0,0.0
15,0.06222000995520159,0.06606397774687066,0.0,1.0,0.05829596412556054,0.2,0.14285714285714285,0.0,0.0
16,0.0663680106188817,0.07093184979137691,0.0,1.0,0.061659192825112105,0.2,0.14285714285714285,0.0,0.0
17,0.07051601128256181,0.07719054242002782,0.0,1.0,0.06726457399103139,0.2,0.14285714285714285,0.0,0.0
18,0.0746640119462419,0.07858136300417246,0.0,1.0,0.06950672645739911,0.2,0.14285714285714285,0.0,0.0
19,0.07881201260992202,0.08275382475660639,0.0,1.0,0.07174887892376682,0.2,0.14285714285714285,0.0,0.0
20,0.08296001327360213,0.08553546592489569,0.0,1.0,0.07511210762331838,0.2,0.14285714285714285,0.0,0.0
21,0.08710801393728224,0.08831710709318498,0.0,1.0,0.07623318385650224,0.2,0.14285714285714285,0.0,0.0
22,0.09125601460096233,0.09388038942976357,0.0,1.0,0.08295964125560538,0.2,0.14285714285714285,0.0,0.0
23,0.09540401526464244,0.09874826147426982,0.0,1.0,0.08856502242152467,0.2,0.14285714285714285,0.0,0.0
24,0.09955201592832255,0.1043115438108484,0.0,1.0,0.09417040358744394,0.2,0.14285714285714285,0.0,0.0
25,0.10370001659200266,0.10639777468706536,0.0,1.0,0.09641255605381166,0.2,0.14285714285714285,0.0,0.0
26,0.10784801725568276,0.1105702364394993,0.0,1.0,0.1031390134529148,0.2,0.14285714285714285,0.0,0.0
27,0.11199601791936287,0.1168289290681502,0.0,1.0,0.1132286995515695,0.2,0.14285714285714285,0.0,0.0
28,0.11614401858304298,0.11961057023643949,0.0,1.0,0.11771300448430494,0.2,0.14285714285714285,0.0,0.0
29,0.12029201924672307,0.12239221140472879,0.0,1.0,0.11995515695067265,0.2,0.14285714285714285,0.0,0.0
30,0.12444001991040318,0.12726008344923506,0.0,1.0,0.12331838565022421,0.2,0.14285714285714285,0.0,0.0
31,0.12858802057408328,0.13143254520166897,0.0,1.0,0.12780269058295965,0.2,0.14285714285714285,0.0,0.0
32,0.1327360212377634,0.1349095966620306,0.0,1.0,0.13228699551569506,0.2,0.14285714285714285,0.0,0.0
33,0.1368840219014435,0.13699582753824757,0.0,1.0,0.13565022421524664,0.2,0.14285714285714285,0.0,0.0
34,0.14103202256512362,0.1411682892906815,0.0,1.0,0.13901345291479822,0.2,0.14285714285714285,0.0,0.0
35,0.14518002322880372,0.14673157162726008,0.0,1.0,0.1412556053811659,0.2,0.14285714285714285,0.0,0.0
36,0.1493280238924838,0.15090403337969402,0.0,1.0,0.14798206278026907,0.2,0.14285714285714285,0.0,0.0
37,0.15347602455616394,0.15577190542420027,0.0,1.0,0.15134529147982062,0.2,0.14285714285714285,0.0,0.0
38,0.15762402521984403,0.15855354659248957,0.0,1.0,0.1547085201793722,0.2,0.14285714285714285,0.0,0.0
39,0.16177202588352413,0.1627260083449235,0.0,1.0,0.15807174887892378,0.2,0.14285714285714285,0.0,0.0
40,0.16592002654720425,0.1689847009735744,0.0,1.0,0.16367713004484305,0.2,0.14285714285714285,0.0,0.0
41,0.17006802721088435,0.17385257301808066,0.0,1.0,0.16704035874439463,0.2,0.14285714285714285,0.0,0.0
42,0.17421602787456447,0.18011126564673158,0.0,1.0,0.16928251121076232,0.2,0.14285714285714285,0.0,0.0
43,0.17836402853824457,0.18289290681502085,0.0,1.0,0.17040358744394618,0.2,0.14285714285714285,0.0,0.0
44,0.18251202920192466,0.18497913769123783,0.0,1.0,0.1726457399103139,0.2,0.14285714285714285,0.0,0.0
45,0.1866600298656048,0.19401947148817802,0.0,1.0,0.1827354260089686,0.2,0.14285714285714285,0.1,0.1
46,0.19080803052928488,0.1995827538247566,0.0,1.0,0.18834080717488788,0.2,0.14285714285714285,0.1,0.1
47,0.19495603119296498,0.20166898470097358,0.0,1.0,0.1905829596412556,0.2,0.14285714285714285,0.1,0.1
48,0.1991040318566451,0.20584144645340752,0.0,1.0,0.19394618834080718,0.2,0.14285714285714285,0.1,0.1
49,0.2032520325203252,0.21070931849791377,0.0,1.0,0.19730941704035873,0.2,0.14285714285714285,0.1,0.1
50,0.20740003318400532,0.21557719054242003,0.0,1.0,0.20291479820627803,0.2,0.14285714285714285,0.1,0.1
51,0.21154803384768542,0.21696801112656466,0.0,1.0,0.20515695067264575,0.2,0.14285714285714285,0.1,0.1
52,0.21569603451136551,0.22253129346314326,0.0,1.0,0.21076233183856502,0.2,0.14285714285714285,0.2,0.2
53,0.21984403517504564,0.22600834492350486,0.0,1.0,0.21188340807174888,0.3,0.21428571428571427,0.2,0.2
54,0.22399203583872573,0.23087621696801114,0.0,1.0,0.21524663677130046,0.4,0.2857142857142857,0.2,0.2
55,0.22814003650240583,0.2357440890125174,0.0,1.0,0.2219730941704036,0.5,0.35714285714285715,0.2,0.2
56,0.23228803716608595,0.23991655076495133,0.0,1.0,0.226457399103139,0.5,0.35714285714285715,0.2,0.2
57,0.23643603782976605,0.24339360222531292,0.0,1.0,0.22982062780269058,0.5,0.35714285714285715,0.2,0.2
58,0.24058403849344615,0.24617524339360222,0.0,1.0,0.23430493273542602,0.5,0.35714285714285715,0.2,0.2
59,0.24473203915712627,0.25382475660639775,0.0,1.0,0.24327354260089687,0.6,0.42857142857142855,0.2,0.2
60,0.24888003982080636,0.2573018080667594,0.0,1.0,0.24663677130044842,0.6,0.42857142857142855,0.2,0.2
61,0.25302804048448646,0.260778859527121,0.0,1.0,0.24887892376681614,0.6,0.42857142857142855,0.2,0.2
62,0.25717604114816656,0.2663421418636996,0.0,1.0,0.2522421524663677,0.6,0.42857142857142855,0.3,0.3
63,0.2613240418118467,0.2705146036161335,0.0,1.0,0.25672645739910316,0.6,0.42857142857142855,0.3,0.3
64,0.2654720424755268,0.27468706536856746,0.3333333333333333,1.0,0.2623318385650224,0.6,0.42857142857142855,0.3,0.3
65,0.2696200431392069,0.27885952712100137,0.3333333333333333,1.0,0.265695067264574,0.6,0.42857142857142855,0.3,0.3
66,0.273768043802887,0.28372739916550765,0.3333333333333333,1.0,0.26905829596412556,0.6,0.42857142857142855,0.3,0.3
67,0.2779160444665671,0.2851182197496523,0.3333333333333333,1.0,0.26905829596412556,0.6,0.42857142857142855,0.3,0.3
68,0.28206404513024724,0.2899860917941586,0.3333333333333333,1.0,0.27466367713004486,0.6,0.42857142857142855,0.3,0.3
69,0.28621204579392734,0.2948539638386648,0.3333333333333333,1.0,0.2757847533632287,0.6,0.42857142857142855,0.3,0.3
70,0.29036004645760743,0.29694019471488176,0.3333333333333333,1.0,0.27914798206278024,0.6,0.42857142857142855,0.3,0.3
71,0.29450804712128753,0.3004172461752434,0.3333333333333333,1.0,0.2836322869955157,0.6,0.42857142857142855,0.3,0.3
72,0.2986560477849676,0.303894297635605,0.3333333333333333,1.0,0.28699551569506726,0.6,0.42857142857142855,0.3,0.3
73,0.3028040484486478,0.3094575799721836,0.3333333333333333,1.0,0.29260089686098656,0.6,0.42857142857142855,0.3,0.3
74,0.3069520491123279,0.31223922114047287,0.3333333333333333,1.0,0.2948430493273543,0.6,0.42857142857142855,0.3,0.3
75,0.31110004977600797,0.3143254520166898,0.3333333333333333,1.0,0.297085201793722,0.6,0.42857142857142855,0.3,0.3
76,0.31524805043968807,0.31710709318497915,0.3333333333333333,1.0,0.29932735426008966,0.6,0.42857142857142855,0.3,0.3
77,0.31939605110336816,0.32127955493741306,0.3333333333333333,1.0,0.30493273542600896,0.6,0.42857142857142855,0.3,0.3
78,0.32354405176704826,0.32336578581363007,0.3333333333333333,1.0,0.3071748878923767,0.6,0.42857142857142855,0.3,0.3
79,0.3276920524307284,0.32614742698191934,0.3333333333333333,1.0,0.30829596412556054,0.6,0.42857142857142855,0.3,0.3
80,0.3318400530944085,0.327538247566064,0.3333333333333333,1.0,0.3094170403587444,0.6,0.42857142857142855,0.3,0.3
81,0.3359880537580886,0.32962447844228093,0.3333333333333333,1.0,0.3116591928251121,0.6,0.42857142857142855,0.3,0.3
