Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected)
1,0.0041548944656805715,0.0045045045045045045,0.0,0.4,0.003289473684210526,0.0,0.0
2,0.008309788931361143,0.010939510939510939,0.0,1.0,0.011513157894736841,0.0,0.0
3,0.012464683397041714,0.015444015444015444,0.0,1.0,0.014802631578947368,0.1,0.07692307692307693
4,0.016619577862722286,0.019305019305019305,0.0,1.0,0.018092105263157895,0.1,0.07692307692307693
5,0.02077447232840286,0.02252252252252252,0.0,1.0,0.02138157894736842,0.1,0.07692307692307693
6,0.02492936679408343,0.027670527670527672,0.0,1.0,0.027138157894736843,0.1,0.07692307692307693
7,0.029084261259764002,0.03088803088803089,0.0,1.0,0.03042763157894737,0.1,0.07692307692307693
8,0.03323915572544457,0.0341055341055341,0.0,1.0,0.033717105263157895,0.1,0.07692307692307693
9,0.03739405019112515,0.03667953667953668,0.0,1.0,0.03618421052631579,0.1,0.07692307692307693
10,0.04154894465680572,0.039897039897039896,0.0,1.0,0.039473684210526314,0.1,0.07692307692307693
11,0.04570383912248629,0.04247104247104247,0.0,1.0,0.04276315789473684,0.1,0.07692307692307693
12,0.04985873358816686,0.047619047619047616,0.0,1.0,0.047697368421052634,0.1,0.07692307692307693
13,0.054013628053847434,0.05341055341055341,0.0,1.0,0.05263157894736842,0.1,0.07692307692307693
14,0.058168522519528004,0.05662805662805663,0.0,1.0,0.054276315789473686,0.1,0.07692307692307693
15,0.062323416985208574,0.06113256113256113,0.0,1.0,0.05921052631578947,0.1,0.07692307692307693
16,0.06647831145088914,0.064993564993565,0.0,1.0,0.06414473684210527,0.1,0.07692307692307693
17,0.07063320591656971,0.06756756756756757,0.0,1.0,0.06661184210526316,0.1,0.07692307692307693
18,0.0747881003822503,0.07014157014157014,0.0,1.0,0.06825657894736842,0.2,0.15384615384615385
19,0.07894299484793087,0.07528957528957529,0.0,1.0,0.07319078947368421,0.2,0.15384615384615385
20,0.08309788931361144,0.07786357786357787,0.0,1.0,0.07648026315789473,0.2,0.15384615384615385
21,0.087252783779292,0.08301158301158301,0.0,1.0,0.07976973684210527,0.2,0.15384615384615385
22,0.09140767824497258,0.08687258687258688,0.0,1.0,0.08388157894736842,0.2,0.15384615384615385
23,0.09556257271065315,0.09137709137709138,0.0,1.0,0.08963815789473684,0.2,0.15384615384615385
24,0.09971746717633372,0.0945945945945946,0.0,1.0,0.0912828947368421,0.2,0.15384615384615385
25,0.1038723616420143,0.0978120978120978,0.0,1.0,0.09539473684210527,0.2,0.15384615384615385
26,0.10802725610769487,0.10102960102960103,0.0,1.0,0.09868421052631579,0.2,0.15384615384615385
27,0.11218215057337544,0.10617760617760617,0.0,1.0,0.10361842105263158,0.2,0.15384615384615385
28,0.11633704503905601,0.10810810810810811,0.0,1.0,0.10526315789473684,0.2,0.15384615384615385
29,0.12049193950473658,0.11325611325611326,0.0,1.0,0.10773026315789473,0.2,0.15384615384615385
30,0.12464683397041715,0.11904761904761904,0.5,1.0,0.11348684210526316,0.2,0.15384615384615385
31,0.12880172843609772,0.1241956241956242,0.5,1.0,0.12006578947368421,0.2,0.15384615384615385
32,0.1329566229017783,0.1287001287001287,0.5,1.0,0.12335526315789473,0.2,0.15384615384615385
33,0.13711151736745886,0.13256113256113256,0.5,1.0,0.12746710526315788,0.2,0.15384615384615385
34,0.14126641183313943,0.1364221364221364,0.5,1.0,0.13075657894736842,0.2,0.15384615384615385
35,0.14542130629882,0.14221364221364222,0.5,1.0,0.13651315789473684,0.2,0.15384615384615385
36,0.1495762007645006,0.14478764478764478,0.5,1.0,0.13898026315789475,0.2,0.15384615384615385
37,0.15373109523018116,0.148005148005148,0.5,1.0,0.14226973684210525,0.2,0.15384615384615385
38,0.15788598969586173,0.1492921492921493,0.5,1.0,0.14309210526315788,0.3,0.23076923076923078
39,0.1620408841615423,0.15444015444015444,0.5,1.0,0.14720394736842105,0.3,0.23076923076923078
40,0.16619577862722287,0.15701415701415702,0.5,1.0,0.14967105263157895,0.3,0.23076923076923078
41,0.17035067309290344,0.16344916344916344,0.5,1.0,0.15542763157894737,0.3,0.23076923076923078
42,0.174505567558584,0.16859716859716858,0.5,1.0,0.1611842105263158,0.3,0.23076923076923078
43,0.17866046202426458,0.1718146718146718,0.5,1.0,0.16447368421052633,0.3,0.23076923076923078
44,0.18281535648994515,0.1788931788931789,0.5,1.0,0.17105263157894737,0.3,0.23076923076923078
45,0.18697025095562572,0.1833976833976834,0.5,1.0,0.17516447368421054,0.3,0.23076923076923078
46,0.1911251454213063,0.1866151866151866,0.5,1.0,0.17927631578947367,0.3,0.23076923076923078
47,0.19528003988698686,0.18983268983268983,0.5,1.0,0.1825657894736842,0.3,0.23076923076923078
48,0.19943493435266743,0.19433719433719435,0.5,1.0,0.18667763157894737,0.3,0.23076923076923078
49,0.203589828818348,0.19884169884169883,0.5,1.0,0.19078947368421054,0.4,0.3076923076923077
50,0.2077447232840286,0.20463320463320464,0.5,1.0,0.19572368421052633,0.4,0.3076923076923077
51,0.21189961774970917,0.20913770913770913,0.5,1.0,0.20065789473684212,0.4,0.3076923076923077
52,0.21605451221538974,0.21428571428571427,0.5,1.0,0.20641447368421054,0.4,0.3076923076923077
53,0.2202094066810703,0.21685971685971686,0.5,1.0,0.20888157894736842,0.4,0.3076923076923077
54,0.22436430114675088,0.2187902187902188,0.5,1.0,0.21052631578947367,0.4,0.3076923076923077
55,0.22851919561243145,0.2232947232947233,0.5,1.0,0.21463815789473684,0.4,0.3076923076923077
56,0.23267409007811202,0.22844272844272845,0.5,1.0,0.22039473684210525,0.4,0.3076923076923077
57,0.2368289845437926,0.23423423423423423,0.5,1.0,0.22532894736842105,0.4,0.3076923076923077
58,0.24098387900947316,0.23938223938223938,0.5,1.0,0.2294407894736842,0.4,0.3076923076923077
59,0.24513877347515373,0.24324324324324326,0.5,1.0,0.234375,0.4,0.3076923076923077
60,0.2492936679408343,0.2483912483912484,0.5,1.0,0.23848684210526316,0.4,0.3076923076923077
61,0.25344856240651487,0.25096525096525096,0.5,1.0,0.24177631578947367,0.4,0.3076923076923077
62,0.25760345687219544,0.2554697554697555,0.5,1.0,0.24671052631578946,0.4,0.3076923076923077
63,0.261758351337876,0.25933075933075933,0.5,1.0,0.25164473684210525,0.4,0.3076923076923077
64,0.2659132458035566,0.26576576576576577,0.5,1.0,0.2574013157894737,0.4,0.3076923076923077
65,0.27006814026923714,0.26833976833976836,0.5,1.0,0.26069078947368424,0.4,0.3076923076923077
66,0.2742230347349177,0.27413127413127414,0.5,1.0,0.26644736842105265,0.4,0.3076923076923077
67,0.2783779292005983,0.2767052767052767,0.5,1.0,0.26973684210526316,0.4,0.3076923076923077
68,0.28253282366627885,0.28185328185328185,0.5,1.0,0.2746710526315789,0.4,0.3076923076923077
69,0.2866877181319594,0.2857142857142857,0.5,1.0,0.27960526315789475,0.4,0.3076923076923077
70,0.29084261259764,0.2876447876447876,0.5,1.0,0.28207236842105265,0.4,0.3076923076923077
71,0.2949975070633206,0.2915057915057915,0.5,1.0,0.2870065789473684,0.4,0.3076923076923077
72,0.2991524015290012,0.2972972972972973,0.5,1.0,0.29276315789473684,0.4,0.3076923076923077
73,0.30330729599468176,0.30115830115830117,0.5,1.0,0.29769736842105265,0.4,0.3076923076923077
74,0.30746219046036233,0.305019305019305,0.5,1.0,0.3026315789473684,0.4,0.3076923076923077
75,0.3116170849260429,0.30952380952380953,0.5,1.0,0.30756578947368424,0.4,0.3076923076923077
76,0.31577197939172347,0.3127413127413127,0.5,1.0,0.31167763157894735,0.4,0.3076923076923077
77,0.31992687385740404,0.3185328185328185,0.5,1.0,0.31661184210526316,0.4,0.3076923076923077
78,0.3240817683230846,0.31981981981981983,0.5,1.0,0.31743421052631576,0.4,0.3076923076923077
79,0.3282366627887652,0.3268983268983269,0.5,1.0,0.3248355263157895,0.4,0.3076923076923077
80,0.33239155725444575,0.3307593307593308,0.5,1.0,0.32976973684210525,0.4,0.3076923076923077
81,0.3365464517201263,0.333976833976834,0.5,1.0,0.3338815789473684,0.4,0.3076923076923077
82,0.3407013461858069,0.33655083655083656,0.5,1.0,0.3371710526315789,0.4,0.3076923076923077
83,0.34485624065148746,0.342985842985843,0.5,1.0,0.34375,0.5,0.38461538461538464
84,0.349011135117168,0.3481338481338481,0.5,1.0,0.34868421052631576,0.5,0.38461538461538464
85,0.3531660295828486,0.351994851994852,0.5,1.0,0.3536184210526316,0.5,0.38461538461538464
86,0.35732092404852916,0.3552123552123552,0.5,1.0,0.35773026315789475,0.5,0.38461538461538464
87,0.36147581851420973,0.35971685971685974,0.5,1.0,0.36348684210526316,0.5,0.38461538461538464
88,0.3656307129798903,0.3635778635778636,0.5,1.0,0.3675986842105263,0.5,0.38461538461538464
89,0.3697856074455709,0.36743886743886744,0.5,1.0,0.3725328947368421,0.5,0.38461538461538464
90,0.37394050191125144,0.3712998712998713,0.5,1.0,0.37664473684210525,0.5,0.38461538461538464
91,0.378095396376932,0.3770913770913771,0.5,1.0,0.3840460526315789,0.5,0.38461538461538464
92,0.3822502908426126,0.37966537966537967,0.5,1.0,0.38651315789473684,0.5,0.38461538461538464
93,0.38640518530829315,0.38545688545688545,0.5,1.0,0.39226973684210525,0.5,0.38461538461538464
94,0.3905600797739737,0.3906048906048906,0.5,1.0,0.3980263157894737,0.5,0.38461538461538464
95,0.3947149742396543,0.39575289575289574,0.5,1.0,0.4037828947368421,0.5,0.38461538461538464
96,0.39886986870533486,0.398970398970399,0.5,1.0,0.40707236842105265,0.5,0.38461538461538464
97,0.40302476317101543,0.40283140283140284,0.5,1.0,0.41036184210526316,0.5,0.38461538461538464
98,0.407179657636696,0.40540540540540543,0.5,1.0,0.4136513157894737,0.5,0.38461538461538464
99,0.4113345521023766,0.4092664092664093,0.5,1.0,0.41776315789473684,0.5,0.38461538461538464
100,0.4154894465680572,0.4157014157014157,0.5,1.0,0.4243421052631579,0.6,0.46153846153846156
101,0.41964434103373777,0.4189189189189189,0.5,1.0,0.4276315789473684,0.6,0.46153846153846156
