Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected)
1,0.0041883062489529235,0.0007942811755361397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008376612497905847,0.007148530579825258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.01256491874685877,0.012708498808578236,0.0,0.0,0.0,0.3,0.012875536480686695,0.1,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016753224995811694,0.014297061159650517,0.0,0.0,0.0,0.3,0.012875536480686695,0.1,0.037037037037037035,0.1,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020941531244764618,0.018268467037331215,0.0,0.0,0.0,0.3,0.012875536480686695,0.1,0.037037037037037035,0.1,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
6,0.02512983749371754,0.021445591739475776,0.0,0.0,0.0,0.3,0.012875536480686695,0.1,0.037037037037037035,0.1,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
7,0.029318143742670465,0.023828435266084195,0.0,0.0,0.0,0.4,0.017167381974248927,0.1,0.037037037037037035,0.1,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
8,0.03350644999162339,0.027005559968228753,0.0,0.0,0.0,0.4,0.017167381974248927,0.1,0.037037037037037035,0.1,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
9,0.03769475624057631,0.030976965845909452,0.0,0.0,0.0,0.4,0.017167381974248927,0.1,0.037037037037037035,0.1,0.03571428571428571,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
10,0.041883062489529235,0.03733121525019857,0.0,0.0,0.0,0.4,0.017167381974248927,0.1,0.037037037037037035,0.1,0.03571428571428571,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
11,0.04607136873848216,0.03971405877680699,0.0,0.0,0.0,0.6,0.02575107296137339,0.1,0.037037037037037035,0.1,0.03571428571428571,0.0,0.0,0.0,0.0,0.1,0.058823529411764705
12,0.05025967498743508,0.04289118347895155,0.0,0.0,0.0,0.6,0.02575107296137339,0.1,0.037037037037037035,0.1,0.03571428571428571,0.0,0.0,0.1,0.1,0.1,0.058823529411764705
13,0.054447981236388006,0.046068308181096106,0.0,0.0,0.0,0.7,0.030042918454935622,0.2,0.07407407407407407,0.1,0.03571428571428571,0.0,0.0,0.1,0.1,0.1,0.058823529411764705
14,0.05863628748534093,0.05003971405877681,0.0,0.0,0.0,0.8,0.034334763948497854,0.2,0.07407407407407407,0.1,0.03571428571428571,0.0,0.0,0.1,0.1,0.1,0.058823529411764705
15,0.06282459373429385,0.05798252581413821,0.0,0.1,0.09090909090909091,0.9,0.03862660944206009,0.2,0.07407407407407407,0.1,0.03571428571428571,0.1,0.05,0.1,0.1,0.1,0.058823529411764705
16,0.06701289998324678,0.06115965051628276,0.0,0.1,0.09090909090909091,0.9,0.03862660944206009,0.2,0.07407407407407407,0.1,0.03571428571428571,0.1,0.05,0.1,0.1,0.1,0.058823529411764705
17,0.07120120623219969,0.06433677521842732,0.0,0.1,0.09090909090909091,0.9,0.03862660944206009,0.2,0.07407407407407407,0.1,0.03571428571428571,0.1,0.05,0.1,0.1,0.2,0.11764705882352941
18,0.07538951248115262,0.06910246227164417,0.0,0.1,0.09090909090909091,1.0,0.04721030042918455,0.2,0.07407407407407407,0.1,0.03571428571428571,0.1,0.05,0.1,0.1,0.2,0.11764705882352941
19,0.07957781873010554,0.07148530579825259,0.0,0.1,0.09090909090909091,1.0,0.04721030042918455,0.2,0.07407407407407407,0.1,0.03571428571428571,0.1,0.05,0.1,0.1,0.2,0.11764705882352941
