Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected)
1,0.004117259552042161,0.0010672358591248667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008234519104084322,0.005336179295624333,0.0,0.2,0.004464285714285714,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012351778656126482,0.007470651013874066,0.0,0.3,0.006696428571428571,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016469038208168644,0.011739594450373533,0.0,0.6,0.013392857142857142,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020586297760210804,0.017075773745997867,0.0,0.8,0.017857142857142856,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.024703557312252964,0.01814300960512273,0.0,0.9,0.020089285714285716,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.028820816864295124,0.022411953041622197,0.0,1.0,0.026785714285714284,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.03293807641633729,0.026680896478121666,0.0,1.0,0.03125,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.03705533596837945,0.030949839914621132,0.0,1.0,0.033482142857142856,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.04117259552042161,0.035218783351120594,0.0,1.0,0.03571428571428571,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.04528985507246377,0.03735325506937033,0.0,1.0,0.04017857142857143,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.04940711462450593,0.044823906083244394,0.0,1.0,0.05357142857142857,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.05352437417654809,0.04909284951974386,0.0,1.0,0.060267857142857144,0.2,0.2,0.1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
14,0.05764163372859025,0.0576307363927428,0.0,1.0,0.06473214285714286,0.2,0.2,0.1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
15,0.06175889328063241,0.06296691568836713,0.0,1.0,0.06919642857142858,0.2,0.2,0.2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
16,0.06587615283267458,0.06616862326574173,0.0,1.0,0.07142857142857142,0.2,0.2,0.2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
17,0.06999341238471674,0.07150480256136606,0.0,1.0,0.07589285714285714,0.2,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0741106719367589,0.0736392742796158,0.0,1.0,0.07589285714285714,0.2,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0
19,0.07822793148880106,0.07897545357524013,0.0,1.0,0.08258928571428571,0.2,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0
20,0.08234519104084322,0.08431163287086446,0.0,1.0,0.08705357142857142,0.2,0.2,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.0
21,0.08646245059288538,0.09178228388473852,0.0,1.0,0.09151785714285714,0.2,0.2,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.0
22,0.09057971014492754,0.09711846318036287,0.0,1.0,0.09375,0.2,0.2,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.0
23,0.0946969696969697,0.09925293489861259,0.0,1.0,0.09375,0.2,0.2,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.0
24,0.09881422924901186,0.10458911419423693,0.0,1.0,0.10044642857142858,0.2,0.2,0.4,0.26666666666666666,0.0,0.0,0.1,0.1,0.0,0.0
25,0.10293148880105402,0.10885805763073639,0.0,1.0,0.10267857142857142,0.2,0.2,0.4,0.26666666666666666,0.0,0.0,0.1,0.1,0.0,0.0
26,0.10704874835309618,0.11312700106723586,0.0,1.0,0.10714285714285714,0.2,0.2,0.4,0.26666666666666666,0.0,0.0,0.1,0.1,0.0,0.0
27,0.11116600790513834,0.1152614727854856,0.0,1.0,0.10714285714285714,0.2,0.2,0.4,0.26666666666666666,0.0,0.0,0.1,0.1,0.0,0.0
28,0.1152832674571805,0.11739594450373532,0.0,1.0,0.109375,0.2,0.2,0.4,0.26666666666666666,0.0,0.0,0.1,0.1,0.0,0.0
29,0.11940052700922266,0.11846318036286019,0.0,1.0,0.11160714285714286,0.2,0.2,0.4,0.26666666666666666,0.0,0.0,0.1,0.1,0.0,0.0
30,0.12351778656126482,0.12273212379935966,0.0,1.0,0.11383928571428571,0.2,0.2,0.4,0.26666666666666666,0.0,0.0,0.2,0.2,0.0,0.0
31,0.12763504611330698,0.12700106723585913,0.0,1.0,0.11830357142857142,0.3,0.3,0.4,0.26666666666666666,0.0,0.0,0.2,0.2,0.0,0.0
32,0.13175230566534915,0.12913553895410887,0.0,1.0,0.12276785714285714,0.3,0.3,0.4,0.26666666666666666,0.0,0.0,0.2,0.2,0.0,0.0
33,0.1358695652173913,0.13340448239060831,0.0,1.0,0.12946428571428573,0.3,0.3,0.4,0.26666666666666666,0.0,0.0,0.2,0.2,0.0,0.0
34,0.13998682476943347,0.13874066168623267,0.0,1.0,0.13392857142857142,0.3,0.3,0.4,0.26666666666666666,0.0,0.0,0.2,0.2,0.0,0.0
35,0.14410408432147562,0.1472785485592316,0.0,1.0,0.140625,0.3,0.3,0.4,0.26666666666666666,0.0,0.0,0.2,0.2,0.1,0.08333333333333333
36,0.1482213438735178,0.14941302027748132,0.0,1.0,0.140625,0.3,0.3,0.4,0.26666666666666666,0.0,0.0,0.2,0.2,0.1,0.08333333333333333
37,0.15233860342555994,0.1536819637139808,0.0,1.0,0.14508928571428573,0.3,0.3,0.5,0.3333333333333333,0.0,0.0,0.2,0.2,0.1,0.08333333333333333
38,0.1564558629776021,0.15581643543223053,0.0,1.0,0.14508928571428573,0.3,0.3,0.5,0.3333333333333333,0.1,0.09090909090909091,0.2,0.2,0.1,0.08333333333333333
39,0.16057312252964426,0.15901814300960512,0.0,1.0,0.14508928571428573,0.3,0.3,0.5,0.3333333333333333,0.1,0.09090909090909091,0.2,0.2,0.1,0.08333333333333333
40,0.16469038208168643,0.1632870864461046,0.0,1.0,0.14955357142857142,0.3,0.3,0.6,0.4,0.1,0.09090909090909091,0.2,0.2,0.1,0.08333333333333333
41,0.16880764163372858,0.16862326574172892,0.0,1.0,0.15178571428571427,0.3,0.3,0.6,0.4,0.1,0.09090909090909091,0.2,0.2,0.1,0.08333333333333333
42,0.17292490118577075,0.17502668089647813,0.0,1.0,0.16071428571428573,0.3,0.3,0.6,0.4,0.1,0.09090909090909091,0.2,0.2,0.1,0.08333333333333333
43,0.1770421607378129,0.17609391675560299,0.0,1.0,0.16071428571428573,0.3,0.3,0.6,0.4,0.1,0.09090909090909091,0.2,0.2,0.1,0.08333333333333333
44,0.18115942028985507,0.1824973319103522,0.0,1.0,0.16517857142857142,0.3,0.3,0.6,0.4,0.1,0.09090909090909091,0.2,0.2,0.1,0.08333333333333333
45,0.18527667984189725,0.18676627534685167,0.0,1.0,0.16964285714285715,0.3,0.3,0.6,0.4,0.1,0.09090909090909091,0.2,0.2,0.1,0.08333333333333333
46,0.1893939393939394,0.18783351120597652,0.0,1.0,0.16964285714285715,0.3,0.3,0.6,0.4,0.1,0.09090909090909091,0.2,0.2,0.1,0.08333333333333333
47,0.19351119894598157,0.18996798292422626,0.0,1.0,0.171875,0.3,0.3,0.6,0.4,0.1,0.09090909090909091,0.2,0.2,0.1,0.08333333333333333
48,0.1976284584980237,0.19316969050160085,0.0,1.0,0.17633928571428573,0.3,0.3,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
49,0.2017457180500659,0.19850586979722518,0.0,1.0,0.18526785714285715,0.3,0.3,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
50,0.20586297760210803,0.20384204909284953,0.0,1.0,0.18973214285714285,0.3,0.3,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
51,0.2099802371541502,0.20597652081109924,0.0,1.0,0.19196428571428573,0.3,0.3,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
52,0.21409749670619235,0.20811099252934898,0.0,1.0,0.19642857142857142,0.3,0.3,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
53,0.21821475625823453,0.20917822838847386,0.0,1.0,0.19642857142857142,0.3,0.3,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
54,0.22233201581027667,0.21344717182497333,0.0,1.0,0.203125,0.3,0.3,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
55,0.22644927536231885,0.21558164354322304,0.0,1.0,0.203125,0.3,0.3,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
56,0.230566534914361,0.22305229455709713,0.0,1.0,0.21205357142857142,0.3,0.3,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
57,0.23468379446640317,0.22411953041622198,0.0,1.0,0.21428571428571427,0.3,0.3,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
58,0.2388010540184453,0.2305229455709712,0.0,1.0,0.22321428571428573,0.3,0.3,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
59,0.2429183135704875,0.23372465314834578,0.0,1.0,0.22321428571428573,0.4,0.4,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
60,0.24703557312252963,0.240128068303095,0.0,1.0,0.23214285714285715,0.4,0.4,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
61,0.2511528326745718,0.24653148345784417,0.0,1.0,0.24107142857142858,0.4,0.4,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
62,0.25527009222661395,0.2529348986125934,0.0,1.0,0.24553571428571427,0.4,0.4,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
63,0.25938735177865613,0.25933831376734257,0.0,1.0,0.25223214285714285,0.4,0.4,0.6,0.4,0.2,0.18181818181818182,0.2,0.2,0.1,0.08333333333333333
