Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected)
1,0.0041813012209399565,0.003805899143672693,0.0,0.3,0.005309734513274336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008362602441879913,0.012369172216936251,0.0,0.7,0.012389380530973451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012543903662819869,0.016175071360608945,0.0,0.8,0.01415929203539823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016725204883759826,0.02093244529019981,0.0,0.9,0.01592920353982301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020906506104699782,0.02759276879162702,0.0,1.0,0.021238938053097345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.025087807325639738,0.030447193149381543,0.0,1.0,0.024778761061946902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.029269108546579697,0.03235014272121789,0.0,1.0,0.02654867256637168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.03345040976751965,0.03425309229305423,0.0,1.0,0.02654867256637168,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
9,0.03763171098845961,0.04091341579448145,0.0,1.0,0.035398230088495575,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.08333333333333333
10,0.041813012209399564,0.04567078972407231,0.0,1.0,0.04247787610619469,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.08333333333333333
11,0.04599431343033952,0.05233111322549953,0.0,1.0,0.05309734513274336,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.08333333333333333
12,0.050175614651279475,0.05423406279733587,0.0,1.0,0.05486725663716814,0.1,0.1,0.1,0.08333333333333333,0.0,0.0,0.1,0.08333333333333333
13,0.054356915872219434,0.058039961941008564,0.0,1.0,0.05663716814159292,0.1,0.1,0.1,0.08333333333333333,0.0,0.0,0.1,0.08333333333333333
14,0.05853821709315939,0.060894386298763085,0.0,1.0,0.06017699115044248,0.1,0.1,0.1,0.08333333333333333,0.0,0.0,0.1,0.08333333333333333
15,0.06271951831409935,0.06374881065651761,0.0,1.0,0.061946902654867256,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
16,0.0669008195350393,0.06850618458610847,0.0,1.0,0.06548672566371681,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
17,0.07108212075597926,0.07326355851569934,0.0,1.0,0.07079646017699115,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
18,0.07526342197691922,0.0780209324452902,0.0,1.0,0.07610619469026549,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
19,0.07944472319785917,0.0818268315889629,0.0,1.0,0.07964601769911504,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
20,0.08362602441879913,0.08658420551855375,0.0,1.0,0.0831858407079646,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
21,0.08780732563973909,0.08658420551855375,0.0,1.0,0.0831858407079646,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
22,0.09198862686067905,0.0922930542340628,0.0,1.0,0.08849557522123894,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
23,0.096169928081619,0.09324452901998097,0.0,1.0,0.08849557522123894,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
24,0.10035122930255895,0.09705042816365367,0.0,1.0,0.09026548672566372,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
25,0.10453253052349891,0.10085632730732635,0.0,1.0,0.09557522123893805,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
26,0.10871383174443887,0.1065651760228354,0.0,1.0,0.10088495575221239,0.1,0.1,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
27,0.11289513296537883,0.11132254995242626,0.0,1.0,0.10619469026548672,0.3,0.3,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
28,0.11707643418631879,0.11607992388201713,0.0,1.0,0.11150442477876106,0.3,0.3,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
29,0.12125773540725873,0.11988582302568981,0.0,1.0,0.11327433628318584,0.3,0.3,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
30,0.1254390366281987,0.12844909609895339,0.0,1.0,0.1168141592920354,0.3,0.3,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
31,0.12962033784913865,0.13035204567078973,0.0,1.0,0.12035398230088495,0.3,0.3,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
32,0.1338016390700786,0.13225499524262607,0.0,1.0,0.12212389380530973,0.3,0.3,0.2,0.16666666666666666,0.0,0.0,0.1,0.08333333333333333
33,0.13798294029101857,0.13701236917221693,0.0,1.0,0.1256637168141593,0.3,0.3,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
34,0.14216424151195853,0.13986679352997144,0.0,1.0,0.12920353982300886,0.3,0.3,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
35,0.1463455427328985,0.1455756422454805,0.0,1.0,0.13097345132743363,0.3,0.3,0.3,0.25,0.0,0.0,0.1,0.08333333333333333
36,0.15052684395383845,0.15128449096098953,0.0,1.0,0.13805309734513274,0.3,0.3,0.3,0.25,0.0,0.0,0.2,0.16666666666666666
37,0.15470814517477838,0.1560418648905804,0.0,1.0,0.1415929203539823,0.3,0.3,0.3,0.25,0.0,0.0,0.2,0.16666666666666666
38,0.15888944639571834,0.15889628924833493,0.0,1.0,0.14513274336283186,0.3,0.3,0.3,0.25,0.0,0.0,0.2,0.16666666666666666
39,0.1630707476166583,0.16270218839200762,0.0,1.0,0.14690265486725665,0.3,0.3,0.3,0.25,0.0,0.0,0.2,0.16666666666666666
40,0.16725204883759826,0.17126546146527116,0.0,1.0,0.15398230088495576,0.3,0.3,0.3,0.25,0.0,0.0,0.3,0.25
41,0.17143335005853821,0.17411988582302568,0.0,1.0,0.15752212389380532,0.3,0.3,0.3,0.25,0.0,0.0,0.3,0.25
42,0.17561465127947817,0.17982873453853473,0.0,1.0,0.16283185840707964,0.3,0.3,0.3,0.25,0.0,0.0,0.4,0.3333333333333333
43,0.17979595250041813,0.18268315889628925,0.0,1.0,0.16460176991150444,0.3,0.3,0.3,0.25,0.0,0.0,0.4,0.3333333333333333
44,0.1839772537213581,0.18839200761179828,0.0,1.0,0.17345132743362832,0.3,0.3,0.3,0.25,0.0,0.0,0.4,0.3333333333333333
45,0.18815855494229805,0.19600380589914368,0.0,1.0,0.18230088495575222,0.3,0.3,0.3,0.25,0.0,0.0,0.4,0.3333333333333333
46,0.192339856163238,0.2017126546146527,0.0,1.0,0.18761061946902655,0.3,0.3,0.3,0.25,0.0,0.0,0.4,0.3333333333333333
