Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected)
1,0.004191114836546521,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,0.1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008382229673093043,0.013793103448275862,0.0,0.0,0.0,0.0,0.0,0.1,0.06666666666666667,0.1,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012573344509639563,0.013793103448275862,0.0,0.0,0.0,0.0,0.0,0.1,0.06666666666666667,0.1,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016764459346186086,0.020689655172413793,0.0,0.0,0.0,0.0,0.0,0.1,0.06666666666666667,0.2,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020955574182732608,0.027586206896551724,0.0,0.0,0.0,0.0,0.0,0.1,0.06666666666666667,0.3,0.09375,0.0,0.0,0.0,0.0,0.0,0.0
6,0.025146689019279127,0.027586206896551724,0.0,0.0,0.0,0.0,0.0,0.1,0.06666666666666667,0.3,0.09375,0.0,0.0,0.0,0.0,0.0,0.0
7,0.02933780385582565,0.041379310344827586,0.0,0.0,0.0,0.1,0.037037037037037035,0.2,0.13333333333333333,0.3,0.09375,0.0,0.0,0.0,0.0,0.0,0.0
8,0.03352891869237217,0.04827586206896552,0.0,0.0,0.0,0.1,0.037037037037037035,0.2,0.13333333333333333,0.4,0.125,0.0,0.0,0.0,0.0,0.0,0.0
9,0.037720033528918694,0.05517241379310345,0.0,0.0,0.0,0.1,0.037037037037037035,0.2,0.13333333333333333,0.4,0.125,0.0,0.0,0.1,0.09090909090909091,0.0,0.0
10,0.041911148365465216,0.05517241379310345,0.0,0.0,0.0,0.1,0.037037037037037035,0.2,0.13333333333333333,0.4,0.125,0.0,0.0,0.1,0.09090909090909091,0.0,0.0
11,0.04610226320201174,0.05517241379310345,0.0,0.0,0.0,0.1,0.037037037037037035,0.2,0.13333333333333333,0.4,0.125,0.0,0.0,0.1,0.09090909090909091,0.0,0.0
12,0.050293378038558254,0.05517241379310345,0.0,0.0,0.0,0.1,0.037037037037037035,0.2,0.13333333333333333,0.4,0.125,0.0,0.0,0.1,0.09090909090909091,0.0,0.0
13,0.054484492875104776,0.05517241379310345,0.0,0.0,0.0,0.1,0.037037037037037035,0.2,0.13333333333333333,0.4,0.125,0.0,0.0,0.1,0.09090909090909091,0.0,0.0
14,0.0586756077116513,0.06206896551724138,0.0,0.0,0.0,0.1,0.037037037037037035,0.2,0.13333333333333333,0.4,0.125,0.0,0.0,0.1,0.09090909090909091,0.0,0.0
15,0.06286672254819782,0.06206896551724138,0.0,0.0,0.0,0.1,0.037037037037037035,0.2,0.13333333333333333,0.4,0.125,0.0,0.0,0.1,0.09090909090909091,0.0,0.0
