Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected)
1,0.0040186465198521135,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
2,0.008037293039704227,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
3,0.012055939559556342,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
4,0.016074586079408454,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
5,0.020093232599260567,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
6,0.024111879119112684,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
7,0.028130525638964798,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
8,0.03214917215881691,0.0297029702970297,0.0,0.1,0.02631578947368421,0.1,0.07142857142857142,0.1,0.1,0.0,0.0
9,0.03616781867866902,0.039603960396039604,0.0,0.1,0.02631578947368421,0.1,0.07142857142857142,0.1,0.1,0.1,0.05263157894736842
10,0.040186465198521135,0.039603960396039604,0.0,0.1,0.02631578947368421,0.1,0.07142857142857142,0.1,0.1,0.1,0.05263157894736842
11,0.044205111718373255,0.04950495049504951,0.0,0.1,0.02631578947368421,0.2,0.14285714285714285,0.1,0.1,0.1,0.05263157894736842
12,0.04822375823822537,0.04950495049504951,0.0,0.1,0.02631578947368421,0.2,0.14285714285714285,0.1,0.1,0.1,0.05263157894736842
13,0.05224240475807748,0.04950495049504951,0.0,0.1,0.02631578947368421,0.2,0.14285714285714285,0.1,0.1,0.1,0.05263157894736842
14,0.056261051277929595,0.04950495049504951,0.0,0.1,0.02631578947368421,0.2,0.14285714285714285,0.1,0.1,0.1,0.05263157894736842
15,0.06027969779778171,0.04950495049504951,0.0,0.1,0.02631578947368421,0.2,0.14285714285714285,0.1,0.1,0.1,0.05263157894736842
16,0.06429834431763382,0.06930693069306931,0.0,0.2,0.05263157894736842,0.2,0.14285714285714285,0.1,0.1,0.2,0.10526315789473684
17,0.06831699083748594,0.06930693069306931,0.0,0.2,0.05263157894736842,0.2,0.14285714285714285,0.1,0.1,0.2,0.10526315789473684
18,0.07233563735733804,0.06930693069306931,0.0,0.2,0.05263157894736842,0.2,0.14285714285714285,0.1,0.1,0.2,0.10526315789473684
19,0.07635428387719016,0.07920792079207921,0.0,0.2,0.05263157894736842,0.2,0.14285714285714285,0.1,0.1,0.3,0.15789473684210525
20,0.08037293039704227,0.07920792079207921,0.0,0.2,0.05263157894736842,0.2,0.14285714285714285,0.1,0.1,0.3,0.15789473684210525
21,0.08439157691689439,0.07920792079207921,0.0,0.2,0.05263157894736842,0.2,0.14285714285714285,0.1,0.1,0.3,0.15789473684210525
22,0.08841022343674651,0.09900990099009901,0.0,0.4,0.10526315789473684,0.2,0.14285714285714285,0.1,0.1,0.3,0.15789473684210525
23,0.09242886995659862,0.10891089108910891,0.0,0.4,0.10526315789473684,0.2,0.14285714285714285,0.1,0.1,0.3,0.15789473684210525
24,0.09644751647645074,0.1188118811881188,0.0,0.4,0.10526315789473684,0.2,0.14285714285714285,0.2,0.2,0.3,0.15789473684210525
25,0.10046616299630284,0.12871287128712872,0.0,0.5,0.13157894736842105,0.2,0.14285714285714285,0.2,0.2,0.3,0.15789473684210525
26,0.10448480951615496,0.12871287128712872,0.0,0.5,0.13157894736842105,0.2,0.14285714285714285,0.2,0.2,0.3,0.15789473684210525
27,0.10850345603600707,0.13861386138613863,0.0,0.5,0.13157894736842105,0.2,0.14285714285714285,0.2,0.2,0.4,0.21052631578947367
28,0.11252210255585919,0.13861386138613863,0.0,0.5,0.13157894736842105,0.2,0.14285714285714285,0.2,0.2,0.4,0.21052631578947367
29,0.1165407490757113,0.13861386138613863,0.0,0.5,0.13157894736842105,0.2,0.14285714285714285,0.2,0.2,0.4,0.21052631578947367
30,0.12055939559556342,0.13861386138613863,0.0,0.5,0.13157894736842105,0.2,0.14285714285714285,0.2,0.2,0.4,0.21052631578947367
31,0.12457804211541552,0.1485148514851485,0.0,0.5,0.13157894736842105,0.2,0.14285714285714285,0.3,0.3,0.4,0.21052631578947367
32,0.12859668863526763,0.1485148514851485,0.0,0.5,0.13157894736842105,0.2,0.14285714285714285,0.3,0.3,0.4,0.21052631578947367
33,0.13261533515511975,0.15841584158415842,0.0,0.6,0.15789473684210525,0.2,0.14285714285714285,0.3,0.3,0.4,0.21052631578947367
34,0.13663398167497187,0.15841584158415842,0.0,0.6,0.15789473684210525,0.2,0.14285714285714285,0.3,0.3,0.4,0.21052631578947367
35,0.140652628194824,0.15841584158415842,0.0,0.6,0.15789473684210525,0.2,0.14285714285714285,0.3,0.3,0.4,0.21052631578947367
36,0.14467127471467608,0.15841584158415842,0.0,0.6,0.15789473684210525,0.2,0.14285714285714285,0.3,0.3,0.4,0.21052631578947367
37,0.1486899212345282,0.15841584158415842,0.0,0.6,0.15789473684210525,0.2,0.14285714285714285,0.3,0.3,0.4,0.21052631578947367
38,0.15270856775438033,0.15841584158415842,0.0,0.6,0.15789473684210525,0.2,0.14285714285714285,0.3,0.3,0.4,0.21052631578947367
39,0.15672721427423245,0.15841584158415842,0.0,0.6,0.15789473684210525,0.2,0.14285714285714285,0.3,0.3,0.4,0.21052631578947367
40,0.16074586079408454,0.15841584158415842,0.0,0.6,0.15789473684210525,0.2,0.14285714285714285,0.3,0.3,0.4,0.21052631578947367
41,0.16476450731393666,0.16831683168316833,0.0,0.6,0.15789473684210525,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
42,0.16878315383378878,0.16831683168316833,0.0,0.6,0.15789473684210525,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
43,0.1728018003536409,0.16831683168316833,0.0,0.6,0.15789473684210525,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
44,0.17682044687349302,0.16831683168316833,0.0,0.6,0.15789473684210525,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
45,0.1808390933933451,0.16831683168316833,0.0,0.6,0.15789473684210525,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
46,0.18485773991319723,0.1782178217821782,0.0,0.6,0.15789473684210525,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
47,0.18887638643304935,0.1782178217821782,0.0,0.6,0.15789473684210525,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
48,0.19289503295290147,0.19801980198019803,0.0,0.7,0.18421052631578946,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
49,0.19691367947275357,0.19801980198019803,0.0,0.7,0.18421052631578946,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
50,0.2009323259926057,0.2079207920792079,0.0,0.8,0.21052631578947367,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
51,0.2049509725124578,0.2079207920792079,0.0,0.8,0.21052631578947367,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
52,0.20896961903230993,0.2079207920792079,0.0,0.8,0.21052631578947367,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
53,0.21298826555216202,0.2079207920792079,0.0,0.8,0.21052631578947367,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
54,0.21700691207201414,0.21782178217821782,0.0,0.8,0.21052631578947367,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
55,0.22102555859186626,0.21782178217821782,0.0,0.8,0.21052631578947367,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
56,0.22504420511171838,0.21782178217821782,0.0,0.8,0.21052631578947367,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
57,0.22906285163157047,0.22772277227722773,0.0,0.9,0.23684210526315788,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
58,0.2330814981514226,0.22772277227722773,0.0,0.9,0.23684210526315788,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
59,0.23710014467127472,0.22772277227722773,0.0,0.9,0.23684210526315788,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
60,0.24111879119112684,0.22772277227722773,0.0,0.9,0.23684210526315788,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
61,0.24513743771097896,0.22772277227722773,0.0,0.9,0.23684210526315788,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
62,0.24915608423083105,0.22772277227722773,0.0,0.9,0.23684210526315788,0.2,0.14285714285714285,0.3,0.3,0.5,0.2631578947368421
63,0.2531747307506832,0.2376237623762376,0.0,0.9,0.23684210526315788,0.2,0.14285714285714285,0.4,0.4,0.5,0.2631578947368421
64,0.25719337727053526,0.2376237623762376,0.0,0.9,0.23684210526315788,0.2,0.14285714285714285,0.4,0.4,0.5,0.2631578947368421
65,0.2612120237903874,0.2376237623762376,0.0,0.9,0.23684210526315788,0.2,0.14285714285714285,0.4,0.4,0.5,0.2631578947368421
66,0.2652306703102395,0.2376237623762376,0.0,0.9,0.23684210526315788,0.2,0.14285714285714285,0.4,0.4,0.5,0.2631578947368421
67,0.2692493168300916,0.2376237623762376,0.0,0.9,0.23684210526315788,0.2,0.14285714285714285,0.4,0.4,0.5,0.2631578947368421
68,0.27326796334994374,0.2376237623762376,0.0,0.9,0.23684210526315788,0.2,0.14285714285714285,0.4,0.4,0.5,0.2631578947368421
