Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected)
1,0.004043344654698367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008086689309396733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012130033964095099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016173378618793467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.020216723273491832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.024260067928190198,0.014084507042253521,0.0,0.1,0.043478260869565216,0.0,0.0,0.0,0.0
7,0.028303412582888564,0.04225352112676056,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.1,0.047619047619047616
8,0.03234675723758693,0.04225352112676056,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.1,0.047619047619047616
9,0.036390101892285295,0.04225352112676056,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.1,0.047619047619047616
10,0.040433446546983665,0.04225352112676056,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.1,0.047619047619047616
11,0.044476791201682034,0.04225352112676056,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.1,0.047619047619047616
12,0.048520135856380396,0.04225352112676056,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.1,0.047619047619047616
13,0.052563480511078765,0.04225352112676056,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.1,0.047619047619047616
14,0.05660682516577713,0.04225352112676056,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.1,0.047619047619047616
15,0.0606501698204755,0.056338028169014086,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.2,0.09523809523809523
16,0.06469351447517387,0.056338028169014086,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.2,0.09523809523809523
17,0.06873685912987224,0.056338028169014086,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.2,0.09523809523809523
18,0.07278020378457059,0.07042253521126761,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.3,0.14285714285714285
19,0.07682354843926896,0.07042253521126761,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.3,0.14285714285714285
20,0.08086689309396733,0.07042253521126761,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.3,0.14285714285714285
21,0.0849102377486657,0.07042253521126761,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.3,0.14285714285714285
22,0.08895358240336407,0.07042253521126761,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.3,0.14285714285714285
23,0.09299692705806242,0.07042253521126761,0.0,0.1,0.043478260869565216,0.1,0.07692307692307693,0.3,0.14285714285714285
24,0.09704027171276079,0.08450704225352113,0.0,0.2,0.08695652173913043,0.1,0.07692307692307693,0.3,0.14285714285714285
25,0.10108361636745916,0.09859154929577464,0.0,0.3,0.13043478260869565,0.1,0.07692307692307693,0.3,0.14285714285714285
26,0.10512696102215753,0.11267605633802817,0.0,0.4,0.17391304347826086,0.1,0.07692307692307693,0.3,0.14285714285714285
27,0.1091703056768559,0.11267605633802817,0.0,0.4,0.17391304347826086,0.1,0.07692307692307693,0.3,0.14285714285714285
