Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected)
1,0.004096346059315091,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05263157894736842
2,0.008192692118630182,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05263157894736842
3,0.012289038177945273,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05263157894736842
4,0.016385384237260363,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05263157894736842
5,0.020481730296575455,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.10526315789473684
6,0.024578076355890547,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.10526315789473684
7,0.028674422415205635,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.10526315789473684
8,0.03277076847452073,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.10526315789473684
9,0.036867114533835815,0.030864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.10526315789473684
10,0.04096346059315091,0.030864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.10526315789473684
11,0.045059806652466,0.030864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.10526315789473684
12,0.049156152711781094,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.10526315789473684
13,0.05325249877109618,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.10526315789473684
14,0.05734884483041127,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.10526315789473684
15,0.061445190889726366,0.05555555555555555,0.0,0.0,0.0,0.1,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.10526315789473684
16,0.06554153694904145,0.05555555555555555,0.0,0.0,0.0,0.1,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.10526315789473684
17,0.06963788300835655,0.05555555555555555,0.0,0.0,0.0,0.1,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.10526315789473684
18,0.07373422906767163,0.08024691358024691,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.1,0.1,0.3,0.15789473684210525
19,0.07783057512698673,0.08641975308641975,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.2,0.2,0.3,0.15789473684210525
20,0.08192692118630182,0.08641975308641975,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.2,0.2,0.3,0.15789473684210525
21,0.08602326724561692,0.08641975308641975,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.2,0.2,0.3,0.15789473684210525
22,0.090119613304932,0.08641975308641975,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.2,0.2,0.3,0.15789473684210525
23,0.09421595936424709,0.08641975308641975,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.2,0.2,0.3,0.15789473684210525
24,0.09831230542356219,0.09259259259259259,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.2,0.2,0.3,0.15789473684210525
25,0.10240865148287727,0.09259259259259259,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.2,0.2,0.3,0.15789473684210525
26,0.10650499754219236,0.09259259259259259,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.2,0.2,0.3,0.15789473684210525
27,0.11060134360150746,0.09259259259259259,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.2,0.2,0.3,0.15789473684210525
28,0.11469768966082254,0.09876543209876543,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.2,0.2,0.3,0.15789473684210525
29,0.11879403572013764,0.09876543209876543,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.2,0.2,0.3,0.15789473684210525
30,0.12289038177945273,0.09876543209876543,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.2,0.2,0.3,0.15789473684210525
31,0.12698672783876783,0.10493827160493827,0.0,0.0,0.0,0.2,0.13333333333333333,0.1,0.041666666666666664,0.2,0.2,0.3,0.15789473684210525
32,0.1310830738980829,0.10493827160493827,0.0,0.0,0.0,0.2,0.13333333333333333,0.1,0.041666666666666664,0.2,0.2,0.3,0.15789473684210525
33,0.135179419957398,0.10493827160493827,0.0,0.0,0.0,0.2,0.13333333333333333,0.1,0.041666666666666664,0.2,0.2,0.3,0.15789473684210525
34,0.1392757660167131,0.1111111111111111,0.0,0.0,0.0,0.2,0.13333333333333333,0.1,0.041666666666666664,0.2,0.2,0.3,0.15789473684210525
35,0.14337211207602818,0.12345679012345678,0.0,0.0,0.0,0.2,0.13333333333333333,0.2,0.08333333333333333,0.2,0.2,0.3,0.15789473684210525
36,0.14746845813534326,0.12962962962962962,0.0,0.0,0.0,0.2,0.13333333333333333,0.2,0.08333333333333333,0.2,0.2,0.3,0.15789473684210525
37,0.15156480419465837,0.13580246913580246,0.0,0.0,0.0,0.2,0.13333333333333333,0.2,0.08333333333333333,0.2,0.2,0.3,0.15789473684210525
38,0.15566115025397345,0.13580246913580246,0.0,0.0,0.0,0.2,0.13333333333333333,0.2,0.08333333333333333,0.2,0.2,0.3,0.15789473684210525
39,0.15975749631328853,0.15432098765432098,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.3,0.125,0.2,0.2,0.4,0.21052631578947367
40,0.16385384237260364,0.15432098765432098,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.3,0.125,0.2,0.2,0.4,0.21052631578947367
41,0.16795018843191872,0.16049382716049382,0.0,0.1,0.07692307692307693,0.2,0.13333333333333333,0.3,0.125,0.2,0.2,0.4,0.21052631578947367
42,0.17204653449123383,0.16666666666666666,0.0,0.1,0.07692307692307693,0.3,0.2,0.3,0.125,0.2,0.2,0.4,0.21052631578947367
43,0.1761428805505489,0.16666666666666666,0.0,0.1,0.07692307692307693,0.3,0.2,0.3,0.125,0.2,0.2,0.4,0.21052631578947367
44,0.180239226609864,0.1728395061728395,0.0,0.1,0.07692307692307693,0.3,0.2,0.4,0.16666666666666666,0.2,0.2,0.4,0.21052631578947367
45,0.1843355726691791,0.1728395061728395,0.0,0.1,0.07692307692307693,0.3,0.2,0.4,0.16666666666666666,0.2,0.2,0.4,0.21052631578947367
46,0.18843191872849419,0.1728395061728395,0.0,0.1,0.07692307692307693,0.3,0.2,0.4,0.16666666666666666,0.2,0.2,0.4,0.21052631578947367
