Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected)
1,0.004043344654698367,0.008771929824561403,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0
2,0.008086689309396733,0.008771929824561403,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0
3,0.012130033964095099,0.008771929824561403,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0
4,0.016173378618793467,0.017543859649122806,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0
5,0.020216723273491832,0.017543859649122806,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0
6,0.024260067928190198,0.02631578947368421,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0
7,0.028303412582888564,0.02631578947368421,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0
8,0.03234675723758693,0.02631578947368421,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0
9,0.036390101892285295,0.02631578947368421,0.0,0.0,0.0,0.1,0.07692307692307693,0.0,0.0
10,0.040433446546983665,0.043859649122807015,0.0,0.0,0.0,0.2,0.15384615384615385,0.0,0.0
11,0.044476791201682034,0.043859649122807015,0.0,0.0,0.0,0.2,0.15384615384615385,0.0,0.0
12,0.048520135856380396,0.043859649122807015,0.0,0.0,0.0,0.2,0.15384615384615385,0.0,0.0
13,0.052563480511078765,0.05263157894736842,0.0,0.0,0.0,0.2,0.15384615384615385,0.0,0.0
14,0.05660682516577713,0.05263157894736842,0.0,0.0,0.0,0.2,0.15384615384615385,0.0,0.0
15,0.0606501698204755,0.05263157894736842,0.0,0.0,0.0,0.2,0.15384615384615385,0.0,0.0
16,0.06469351447517387,0.06140350877192982,0.0,0.0,0.0,0.2,0.15384615384615385,0.0,0.0
17,0.06873685912987224,0.07017543859649122,0.0,0.0,0.0,0.2,0.15384615384615385,0.1,0.047619047619047616
18,0.07278020378457059,0.07017543859649122,0.0,0.0,0.0,0.2,0.15384615384615385,0.1,0.047619047619047616
19,0.07682354843926896,0.07017543859649122,0.0,0.0,0.0,0.2,0.15384615384615385,0.1,0.047619047619047616
20,0.08086689309396733,0.07017543859649122,0.0,0.0,0.0,0.2,0.15384615384615385,0.1,0.047619047619047616
21,0.0849102377486657,0.07017543859649122,0.0,0.0,0.0,0.2,0.15384615384615385,0.1,0.047619047619047616
22,0.08895358240336407,0.07894736842105263,0.0,0.0,0.0,0.2,0.15384615384615385,0.1,0.047619047619047616
23,0.09299692705806242,0.07894736842105263,0.0,0.0,0.0,0.2,0.15384615384615385,0.1,0.047619047619047616
24,0.09704027171276079,0.08771929824561403,0.0,0.0,0.0,0.2,0.15384615384615385,0.2,0.09523809523809523
25,0.10108361636745916,0.09649122807017543,0.0,0.0,0.0,0.2,0.15384615384615385,0.2,0.09523809523809523
26,0.10512696102215753,0.09649122807017543,0.0,0.0,0.0,0.2,0.15384615384615385,0.2,0.09523809523809523
27,0.1091703056768559,0.09649122807017543,0.0,0.0,0.0,0.2,0.15384615384615385,0.2,0.09523809523809523
28,0.11321365033155426,0.09649122807017543,0.0,0.0,0.0,0.2,0.15384615384615385,0.2,0.09523809523809523
29,0.11725699498625262,0.09649122807017543,0.0,0.0,0.0,0.2,0.15384615384615385,0.2,0.09523809523809523
30,0.121300339640951,0.09649122807017543,0.0,0.0,0.0,0.2,0.15384615384615385,0.2,0.09523809523809523
31,0.12534368429564935,0.09649122807017543,0.0,0.0,0.0,0.2,0.15384615384615385,0.2,0.09523809523809523
32,0.12938702895034773,0.10526315789473684,0.0,0.1,0.043478260869565216,0.2,0.15384615384615385,0.2,0.09523809523809523
33,0.1334303736050461,0.12280701754385964,0.0,0.2,0.08695652173913043,0.2,0.15384615384615385,0.2,0.09523809523809523
34,0.13747371825974447,0.12280701754385964,0.0,0.2,0.08695652173913043,0.2,0.15384615384615385,0.2,0.09523809523809523
35,0.14151706291444283,0.12280701754385964,0.0,0.2,0.08695652173913043,0.2,0.15384615384615385,0.2,0.09523809523809523
36,0.14556040756914118,0.12280701754385964,0.0,0.2,0.08695652173913043,0.2,0.15384615384615385,0.2,0.09523809523809523
37,0.14960375222383956,0.12280701754385964,0.0,0.2,0.08695652173913043,0.2,0.15384615384615385,0.2,0.09523809523809523
38,0.15364709687853792,0.13157894736842105,0.0,0.2,0.08695652173913043,0.2,0.15384615384615385,0.2,0.09523809523809523
39,0.1576904415332363,0.13157894736842105,0.0,0.2,0.08695652173913043,0.2,0.15384615384615385,0.2,0.09523809523809523
40,0.16173378618793466,0.13157894736842105,0.0,0.2,0.08695652173913043,0.2,0.15384615384615385,0.2,0.09523809523809523
41,0.165777130842633,0.13157894736842105,0.0,0.2,0.08695652173913043,0.2,0.15384615384615385,0.2,0.09523809523809523
42,0.1698204754973314,0.14035087719298245,0.0,0.2,0.08695652173913043,0.2,0.15384615384615385,0.2,0.09523809523809523
43,0.17386382015202975,0.14035087719298245,0.0,0.2,0.08695652173913043,0.2,0.15384615384615385,0.2,0.09523809523809523
44,0.17790716480672814,0.15789473684210525,0.0,0.2,0.08695652173913043,0.2,0.15384615384615385,0.2,0.09523809523809523
45,0.1819505094614265,0.15789473684210525,0.0,0.2,0.08695652173913043,0.2,0.15384615384615385,0.2,0.09523809523809523
46,0.18599385411612485,0.16666666666666666,0.0,0.2,0.08695652173913043,0.3,0.23076923076923078,0.2,0.09523809523809523
47,0.19003719877082323,0.16666666666666666,0.0,0.2,0.08695652173913043,0.3,0.23076923076923078,0.2,0.09523809523809523
48,0.19408054342552158,0.16666666666666666,0.0,0.2,0.08695652173913043,0.3,0.23076923076923078,0.2,0.09523809523809523
49,0.19812388808021997,0.16666666666666666,0.0,0.2,0.08695652173913043,0.3,0.23076923076923078,0.2,0.09523809523809523
50,0.20216723273491832,0.16666666666666666,0.0,0.2,0.08695652173913043,0.3,0.23076923076923078,0.2,0.09523809523809523
51,0.20621057738961668,0.16666666666666666,0.0,0.2,0.08695652173913043,0.3,0.23076923076923078,0.2,0.09523809523809523
52,0.21025392204431506,0.17543859649122806,0.0,0.2,0.08695652173913043,0.3,0.23076923076923078,0.2,0.09523809523809523
53,0.21429726669901342,0.17543859649122806,0.0,0.2,0.08695652173913043,0.3,0.23076923076923078,0.2,0.09523809523809523
54,0.2183406113537118,0.17543859649122806,0.0,0.2,0.08695652173913043,0.3,0.23076923076923078,0.2,0.09523809523809523
55,0.22238395600841016,0.17543859649122806,0.0,0.2,0.08695652173913043,0.3,0.23076923076923078,0.2,0.09523809523809523
56,0.2264273006631085,0.18421052631578946,0.0,0.2,0.08695652173913043,0.3,0.23076923076923078,0.2,0.09523809523809523
57,0.2304706453178069,0.18421052631578946,0.0,0.2,0.08695652173913043,0.3,0.23076923076923078,0.2,0.09523809523809523
58,0.23451398997250525,0.18421052631578946,0.0,0.2,0.08695652173913043,0.3,0.23076923076923078,0.2,0.09523809523809523
59,0.23855733462720363,0.19298245614035087,0.0,0.3,0.13043478260869565,0.3,0.23076923076923078,0.2,0.09523809523809523
60,0.242600679281902,0.19298245614035087,0.0,0.3,0.13043478260869565,0.3,0.23076923076923078,0.2,0.09523809523809523
61,0.24664402393660034,0.19298245614035087,0.0,0.3,0.13043478260869565,0.3,0.23076923076923078,0.2,0.09523809523809523
62,0.2506873685912987,0.19298245614035087,0.0,0.3,0.13043478260869565,0.3,0.23076923076923078,0.2,0.09523809523809523
63,0.2547307132459971,0.21052631578947367,0.0,0.3,0.13043478260869565,0.3,0.23076923076923078,0.2,0.09523809523809523
64,0.25877405790069546,0.21929824561403508,0.0,0.3,0.13043478260869565,0.3,0.23076923076923078,0.3,0.14285714285714285
65,0.2628174025553938,0.21929824561403508,0.0,0.3,0.13043478260869565,0.3,0.23076923076923078,0.3,0.14285714285714285
66,0.2668607472100922,0.22807017543859648,0.0,0.4,0.17391304347826086,0.3,0.23076923076923078,0.3,0.14285714285714285
67,0.27090409186479053,0.22807017543859648,0.0,0.4,0.17391304347826086,0.3,0.23076923076923078,0.3,0.14285714285714285
68,0.27494743651948894,0.22807017543859648,0.0,0.4,0.17391304347826086,0.3,0.23076923076923078,0.3,0.14285714285714285
69,0.2789907811741873,0.23684210526315788,0.0,0.5,0.21739130434782608,0.3,0.23076923076923078,0.3,0.14285714285714285
70,0.28303412582888565,0.24561403508771928,0.0,0.5,0.21739130434782608,0.3,0.23076923076923078,0.3,0.14285714285714285
71,0.287077470483584,0.2543859649122807,0.0,0.5,0.21739130434782608,0.3,0.23076923076923078,0.3,0.14285714285714285
72,0.29112081513828236,0.2543859649122807,0.0,0.5,0.21739130434782608,0.3,0.23076923076923078,0.3,0.14285714285714285
73,0.2951641597929808,0.2631578947368421,0.0,0.5,0.21739130434782608,0.3,0.23076923076923078,0.3,0.14285714285714285
74,0.29920750444767913,0.2719298245614035,0.0,0.5,0.21739130434782608,0.3,0.23076923076923078,0.3,0.14285714285714285
75,0.3032508491023775,0.2807017543859649,0.0,0.5,0.21739130434782608,0.3,0.23076923076923078,0.4,0.19047619047619047
76,0.30729419375707584,0.2894736842105263,0.0,0.5,0.21739130434782608,0.3,0.23076923076923078,0.5,0.23809523809523808
77,0.3113375384117742,0.2982456140350877,0.0,0.5,0.21739130434782608,0.3,0.23076923076923078,0.5,0.23809523809523808
