Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected)
1,0.004170837504170837,0.001962708537782139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008341675008341674,0.002944062806673209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012512512512512513,0.0068694798822374874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.01668335001668335,0.011776251226692836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.058823529411764705,0.0,0.0
5,0.020854187520854186,0.018645731108930325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.11764705882352941,0.0,0.0
6,0.025025025025025027,0.021589793915603533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.11764705882352941,0.1,0.1
7,0.029195862529195864,0.02649656526005888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.11764705882352941,0.1,0.1
8,0.0333667000333667,0.03042198233562316,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.11764705882352941,0.1,0.1
9,0.03753753753753754,0.033366045142296366,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.11764705882352941,0.1,0.1
10,0.04170837504170837,0.03631010794896958,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.11764705882352941,0.1,0.1
11,0.04587921254587921,0.04317958783120707,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.11764705882352941,0.1,0.1
12,0.05005005005005005,0.045142296368989206,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.11764705882352941,0.1,0.1
13,0.05422088755422089,0.04906771344455348,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.11764705882352941,0.1,0.1
14,0.05839172505839173,0.053974484789008834,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.17647058823529413,0.1,0.1
15,0.06256256256256257,0.05789990186457311,0.0,0.1,0.1,0.0,0.0,0.1,0.06666666666666667,0.3,0.17647058823529413,0.1,0.1
16,0.0667334000667334,0.06084396467124632,0.0,0.1,0.1,0.0,0.0,0.1,0.06666666666666667,0.3,0.17647058823529413,0.1,0.1
17,0.07090423757090424,0.06575073601570167,0.0,0.1,0.1,0.0,0.0,0.1,0.06666666666666667,0.3,0.17647058823529413,0.1,0.1
18,0.07507507507507508,0.07360157016683022,0.0,0.1,0.1,0.1,0.058823529411764705,0.1,0.06666666666666667,0.3,0.17647058823529413,0.1,0.1
19,0.07924591257924592,0.07948969578017664,0.0,0.1,0.1,0.1,0.058823529411764705,0.1,0.06666666666666667,0.3,0.17647058823529413,0.1,0.1
20,0.08341675008341674,0.08341511285574092,0.0,0.1,0.1,0.1,0.058823529411764705,0.1,0.06666666666666667,0.3,0.17647058823529413,0.1,0.1
21,0.08758758758758758,0.08930323846908735,0.0,0.1,0.1,0.1,0.058823529411764705,0.1,0.06666666666666667,0.4,0.23529411764705882,0.1,0.1
