Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected)
1,0.004191114836546521,0.00458295142071494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008382229673093043,0.01008249312557287,0.0,0.0,0.0,0.1,0.037037037037037035,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0
3,0.012573344509639563,0.01466544454628781,0.0,0.0,0.0,0.1,0.037037037037037035,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
4,0.016764459346186086,0.02016498625114574,0.0,0.0,0.0,0.1,0.037037037037037035,0.1,0.06666666666666667,0.1,0.03125,0.2,0.2,0.0,0.0,0.0,0.0
5,0.020955574182732608,0.022914757103574702,0.0,0.0,0.0,0.1,0.037037037037037035,0.1,0.06666666666666667,0.1,0.03125,0.2,0.2,0.0,0.0,0.0,0.0
6,0.025146689019279127,0.026581118240146653,0.0,0.0,0.0,0.1,0.037037037037037035,0.1,0.06666666666666667,0.2,0.0625,0.2,0.2,0.0,0.0,0.0,0.0
7,0.02933780385582565,0.027497708524289642,0.0,0.0,0.0,0.1,0.037037037037037035,0.1,0.06666666666666667,0.2,0.0625,0.3,0.3,0.0,0.0,0.0,0.0
8,0.03352891869237217,0.02933088909257562,0.0,0.0,0.0,0.1,0.037037037037037035,0.1,0.06666666666666667,0.2,0.0625,0.3,0.3,0.0,0.0,0.0,0.0
9,0.037720033528918694,0.032080659945004586,0.0,0.0,0.0,0.1,0.037037037037037035,0.1,0.06666666666666667,0.3,0.09375,0.3,0.3,0.0,0.0,0.0,0.0
10,0.041911148365465216,0.03666361136571952,0.0,0.0,0.0,0.1,0.037037037037037035,0.1,0.06666666666666667,0.3,0.09375,0.3,0.3,0.0,0.0,0.0,0.0
11,0.04610226320201174,0.03941338221814849,0.0,0.0,0.0,0.1,0.037037037037037035,0.2,0.13333333333333333,0.3,0.09375,0.3,0.3,0.1,0.09090909090909091,0.0,0.0
