Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected)
1,0.0042618479372655985,0.005244755244755245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008523695874531197,0.01048951048951049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.012785543811796795,0.012237762237762238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.017047391749062394,0.013986013986013986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.02130923968632799,0.02097902097902098,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0
6,0.02557108762359359,0.024475524475524476,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0
7,0.029832935560859187,0.024475524475524476,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0
8,0.03409478349812479,0.02972027972027972,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0
9,0.038356631435390386,0.03496503496503497,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0
10,0.04261847937265598,0.03671328671328671,0.0,0.1,0.05,0.0,0.0,0.1,0.07142857142857142,0.0,0.0
11,0.04688032730992158,0.043706293706293704,0.0,0.1,0.05,0.0,0.0,0.1,0.07142857142857142,0.0,0.0
12,0.05114217524718718,0.050699300699300696,0.0,0.1,0.05,0.0,0.0,0.1,0.07142857142857142,0.0,0.0
13,0.055404023184452776,0.055944055944055944,0.0,0.1,0.05,0.1,0.0196078431372549,0.1,0.07142857142857142,0.0,0.0
14,0.059665871121718374,0.06293706293706294,0.0,0.1,0.05,0.1,0.0196078431372549,0.1,0.07142857142857142,0.0,0.0
15,0.06392771905898398,0.06818181818181818,0.0,0.1,0.05,0.1,0.0196078431372549,0.1,0.07142857142857142,0.0,0.0
16,0.06818956699624958,0.07342657342657342,0.0,0.1,0.05,0.1,0.0196078431372549,0.1,0.07142857142857142,0.0,0.0
17,0.07245141493351517,0.07517482517482517,0.0,0.1,0.05,0.1,0.0196078431372549,0.1,0.07142857142857142,0.0,0.0
18,0.07671326287078077,0.08041958041958042,0.0,0.1,0.05,0.2,0.0392156862745098,0.1,0.07142857142857142,0.0,0.0
19,0.08097511080804637,0.08566433566433566,0.0,0.1,0.05,0.2,0.0392156862745098,0.1,0.07142857142857142,0.0,0.0
20,0.08523695874531197,0.08916083916083917,0.0,0.1,0.05,0.2,0.0392156862745098,0.2,0.14285714285714285,0.0,0.0
21,0.08949880668257756,0.09265734265734266,0.0,0.1,0.05,0.2,0.0392156862745098,0.2,0.14285714285714285,0.0,0.0
22,0.09376065461984316,0.0979020979020979,0.0,0.1,0.05,0.2,0.0392156862745098,0.2,0.14285714285714285,0.0,0.0
23,0.09802250255710876,0.10314685314685315,0.0,0.1,0.05,0.3,0.058823529411764705,0.2,0.14285714285714285,0.1,0.058823529411764705
24,0.10228435049437436,0.11188811188811189,0.0,0.1,0.05,0.3,0.058823529411764705,0.3,0.21428571428571427,0.1,0.058823529411764705
25,0.10654619843163995,0.11538461538461539,0.0,0.1,0.05,0.3,0.058823529411764705,0.3,0.21428571428571427,0.1,0.058823529411764705
26,0.11080804636890555,0.11713286713286714,0.0,0.1,0.05,0.3,0.058823529411764705,0.3,0.21428571428571427,0.1,0.058823529411764705
27,0.11506989430617115,0.1258741258741259,0.0,0.1,0.05,0.3,0.058823529411764705,0.3,0.21428571428571427,0.1,0.058823529411764705
28,0.11933174224343675,0.12937062937062938,0.0,0.1,0.05,0.3,0.058823529411764705,0.3,0.21428571428571427,0.1,0.058823529411764705
29,0.12359359018070236,0.13636363636363635,0.0,0.1,0.05,0.3,0.058823529411764705,0.3,0.21428571428571427,0.1,0.058823529411764705
30,0.12785543811796796,0.13986013986013987,0.0,0.1,0.05,0.3,0.058823529411764705,0.3,0.21428571428571427,0.1,0.058823529411764705
31,0.13211728605523354,0.14160839160839161,0.0,0.1,0.05,0.3,0.058823529411764705,0.3,0.21428571428571427,0.1,0.058823529411764705
32,0.13637913399249915,0.1486013986013986,0.0,0.1,0.05,0.3,0.058823529411764705,0.3,0.21428571428571427,0.1,0.058823529411764705
33,0.14064098192976474,0.1520979020979021,0.0,0.1,0.05,0.3,0.058823529411764705,0.3,0.21428571428571427,0.2,0.11764705882352941
34,0.14490282986703035,0.15384615384615385,0.0,0.1,0.05,0.3,0.058823529411764705,0.3,0.21428571428571427,0.2,0.11764705882352941
35,0.14916467780429593,0.1590909090909091,0.0,0.1,0.05,0.3,0.058823529411764705,0.3,0.21428571428571427,0.2,0.11764705882352941
36,0.15342652574156154,0.16433566433566432,0.0,0.2,0.1,0.3,0.058823529411764705,0.4,0.2857142857142857,0.2,0.11764705882352941
37,0.15768837367882713,0.16783216783216784,0.0,0.2,0.1,0.3,0.058823529411764705,0.4,0.2857142857142857,0.2,0.11764705882352941
38,0.16195022161609274,0.17132867132867133,0.0,0.2,0.1,0.3,0.058823529411764705,0.4,0.2857142857142857,0.2,0.11764705882352941
39,0.16621206955335835,0.17832167832167833,0.0,0.2,0.1,0.4,0.0784313725490196,0.5,0.35714285714285715,0.2,0.11764705882352941
40,0.17047391749062393,0.18356643356643357,0.0,0.2,0.1,0.4,0.0784313725490196,0.5,0.35714285714285715,0.2,0.11764705882352941
41,0.17473576542788954,0.18356643356643357,0.0,0.2,0.1,0.4,0.0784313725490196,0.5,0.35714285714285715,0.2,0.11764705882352941
42,0.17899761336515513,0.18706293706293706,0.0,0.2,0.1,0.4,0.0784313725490196,0.5,0.35714285714285715,0.2,0.11764705882352941
43,0.18325946130242074,0.19055944055944055,0.0,0.2,0.1,0.5,0.09803921568627451,0.5,0.35714285714285715,0.2,0.11764705882352941
44,0.18752130923968632,0.1958041958041958,0.0,0.2,0.1,0.6,0.11764705882352941,0.5,0.35714285714285715,0.2,0.11764705882352941
45,0.19178315717695193,0.20104895104895104,0.0,0.2,0.1,0.6,0.11764705882352941,0.5,0.35714285714285715,0.2,0.11764705882352941
46,0.19604500511421752,0.20454545454545456,0.0,0.2,0.1,0.6,0.11764705882352941,0.5,0.35714285714285715,0.3,0.17647058823529413
47,0.20030685305148313,0.21328671328671328,0.0,0.2,0.1,0.6,0.11764705882352941,0.5,0.35714285714285715,0.3,0.17647058823529413
48,0.20456870098874871,0.21853146853146854,0.0,0.2,0.1,0.6,0.11764705882352941,0.5,0.35714285714285715,0.3,0.17647058823529413
49,0.20883054892601433,0.22202797202797203,0.0,0.3,0.15,0.6,0.11764705882352941,0.5,0.35714285714285715,0.3,0.17647058823529413
50,0.2130923968632799,0.22202797202797203,0.0,0.3,0.15,0.6,0.11764705882352941,0.5,0.35714285714285715,0.3,0.17647058823529413
51,0.21735424480054552,0.22727272727272727,0.0,0.3,0.15,0.7,0.13725490196078433,0.5,0.35714285714285715,0.3,0.17647058823529413
52,0.2216160927378111,0.229020979020979,0.0,0.3,0.15,0.7,0.13725490196078433,0.5,0.35714285714285715,0.3,0.17647058823529413
53,0.22587794067507672,0.23076923076923078,0.0,0.3,0.15,0.7,0.13725490196078433,0.5,0.35714285714285715,0.3,0.17647058823529413
54,0.2301397886123423,0.23251748251748253,0.0,0.3,0.15,0.7,0.13725490196078433,0.5,0.35714285714285715,0.3,0.17647058823529413
55,0.2344016365496079,0.23426573426573427,0.0,0.3,0.15,0.7,0.13725490196078433,0.5,0.35714285714285715,0.3,0.17647058823529413
56,0.2386634844868735,0.24125874125874125,0.0,0.3,0.15,0.8,0.1568627450980392,0.5,0.35714285714285715,0.3,0.17647058823529413
57,0.2429253324241391,0.2465034965034965,0.0,0.3,0.15,1.0,0.19607843137254902,0.5,0.35714285714285715,0.3,0.17647058823529413
58,0.24718718036140472,0.2534965034965035,0.0,0.3,0.15,1.0,0.19607843137254902,0.5,0.35714285714285715,0.3,0.17647058823529413
59,0.25144902829867033,0.26048951048951047,0.0,0.3,0.15,1.0,0.19607843137254902,0.5,0.35714285714285715,0.3,0.17647058823529413
60,0.2557108762359359,0.263986013986014,0.0,0.3,0.15,1.0,0.19607843137254902,0.5,0.35714285714285715,0.3,0.17647058823529413
61,0.2599727241732015,0.2692307692307692,0.0,0.3,0.15,1.0,0.19607843137254902,0.5,0.35714285714285715,0.3,0.17647058823529413
62,0.2642345721104671,0.270979020979021,0.0,0.4,0.2,1.0,0.19607843137254902,0.5,0.35714285714285715,0.3,0.17647058823529413
63,0.2684964200477327,0.2727272727272727,0.0,0.4,0.2,1.0,0.19607843137254902,0.5,0.35714285714285715,0.3,0.17647058823529413
64,0.2727582679849983,0.27972027972027974,0.0,0.4,0.2,1.0,0.21568627450980393,0.5,0.35714285714285715,0.3,0.17647058823529413
65,0.2770201159222639,0.28146853146853146,0.0,0.4,0.2,1.0,0.21568627450980393,0.5,0.35714285714285715,0.3,0.17647058823529413
66,0.28128196385952947,0.28321678321678323,0.0,0.4,0.2,1.0,0.21568627450980393,0.6,0.42857142857142855,0.3,0.17647058823529413
67,0.2855438117967951,0.28846153846153844,0.0,0.4,0.2,1.0,0.21568627450980393,0.6,0.42857142857142855,0.3,0.17647058823529413
68,0.2898056597340607,0.29545454545454547,0.0,0.4,0.2,1.0,0.21568627450980393,0.6,0.42857142857142855,0.3,0.17647058823529413
69,0.2940675076713263,0.2972027972027972,0.0,0.4,0.2,1.0,0.21568627450980393,0.6,0.42857142857142855,0.3,0.17647058823529413
70,0.29832935560859186,0.30244755244755245,0.0,0.4,0.2,1.0,0.21568627450980393,0.7,0.5,0.3,0.17647058823529413
71,0.3025912035458575,0.3041958041958042,0.0,0.4,0.2,1.0,0.21568627450980393,0.7,0.5,0.3,0.17647058823529413
72,0.3068530514831231,0.30594405594405594,0.0,0.4,0.2,1.0,0.21568627450980393,0.7,0.5,0.3,0.17647058823529413
73,0.31111489942038867,0.3094405594405594,0.0,0.4,0.2,1.0,0.21568627450980393,0.7,0.5,0.3,0.17647058823529413
74,0.31537674735765425,0.31643356643356646,0.0,0.4,0.2,1.0,0.21568627450980393,0.7,0.5,0.3,0.17647058823529413
75,0.3196385952949199,0.32517482517482516,0.0,0.5,0.25,1.0,0.23529411764705882,0.8,0.5714285714285714,0.3,0.17647058823529413
76,0.3239004432321855,0.3269230769230769,0.0,0.5,0.25,1.0,0.23529411764705882,0.8,0.5714285714285714,0.3,0.17647058823529413
77,0.32816229116945106,0.3339160839160839,0.0,0.5,0.25,1.0,0.23529411764705882,0.8,0.5714285714285714,0.3,0.17647058823529413
78,0.3324241391067167,0.3374125874125874,0.0,0.5,0.25,1.0,0.23529411764705882,0.8,0.5714285714285714,0.3,0.17647058823529413
79,0.3366859870439823,0.3409090909090909,0.0,0.5,0.25,1.0,0.23529411764705882,0.8,0.5714285714285714,0.3,0.17647058823529413
80,0.34094783498124787,0.34615384615384615,0.0,0.5,0.25,1.0,0.2549019607843137,0.8,0.5714285714285714,0.3,0.17647058823529413
81,0.34520968291851345,0.3513986013986014,0.0,0.5,0.25,1.0,0.2549019607843137,0.9,0.6428571428571429,0.3,0.17647058823529413
82,0.3494715308557791,0.3531468531468531,0.0,0.5,0.25,1.0,0.2549019607843137,0.9,0.6428571428571429,0.3,0.17647058823529413
83,0.3537333787930447,0.3583916083916084,0.0,0.5,0.25,1.0,0.27450980392156865,0.9,0.6428571428571429,0.3,0.17647058823529413
84,0.35799522673031026,0.3618881118881119,0.0,0.5,0.25,1.0,0.27450980392156865,0.9,0.6428571428571429,0.3,0.17647058823529413
85,0.36225707466757584,0.36713286713286714,0.0,0.6,0.3,1.0,0.27450980392156865,0.9,0.6428571428571429,0.3,0.17647058823529413
86,0.3665189226048415,0.3706293706293706,0.0,0.6,0.3,1.0,0.27450980392156865,0.9,0.6428571428571429,0.3,0.17647058823529413
87,0.37078077054210706,0.3793706293706294,0.0,0.6,0.3,1.0,0.29411764705882354,1.0,0.7142857142857143,0.3,0.17647058823529413
