Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected),Pattern 7 (%),Pattern 7 (% Detected),Pattern 8 (%),Pattern 8 (% Detected)
1,0.004153513872736335,0.004595588235294118,0.0,0.1,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.041666666666666664
2,0.00830702774547267,0.01011029411764706,0.0,0.1,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.041666666666666664
3,0.012460541618209005,0.016544117647058824,0.0,0.1,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.08333333333333333
4,0.01661405549094534,0.021139705882352942,0.0,0.1,0.029411764705882353,0.1,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.08333333333333333
5,0.020767569363681675,0.02849264705882353,0.0,0.2,0.058823529411764705,0.1,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.125
6,0.02492108323641801,0.03400735294117647,0.0,0.2,0.058823529411764705,0.1,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.125
7,0.029074597109154346,0.035845588235294115,0.0,0.2,0.058823529411764705,0.1,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.125
8,0.03322811098189068,0.03768382352941176,0.0,0.2,0.058823529411764705,0.1,0.047619047619047616,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.125
9,0.03738162485462702,0.043198529411764705,0.0,0.3,0.08823529411764706,0.1,0.047619047619047616,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.125
10,0.04153513872736335,0.04779411764705882,0.0,0.3,0.08823529411764706,0.1,0.047619047619047616,0.0,0.0,0.1,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.125
11,0.04568865260009968,0.05238970588235294,0.0,0.3,0.08823529411764706,0.1,0.047619047619047616,0.1,0.1,0.1,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.125
